DATASET,METHOD,WEIGHT,MUSIC_EER,LOGIT_CORR
dev,mert_temporal_groupdro,0.0,0.18285714285714283,0.5991766896743683
dev,mert_temporal_groupdro,0.01,0.17714285714285716,0.5991766896743683
dev,mert_temporal_groupdro,0.025,0.18285714285714283,0.5991766896743683
dev,mert_temporal_groupdro,0.05,0.18285714285714283,0.5991766896743683
dev,mert_temporal_groupdro,0.075,0.18285714285714283,0.5991766896743683
dev,mert_temporal_groupdro,0.1,0.17714285714285716,0.5991766896743683
dev,mert_temporal_groupdro,0.15,0.18285714285714283,0.5991766896743683
dev,mert_temporal_groupdro,0.2,0.1885714285714286,0.5991766896743683
dev,structure_only,0.0,0.18285714285714283,0.2116157299238334
dev,structure_only,0.01,0.18285714285714283,0.2116157299238334
dev,structure_only,0.025,0.18285714285714283,0.2116157299238334
dev,structure_only,0.05,0.1885714285714286,0.2116157299238334
dev,structure_only,0.075,0.1885714285714286,0.2116157299238334
dev,structure_only,0.1,0.19428571428571428,0.2116157299238334
dev,structure_only,0.15,0.19999999999999998,0.2116157299238334
dev,structure_only,0.2,0.20571428571428574,0.2116157299238334
dev,structure_mean_mlp128,0.0,0.18285714285714283,0.594515088869919
dev,structure_mean_mlp128,0.01,0.18285714285714283,0.594515088869919
dev,structure_mean_mlp128,0.025,0.19428571428571428,0.594515088869919
dev,structure_mean_mlp128,0.05,0.18285714285714283,0.594515088869919
dev,structure_mean_mlp128,0.075,0.18285714285714283,0.594515088869919
dev,structure_mean_mlp128,0.1,0.1885714285714286,0.594515088869919
dev,structure_mean_mlp128,0.15,0.1885714285714286,0.594515088869919
dev,structure_mean_mlp128,0.2,0.19999999999999998,0.594515088869919
dev,structure_mean_mlp64,0.0,0.18285714285714283,0.5544229480176243
dev,structure_mean_mlp64,0.01,0.18285714285714283,0.5544229480176243
dev,structure_mean_mlp64,0.025,0.1885714285714286,0.5544229480176243
dev,structure_mean_mlp64,0.05,0.1885714285714286,0.5544229480176243
dev,structure_mean_mlp64,0.075,0.1885714285714286,0.5544229480176243
dev,structure_mean_mlp64,0.1,0.19999999999999998,0.5544229480176243
dev,structure_mean_mlp64,0.15,0.19999999999999998,0.5544229480176243
dev,structure_mean_mlp64,0.2,0.19999999999999998,0.5544229480176243
factorial,mert_temporal_groupdro,0.0,0.20571428571428574,0.636493679273283
factorial,mert_temporal_groupdro,0.01,0.20571428571428574,0.636493679273283
factorial,mert_temporal_groupdro,0.025,0.20571428571428574,0.636493679273283
factorial,mert_temporal_groupdro,0.05,0.20571428571428574,0.636493679273283
factorial,mert_temporal_groupdro,0.075,0.20571428571428574,0.636493679273283
