TASK,MODE,WEIGHT,SELECTION,MAX_BANK_REGRESSION,EER_phone_factorial_1200_v1:truth
FILE,logit,0.5,0.7382857142857142,-0.04657142857142854,0.26171428571428573
VOICE,logit,0.3,0.8575,-0.040000000000000036,0.14249999999999996
MUSIC,logit,0.5,0.665,-0.06500000000000006,0.33499999999999996
