EPOCH,LOSS,SELECTION,POOLED_DEVELOPMENT_ADS,MEAN_NORMALIZED_DOMAIN_ADS,WORST_NORMALIZED_DOMAIN_ADS,LOSS_VOICE,LOSS_MUSIC,LOSS_FILE,LOSS_RESIDUAL,LOSS_RANK_VOICE,LOSS_RANK_MUSIC,LOSS_RANK_FILE,LOSS_RANKING,LOSS_QUARTET_INVARIANCE,LOSS_QUARTET_LATENT_INVARIANCE,LOSS_AUC_RANKING,LOSS_LOGIT_CONSISTENCY,LOSS_LATENT_CONSISTENCY,LOSS_GROUP_DRO
0,,0.8036484876507457,0.8256025759508419,0.8441665764790767,0.7192222222222222,,,,,,,,,,,,,,
2,0.643501662478155,0.8265754772391665,0.8526007269281054,0.8658782328782331,0.7352222222222222,0.5309206684861256,0.14672137679988329,0.17988353482048428,1.0431494701805772,0.3992179280945233,0.03468512446080258,0.17720052846042172,0.1788493889973176,0.6645515366856541,1.8077088214304982,0.14453891387247308,0.82940528321327,1.606054355751495,0.802024404119168
4,0.5545512357992786,0.8204843437379058,0.845318604919479,0.8569668317793318,0.7343333333333333,0.4254549752768813,0.1342896392892058,0.1510519488828675,1.4664192826164013,0.28105489997554345,0.03343057466851433,0.1455490896335746,0.13901469894513793,0.7002112602396887,1.645368290646952,0.09427714676415662,0.8482433363643228,1.1907059185358944,0.6494277357218825
6,0.5776702808026148,0.8267647437134699,0.8446736765711289,0.8605687645687645,0.7571428571428571,0.3753139661739067,0.13003636981189556,0.13098488740470945,1.8456108624837837,0.24085217594093053,0.027979479443367417,0.1186279246193946,0.11587824238160131,0.7546943023192639,4.965734902693301,0.0775099796912994,0.8474552408240887,3.990638942742834,0.5975062221820865
8,1.2483246203597265,0.8278707613681154,0.8497243593440675,0.8595898823398822,0.7524444444444444,0.4019129409931088,0.14445046455843455,0.14224521012896194,1.8833325540139778,0.2560764355940446,0.03401528501115341,0.1302884921488416,0.12656412007282405,0.7511312753037945,40.49612656076446,0.08788049476737815,0.8791430531870621,34.782005642509944,0.7109286799344398
10,1.6663485708582493,0.8206843430152602,0.843823692829277,0.8620899864024865,0.733,0.42793390084693145,0.14546767633133414,0.15161778141789461,1.808807029675588,0.26711443488417386,0.033260289045837506,0.13082841835423129,0.12881518394209956,0.7382509203736716,63.429262069042096,0.09926127988617611,0.8958261230671375,54.500565807934635,0.7540675139874599
12,2.2290479784109154,0.8167001816993332,0.8395878217736248,0.8619584165834167,0.7256666666666667,0.43104990689578104,0.1460734791768601,0.15547274456986662,1.8636934828697418,0.2771815829791547,0.03454693255302192,0.14560636204230237,0.1386035788775783,0.759889617334215,105.6593130656651,0.10262086975616308,0.9002697039775702,82.28940082082943,0.7580006945859261
14,3.319523892840561,0.8171811797595305,0.8348385222452237,0.8554921189921191,0.7435555555555555,0.44418520951757623,0.16781914441333134,0.1705705290660262,1.5423248309870154,0.2910721998778172,0.03672957712694128,0.15687559956057492,0.14767111409740635,0.6956766055782839,153.77807983087033,0.11545899651032321,0.8958719776449154,135.06647164481026,0.8371403332305501
16,4.32774086641598,0.8184277829396437,0.8370028769015982,0.8543720446220446,0.7453333333333333,0.4399938179943094,0.16336951958389986,0.1703912269125003,1.5750492874902624,0.2909028199536882,0.03613486126984728,0.15647025227205444,0.1472561495904704,0.7433447987978695,199.40237840259348,0.11349873808058543,0.8819424100504577,186.00673966735374,0.8120575193268349
18,7.489207783424824,0.8155649491319283,0.8375564578154164,0.8551468808968808,0.732,0.4380297077483197,0.17055611520929798,0.18262947799102344,1.4815035424463014,0.2832665119661402,0.03919884312954795,0.16464921069964197,0.15073756213861567,0.7063118899596557,359.9425357110021,0.1168389275963904,0.8577004875087253,343.1790766048674,0.8584270255483744
20,5.863409796539618,0.8128617385465293,0.8357671348242164,0.8548015734265735,0.725111111111111,0.4539980716167056,0.1613799933610218,0.16073791569631016,1.5888377604435902,0.2685510933584802,0.038476440933274195,0.148507615169142,0.1395069594369971,0.7581861071592692,305.0555912718481,0.11672854345120794,0.8911767618692651,262.6754728823292,0.8283246191104456
22,3.766219076453423,0.8238908950906971,0.8460279988338528,0.8581829073704074,0.7453246753246753,0.4432302517436293,0.1598065751509703,0.16602512487989604,1.321980546627726,0.28741333269685204,0.03637052970232765,0.1522216959381286,0.14450467518549792,0.7501522068846591,196.6140179731408,0.11366639144205469,0.8572307485250794,158.84803771972656,0.7860646532582385
24,6.009107457469135,0.8195556433587363,0.8370499175311037,0.8566782939282939,0.7474444444444444,0.4371617519635584,0.1583446289670983,0.16925189777753735,1.2330153349398354,0.2998971882022671,0.03435545400526782,0.15553307835647776,0.14805261430546224,0.722414157241962,296.94347767914826,0.11271273880324897,0.8532621117341913,271.3638285086052,0.7669163528099922
