encoder,pooling,epoch,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,macro_ads,selection
spear,mean,6,4577,4577,4016,4261,0.19080410689792363,0.1484061464894299,0.17883127011718364,0.997080306226076,0.9951347071912162,0.8212673362179971,0.9961075067086461,0.8387513532670621,0.8391506745870734,0.8302090054025353
spear,attention,6,4577,4577,4016,4261,0.18876387401952033,0.15687263681221858,0.17413753599337306,0.9962964541122497,0.9963177954898564,0.8220022748297843,0.9963071248010531,0.8394327598269112,0.834382441185912,0.8281923580078481
eat_large,mean,6,4577,4577,4016,4261,0.18876387401952033,0.21140518292267038,0.14175077053907992,0.9983825837470084,0.9981150796597934,0.8208117952439818,0.9982488317034008,0.8385554988899238,0.8349118620853997,0.8278618286646908
eat_large,attention,6,4577,4577,4016,4261,0.18944395164565475,0.2024406637573647,0.14128139712669888,0.9958011092883369,0.9981856342036547,0.82240547228769,0.9969933717459958,0.8398642622335206,0.8313865334610577,0.8268960028743739
xlsr,mean,6,4577,4577,4016,4261,0.19837983666205783,0.12624547514258186,0.2356254530152918,0.9898405486787254,0.9985413776405967,0.8048733507358672,0.994190963159661,0.8238051119782466,0.8395744330872061,0.8222238919115367
xlsr,attention,6,4577,4577,4016,4261,0.2058005757256341,0.13022970588271765,0.2318704657162433,0.989160559189268,0.9990129790653528,0.8014926312457664,0.9940867691273104,0.8207520450339209,0.8341386990648795,0.817815665155323
