DATASET,METHOD,FILE_WEIGHT,MUSIC_WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
factorial,v18,0.0,0.0,400,400,350,350,0.25527272727272726,0.22285714285714286,0.27428571428571424,0.9928,0.9989142857142856,0.7455064935064936,0.9958571428571428,0.7705415584415585
factorial,eat_patch_graph_direct,0.0,0.0,400,400,350,350,0.27054545454545453,0.34285714285714286,0.19428571428571428,,,0.7378701298701298,,
factorial,v44_patch_residual,0.05,0.05,400,400,350,350,0.24763636363636365,0.22285714285714286,0.2457142857142857,0.9928,0.9989142857142856,0.757896103896104,0.9958571428571428,0.7816922077922078
phone,v18,0.0,0.0,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.345,0.956603125,0.9840593750000001,0.7338571428571429,0.9703312500000001,0.7575045535714287
phone,eat_patch_graph_direct,0.0,0.0,1200,1200,800,800,0.16828571428571432,0.30000000000000004,0.07999999999999999,,,0.8318571428571429,,
phone,v44_patch_residual,0.05,0.05,1200,1200,800,800,0.20414285714285713,0.16749999999999998,0.245,0.956603125,0.9840593750000001,0.7909285714285714,0.9703312500000001,0.8088688392857144
yue,v18,0.0,0.0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,0.9837962962962963,,0.828448165030388,,
yue,eat_patch_graph_direct,0.0,0.0,124,124,108,124,0.21807065217391303,0.41666666666666663,0.20967741935483875,,,0.7447281147732585,,
yue,v44_patch_residual,0.05,0.05,124,124,108,124,0.15421195652173914,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.849251548620851,,
