GROUP_COLUMN,GROUP,N,ANCHOR_MUSIC_EER,V55_MUSIC_EER
CHANNEL,clean,72,0.13888888888888887,0.16666666666666663
CHANNEL,g711_ulaw,72,0.3055555555555556,0.2777777777777778
CHANNEL,g722_wb,72,0.13888888888888887,0.13888888888888887
CHANNEL,opus_nb_8k,72,0.4444444444444444,0.4444444444444444
CHANNEL,transcode_g711_opus,72,0.4444444444444444,0.41666666666666663
MIX_MODE,concurrent,120,0.35,0.30000000000000004
MIX_MODE,partial_overlap,120,0.30000000000000004,0.2833333333333333
MIX_MODE,sequential,120,0.2666666666666667,0.2666666666666667
