DATASET,N,MUSIC_EER
external_mixed_train_v1,800,0.0
mixed_devvoice_train_v1,800,0.0
mixed_fmc_music_train_v1,800,0.0
mixfake_music_train_v1,8000,0.21975
telephone_mixed_train_v1,2400,0.012499999999999978
temporal_mixed_train_v2,3200,0.015625
channel_invariant_factorial_train_v1,3000,0.024166817709277377
