DATASET,METHOD,SLICE,VALUE,N,MUSIC_EER
codec_mixed_blind_v5,EXPERT,CHANNEL,clean,48,0.375
codec_mixed_blind_v5,EXPERT,CHANNEL,g711_ulaw,48,0.33333333333333337
codec_mixed_blind_v5,EXPERT,CHANNEL,g722_wb,48,0.375
codec_mixed_blind_v5,EXPERT,CHANNEL,opus_nb_8k,48,0.375
codec_mixed_blind_v5,EXPERT,CHANNEL,transcode_g711_opus,48,0.375
codec_mixed_blind_v5,EXPERT,MIX_MODE,concurrent,80,0.42500000000000004
codec_mixed_blind_v5,EXPERT,MIX_MODE,partial_overlap,80,0.475
codec_mixed_blind_v5,EXPERT,MIX_MODE,sequential,80,0.22499999999999998
codec_mixed_blind_v5,EXPERT,VOICE_FAKE,0,120,0.35
codec_mixed_blind_v5,EXPERT,VOICE_FAKE,1,120,0.3666666666666667
codec_mixed_blind_v5,V50_PLUS_025,CHANNEL,clean,48,0.16666666666666663
codec_mixed_blind_v5,V50_PLUS_025,CHANNEL,g711_ulaw,48,0.20833333333333337
codec_mixed_blind_v5,V50_PLUS_025,CHANNEL,g722_wb,48,0.16666666666666663
codec_mixed_blind_v5,V50_PLUS_025,CHANNEL,opus_nb_8k,48,0.20833333333333337
codec_mixed_blind_v5,V50_PLUS_025,CHANNEL,transcode_g711_opus,48,0.20833333333333337
codec_mixed_blind_v5,V50_PLUS_025,MIX_MODE,concurrent,80,0.17500000000000002
codec_mixed_blind_v5,V50_PLUS_025,MIX_MODE,partial_overlap,80,0.19999999999999998
codec_mixed_blind_v5,V50_PLUS_025,MIX_MODE,sequential,80,0.22499999999999998
codec_mixed_blind_v5,V50_PLUS_025,VOICE_FAKE,0,120,0.19999999999999998
codec_mixed_blind_v5,V50_PLUS_025,VOICE_FAKE,1,120,0.19999999999999998
codec_mixed_blind_v5,V51,CHANNEL,clean,48,0.16666666666666663
codec_mixed_blind_v5,V51,CHANNEL,g711_ulaw,48,0.20833333333333337
codec_mixed_blind_v5,V51,CHANNEL,g722_wb,48,0.125
codec_mixed_blind_v5,V51,CHANNEL,opus_nb_8k,48,0.20833333333333337
