DATASET,METHOD,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,ADS_DELTA_VS_V47,ADS_DELTA_VS_STANDALONE,FILE_EER_DELTA_VS_V47,VOICE_EER_DELTA_VS_V47
factorial,v47,400,400,350,350,0.23236363636363638,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7758181818181819,0.9958571428571428,0.7978220779220779,0.0,-0.0022857142857142243,0.0,0.0
factorial,standalone_0075_001,400,400,350,350,0.23236363636363638,0.2114285714285714,0.2114285714285714,0.9928,0.9989142857142856,0.7781038961038961,0.9958571428571428,0.7998792207792208,0.0022857142857142243,0.0,0.0,-0.011428571428571455
factorial,v48_fixed_005,400,400,350,350,0.22472727272727272,0.21714285714285717,0.2114285714285714,0.9928,0.9989142857142856,0.7807792207792208,0.9958571428571428,0.802287012987013,0.004961038961038944,0.0026753246753247195,-0.007636363636363663,-0.0057142857142856995
phone,v47,1200,1200,800,800,0.1782857142857143,0.16749999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8263571428571429,0.9703312500000001,0.8407545535714287,0.0,-0.002714285714285669,0.0,0.0
phone,standalone_0075_001,1200,1200,800,800,0.17585714285714285,0.16000000000000003,0.17000000000000004,0.956603125,0.9840593750000001,0.8290714285714286,0.9703312500000001,0.8431974107142858,0.002714285714285669,0.0,-0.0024285714285714466,-0.007499999999999951
phone,v48_fixed_005,1200,1200,800,800,0.16585714285714287,0.16249999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8335714285714285,0.9703312500000001,0.8472474107142858,0.007214285714285618,0.0044999999999999485,-0.012428571428571428,-0.0050000000000000044
yue,v47,124,124,108,124,0.12228260869565216,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8652162225338944,,,0.0,-0.00374999999999992,0.0,0.0
yue,standalone_0075_001,124,124,108,124,0.12228260869565216,0.08333333333333334,0.17741935483870966,0.9837962962962963,,0.8689662225338943,,,0.00374999999999992,0.0,0.0,-0.01874999999999999
yue,v48_fixed_005,124,124,108,124,0.12228260869565216,0.08333333333333334,0.17741935483870966,0.9837962962962963,,0.8689662225338943,,,0.00374999999999992,0.0,0.0,-0.01874999999999999
