GROUP_COLUMN,GROUP,N,ANCHOR_MUSIC_EER,V55_MUSIC_EER
CHANNEL,clean,48,0.16666666666666663,0.16666666666666663
CHANNEL,g711_ulaw,48,0.20833333333333337,0.20833333333333337
CHANNEL,g722_wb,48,0.16666666666666663,0.16666666666666663
CHANNEL,opus_nb_8k,48,0.20833333333333337,0.20833333333333337
CHANNEL,transcode_g711_opus,48,0.16666666666666663,0.125
MIX_MODE,concurrent,80,0.17500000000000002,0.25
MIX_MODE,partial_overlap,80,0.19999999999999998,0.17500000000000002
MIX_MODE,sequential,80,0.22499999999999998,0.275
