ID,ORIGINAL_RMS,VOICE_RMS,MUSIC_RMS,VOICE_ENERGY_RATIO,MUSIC_ENERGY_RATIO,VOICE_STEM_SHARE,MUSIC_STEM_SHARE,RECONSTRUCTION_ERROR,VOICE_DOMINANT_FRACTION,MUSIC_DOMINANT_FRACTION,VOICE_FRAME_RATIO_Q50,VOICE_FRAME_RATIO_Q75,VOICE_FRAME_RATIO_Q90,VOICE_FRAME_RATIO_Q100,MUSIC_FRAME_RATIO_Q50,MUSIC_FRAME_RATIO_Q75,MUSIC_FRAME_RATIO_Q90,MUSIC_FRAME_RATIO_Q100
yue_000_concurrent_v0_m0,0.12798907072756865,0.08619457909149088,0.08791266237708283,0.4535384715382189,0.471799081200445,0.490132997632987,0.5098669957698982,0.03267039322599857,0.4634146341463415,0.5365853658536586,0.6545326901402515,0.7499390477841437,0.7858989109450923,0.818143621266787,0.6746925873030177,0.856520644165417,0.9446235481922195,1.000726314089765
yue_000_concurrent_v0_m1,0.12771755727695908,0.0872128694274241,0.0875315860101995,0.46629412248240765,0.4697084631827652,0.4981761018287631,0.5018238916215318,0.027274246187382604,0.4146341463414634,0.5853658536585366,0.6580009976920971,0.7672465388281132,0.8789698432388101,0.8957039129977558,0.7125212622430896,0.806844008770291,0.9701114398651149,0.9967631935341191
yue_000_concurrent_v1_m0,0.11077777658571412,0.07530986664762405,0.07607560199163234,0.4621665028350762,0.47161271272047933,0.4949419424878887,0.5050580487854022,0.031183379917453038,0.4090909090909091,0.5909090909090909,0.6244263851343708,0.768623617121571,0.811005779712387,0.8714424114774009,0.7284834294104694,0.8322022285635382,0.9667347794896836,1.0001248931844704
yue_000_concurrent_v1_m1,0.11096941176429798,0.07665808436169992,0.07403143978436792,0.47720979945467296,0.44506743651939173,0.5174255382643266,0.48257445293062123,0.03029532377950451,0.4090909090909091,0.5909090909090909,0.6430274930602653,0.7841695295836142,0.8596476527438849,0.9104756305642668,0.6947998852595765,0.8347499467768144,0.9490624179853425,0.9964125081086561
yue_000_music_fake,0.07726254319094115,0.00012249854832694713,0.07700131681912112,2.5137603873050762e-06,0.9932493703223533,2.5308387380813856e-06,0.9999974522956312,0.02703303288209744,0.0,1.0,0.0020092974262436,0.002348327282611036,0.0025601828710791613,0.0028636859123341153,0.9978827694388822,0.9985888199966115,1.0061272887123491,1.0081084447026576
yue_000_music_real,0.2835783713061378,0.0012548529724403948,0.2824795967964409,1.95812079327167e-05,0.9922656584731683,1.9733446719887405e-05,0.9999802653000892,0.030309446976793386,0.0,1.0,0.004244604646624028,0.00457799342104361,0.005471291712174728,0.006393236139770357,0.9971319192643154,0.9993670221933477,1.0009610240019606,1.0026368752446435
yue_000_native_vocal_fake_music,0.10850967681661494,0.07504534052443061,0.07395758103570053,0.47831116829104764,0.46454570854928456,0.5072998625045084,0.49270012848772177,0.0686770213343368,0.40425531914893614,0.5957446808510638,0.5290234765837846,0.7508977077509782,0.7968140374865924,0.8558590161285294,0.775692498755203,0.9983417038215985,0.9988324426346148,0.9990419900756048
yue_000_native_vocal_real_music,0.10851777606705391,0.07408691768178781,0.0752394593390189,0.46610233655320327,0.4807170864037838,0.49228218292901527,0.5077178081022524,0.06273458446288982,0.44680851063829785,0.5531914893617021,0.5620192804415313,0.7946230986947798,0.8539352782948874,0.9020312155766914,0.8064098036737468,0.9954109983936191,0.9979465912676284,0.9995818433456487
yue_000_partial_overlap_v0_m0,0.10365395743049781,0.0758756839983101,0.06759282466284032,0.5358379376588811,0.42523540032249435,0.557541148311419,0.44245884200420416,0.02619510681019573,0.5636363636363636,0.43636363636363634,0.7270244133032564,0.9886340164332748,0.9965078744003796,0.9979608651540856,0.6428680125841729,0.9914689811647699,1.0011002685544568,1.0033500555386499
yue_000_partial_overlap_v0_m1,0.1034192106905064,0.07631824351882081,0.06749635857128634,0.544570725291034,0.42594962945939846,0.5611121058711241,0.4388878844951807,0.031522538930481354,0.6363636363636364,0.36363636363636365,0.7908791737865727,0.9908252450327333,0.9980496696747595,1.002534748805905,0.5547560545049383,0.9468480586062502,1.0033932718747647,1.01128779772138
