GROUP,VALUE,COMPONENT,EXPERT,WEIGHT,N,AUC
CHANNEL,g711_ulaw,voice,voice_max,0.15,300,0.9618
CHANNEL,g711_ulaw,voice,voice_max,0.2,300,0.9619
CHANNEL,g711_ulaw,voice,voice_share,0.0,300,0.9617
CHANNEL,g711_ulaw,voice,voice_share,0.01,300,0.9627
CHANNEL,g711_ulaw,voice,voice_share,0.025,300,0.96335
CHANNEL,g711_ulaw,voice,voice_share,0.05,300,0.9646499999999999
CHANNEL,g711_ulaw,voice,voice_share,0.075,300,0.9650000000000001
CHANNEL,g711_ulaw,voice,voice_share,0.1,300,0.9652999999999999
CHANNEL,g711_ulaw,voice,voice_share,0.15,300,0.96565
CHANNEL,g711_ulaw,voice,voice_share,0.2,300,0.9652000000000001
CHANNEL,g711_ulaw,voice,voice_composite,0.0,300,0.9617
CHANNEL,g711_ulaw,voice,voice_composite,0.01,300,0.96195
CHANNEL,g711_ulaw,voice,voice_composite,0.025,300,0.96235
CHANNEL,g711_ulaw,voice,voice_composite,0.05,300,0.96255
CHANNEL,g711_ulaw,voice,voice_composite,0.075,300,0.963
CHANNEL,g711_ulaw,voice,voice_composite,0.1,300,0.96335
CHANNEL,g711_ulaw,voice,voice_composite,0.15,300,0.9634999999999999
CHANNEL,g711_ulaw,voice,voice_composite,0.2,300,0.9633999999999999
CHANNEL,g711_ulaw,music,music_energy,0.0,300,0.9845000000000002
CHANNEL,g711_ulaw,music,music_energy,0.01,300,0.9846
CHANNEL,g711_ulaw,music,music_energy,0.025,300,0.98585
CHANNEL,g711_ulaw,music,music_energy,0.05,300,0.9883500000000001
CHANNEL,g711_ulaw,music,music_energy,0.075,300,0.99405
CHANNEL,g711_ulaw,music,music_energy,0.1,300,0.9984999999999999
CHANNEL,g711_ulaw,music,music_energy,0.15,300,0.99905
CHANNEL,g711_ulaw,music,music_energy,0.2,300,0.99895
CHANNEL,g711_ulaw,music,music_q90,0.0,300,0.9845000000000002
CHANNEL,g711_ulaw,music,music_q90,0.01,300,0.9845000000000002
CHANNEL,g711_ulaw,music,music_q90,0.025,300,0.98455
CHANNEL,g711_ulaw,music,music_q90,0.05,300,0.98485
CHANNEL,g711_ulaw,music,music_q90,0.075,300,0.9852500000000001
CHANNEL,g711_ulaw,music,music_q90,0.1,300,0.98585
CHANNEL,g711_ulaw,music,music_q90,0.15,300,0.98885
CHANNEL,g711_ulaw,music,music_q90,0.2,300,0.9893000000000001
CHANNEL,g711_ulaw,music,music_max,0.0,300,0.9845000000000002
CHANNEL,g711_ulaw,music,music_max,0.01,300,0.98445
CHANNEL,g711_ulaw,music,music_max,0.025,300,0.9846
CHANNEL,g711_ulaw,music,music_max,0.05,300,0.98495
CHANNEL,g711_ulaw,music,music_max,0.075,300,0.98535
CHANNEL,g711_ulaw,music,music_max,0.1,300,0.9861
CHANNEL,g711_ulaw,music,music_max,0.15,300,0.9873500000000001
CHANNEL,g711_ulaw,music,music_max,0.2,300,0.9877
CHANNEL,g711_ulaw,music,music_share,0.0,300,0.9845000000000002
CHANNEL,g711_ulaw,music,music_share,0.01,300,0.9847
CHANNEL,g711_ulaw,music,music_share,0.025,300,0.98675
CHANNEL,g711_ulaw,music,music_share,0.05,300,0.99195
CHANNEL,g711_ulaw,music,music_share,0.075,300,0.9972
CHANNEL,g711_ulaw,music,music_share,0.1,300,0.9988
CHANNEL,g711_ulaw,music,music_share,0.15,300,0.9992
CHANNEL,g711_ulaw,music,music_share,0.2,300,0.99895
CHANNEL,g711_ulaw,music,music_composite,0.0,300,0.9845000000000002
CHANNEL,g711_ulaw,music,music_composite,0.01,300,0.9845000000000002
CHANNEL,g711_ulaw,music,music_composite,0.025,300,0.9846499999999999
CHANNEL,g711_ulaw,music,music_composite,0.05,300,0.9849
CHANNEL,g711_ulaw,music,music_composite,0.075,300,0.9860000000000001
CHANNEL,g711_ulaw,music,music_composite,0.1,300,0.9875499999999999
CHANNEL,g711_ulaw,music,music_composite,0.15,300,0.99385
CHANNEL,g711_ulaw,music,music_composite,0.2,300,0.99705
CHANNEL,g726_24k,voice,voice_energy,0.0,300,0.9618
CHANNEL,g726_24k,voice,voice_energy,0.01,300,0.9617500000000001
CHANNEL,g726_24k,voice,voice_energy,0.025,300,0.96165
CHANNEL,g726_24k,voice,voice_energy,0.05,300,0.9617
CHANNEL,g726_24k,voice,voice_energy,0.075,300,0.9615
CHANNEL,g726_24k,voice,voice_energy,0.1,300,0.96145
CHANNEL,g726_24k,voice,voice_energy,0.15,300,0.96125
CHANNEL,g726_24k,voice,voice_energy,0.2,300,0.96065
CHANNEL,g726_24k,voice,voice_q90,0.0,300,0.9618
CHANNEL,g726_24k,voice,voice_q90,0.01,300,0.96185
CHANNEL,g726_24k,voice,voice_q90,0.025,300,0.9618500000000001
CHANNEL,g726_24k,voice,voice_q90,0.05,300,0.9617
CHANNEL,g726_24k,voice,voice_q90,0.075,300,0.9616
CHANNEL,g726_24k,voice,voice_q90,0.1,300,0.9617
CHANNEL,g726_24k,voice,voice_q90,0.15,300,0.9617
CHANNEL,g726_24k,voice,voice_q90,0.2,300,0.96155
CHANNEL,g726_24k,voice,voice_max,0.0,300,0.9618
CHANNEL,g726_24k,voice,voice_max,0.01,300,0.9619000000000001
CHANNEL,g726_24k,voice,voice_max,0.025,300,0.9618000000000001
CHANNEL,g726_24k,voice,voice_max,0.05,300,0.9619000000000001
CHANNEL,g726_24k,voice,voice_max,0.075,300,0.96175
CHANNEL,g726_24k,voice,voice_max,0.1,300,0.9618000000000001
CHANNEL,g726_24k,voice,voice_max,0.15,300,0.96185
CHANNEL,g726_24k,voice,voice_max,0.2,300,0.9616500000000001
CHANNEL,g726_24k,voice,voice_share,0.0,300,0.9618
CHANNEL,g726_24k,voice,voice_share,0.01,300,0.9621500000000001
CHANNEL,g726_24k,voice,voice_share,0.025,300,0.9631500000000001
CHANNEL,g726_24k,voice,voice_share,0.05,300,0.9638500000000001
CHANNEL,g726_24k,voice,voice_share,0.075,300,0.9637
CHANNEL,g726_24k,voice,voice_share,0.1,300,0.96355
CHANNEL,g726_24k,voice,voice_share,0.15,300,0.9626
CHANNEL,g726_24k,voice,voice_share,0.2,300,0.96135
CHANNEL,g726_24k,voice,voice_composite,0.0,300,0.9618
CHANNEL,g726_24k,voice,voice_composite,0.01,300,0.9618000000000001
CHANNEL,g726_24k,voice,voice_composite,0.025,300,0.9619
CHANNEL,g726_24k,voice,voice_composite,0.05,300,0.9620000000000001
CHANNEL,g726_24k,voice,voice_composite,0.075,300,0.96255
CHANNEL,g726_24k,voice,voice_composite,0.1,300,0.9629000000000001
CHANNEL,g726_24k,voice,voice_composite,0.15,300,0.9624
CHANNEL,g726_24k,voice,voice_composite,0.2,300,0.96275
CHANNEL,g726_24k,music,music_energy,0.0,300,0.9813000000000001
CHANNEL,g726_24k,music,music_energy,0.01,300,0.98145
CHANNEL,g726_24k,music,music_energy,0.025,300,0.9823
CHANNEL,g726_24k,music,music_energy,0.05,300,0.98545
CHANNEL,g726_24k,music,music_energy,0.075,300,0.9904
CHANNEL,g726_24k,music,music_energy,0.1,300,0.9941500000000001
CHANNEL,g726_24k,music,music_energy,0.15,300,0.9972
CHANNEL,g726_24k,music,music_energy,0.2,300,0.9977
CHANNEL,g726_24k,music,music_q90,0.0,300,0.9813000000000001
CHANNEL,g726_24k,music,music_q90,0.01,300,0.9811
CHANNEL,g726_24k,music,music_q90,0.025,300,0.98095
CHANNEL,g726_24k,music,music_q90,0.05,300,0.9807
CHANNEL,g726_24k,music,music_q90,0.075,300,0.9805999999999998
CHANNEL,g726_24k,music,music_q90,0.1,300,0.9814
CHANNEL,g726_24k,music,music_q90,0.15,300,0.98305
CHANNEL,g726_24k,music,music_q90,0.2,300,0.9829
CHANNEL,g726_24k,music,music_max,0.0,300,0.9813000000000001
CHANNEL,g726_24k,music,music_max,0.01,300,0.9809000000000001
CHANNEL,g726_24k,music,music_max,0.025,300,0.9805
CHANNEL,g726_24k,music,music_max,0.05,300,0.9802500000000001
CHANNEL,g726_24k,music,music_max,0.075,300,0.9795500000000001
CHANNEL,g726_24k,music,music_max,0.1,300,0.9798500000000001
CHANNEL,g726_24k,music,music_max,0.15,300,0.97955
CHANNEL,g726_24k,music,music_max,0.2,300,0.9772000000000001
CHANNEL,g726_24k,music,music_share,0.0,300,0.9813000000000001
CHANNEL,g726_24k,music,music_share,0.01,300,0.9817
CHANNEL,g726_24k,music,music_share,0.025,300,0.98365
CHANNEL,g726_24k,music,music_share,0.05,300,0.9883000000000001
CHANNEL,g726_24k,music,music_share,0.075,300,0.9916499999999999
