EPOCH,LOSS,V4_MUSIC_EER
1,0.4396316974113385,0.2633333333333333
2,0.27532508263053995,0.2733333333333333
3,0.20745829698474458,0.2733333333333333
4,0.17455894711505002,0.2533333333333333
5,0.1443335572257638,0.25
6,0.1348907776021709,0.29000000000000004
7,0.12338959204498678,0.26
8,0.11181955197632003,0.27
