EPOCH,LOSS,BASE_LOSS,CONSISTENCY_LOSS,SELECTION,MEAN_MUSIC_EER,WORST_MUSIC_EER
0,0.7354196310043335,0.7276086807250977,0.15621916949748993,0.5405102040816326,0.4139795918367347,0.505
5,0.45376232266426086,0.40622055530548096,0.9508351683616638,0.6711394557823129,0.2777210884353742,0.38
10,0.3158780336380005,0.25547704100608826,1.2080196142196655,0.7505569727891156,0.21888605442176873,0.28
15,0.30713972449302673,0.23324733972549438,1.4778475761413574,0.7694515306122449,0.20109693877551021,0.26
20,0.26769721508026123,0.19619998335838318,1.429944634437561,0.7725510204081634,0.19489795918367345,0.26
25,0.22057898342609406,0.1533082127571106,1.3454153537750244,0.7818877551020408,0.18622448979591838,0.25
30,0.19485577940940857,0.13205882906913757,1.25593900680542,0.791530612244898,0.17693877551020407,0.24
35,0.1846936047077179,0.12539240717887878,1.1860238313674927,0.7930272108843537,0.17727891156462589,0.2366666666666667
40,0.17582835257053375,0.12187022715806961,1.07916259765625,0.7848341836734694,0.18033163265306124,0.25
45,0.16728635132312775,0.11805170774459839,0.9846928715705872,0.7856164965986394,0.18210034013605444,0.2466666666666667
50,0.1597185730934143,0.11391496658325195,0.9160720705986023,0.7796641156462586,0.18733843537414968,0.2533333333333333
55,0.15345604717731476,0.11052244901657104,0.8586718440055847,0.7788605442176871,0.18894557823129254,0.2533333333333333
60,0.14845243096351624,0.1079874113202095,0.8093002438545227,0.7788392857142856,0.19232142857142856,0.25
65,0.14425161480903625,0.10503830760717392,0.7842660546302795,0.7791284013605443,0.18840986394557824,0.2533333333333333
70,0.14063739776611328,0.10254202038049698,0.7619074583053589,0.7784353741496598,0.1864625850340136,0.2566666666666667
75,0.13747383654117584,0.10001888871192932,0.7490988969802856,0.7786522108843537,0.18602891156462587,0.2566666666666667
80,0.13464157283306122,0.09787482023239136,0.7353350520133972,0.7771556122448979,0.18568877551020407,0.26
85,0.1320759803056717,0.09583000093698502,0.7249194979667664,0.7776913265306122,0.18461734693877552,0.26
90,0.12973304092884064,0.09391158819198608,0.7164290547370911,0.7803996598639455,0.18253401360544222,0.2566666666666667
95,0.12756970524787903,0.09215693175792694,0.7082555294036865,0.777015306122449,0.18596938775510205,0.26
100,0.12554685771465302,0.09041836857795715,0.7025697827339172,0.777015306122449,0.18596938775510205,0.26
105,0.12364043295383453,0.08878132700920105,0.6971820592880249,0.7773214285714285,0.18535714285714286,0.26
110,0.12183655053377151,0.08719430863857269,0.692844808101654,0.7784608843537415,0.18641156462585037,0.2566666666666667
115,0.12012873589992523,0.08568648993968964,0.6888449192047119,0.77765731292517,0.18801870748299324,0.2566666666666667
120,0.11851134896278381,0.08425962924957275,0.6850343346595764,0.7800085034013606,0.18664965986394558,0.2533333333333333
125,0.11697603762149811,0.08290189504623413,0.6814827919006348,0.7794217687074829,0.1878231292517007,0.2533333333333333
130,0.11551394313573837,0.08161283284425735,0.6780222058296204,0.7775170068027211,0.18829931972789118,0.2566666666666667
135,0.11411906778812408,0.08036979287862778,0.6749855875968933,0.7775170068027211,0.18829931972789118,0.2566666666666667
