VOICE_WEIGHT,FILE_WEIGHT,MEAN_ADS,MIN_ADS_DELTA,MEAN_ADS_DELTA,ALL_BANKS_STRICTLY_IMPROVE,HARD_IMPROVE,HARD_REGRESS,WORST_HARD_EER_DELTA,MEAN_HARD_EER_DELTA
0.0,0.0,0.8224638490697398,0.0,0.0,False,0,0,0.0,0.0
0.0,0.01,0.8228686109745015,0.0,0.00040476190476190776,False,1,0,0.0,-0.00017543859649122822
0.0,0.025,0.824831814437705,0.0,0.0023679653679653523,False,3,1,0.040000000000000036,-0.0025438596491228075
0.0,0.05,0.8254032430091337,0.0,0.0029393939393939084,False,8,1,0.040000000000000036,-0.005263157894736841
0.0,0.075,0.82639674950264,0.0,0.003932900432900399,False,11,1,0.040000000000000036,-0.009210526315789475
0.0,0.1,0.8325538994179421,0.00828571428571423,0.010090050348202428,True,10,1,0.040000000000000036,-0.008771929824561403
0.01,0.0,0.8226305157364063,0.0,0.0001666666666666483,False,1,0,0.0,-8.771929824561313e-05
0.01,0.01,0.8230352776411684,0.0,0.0005714285714285561,False,2,0,0.0,-0.00026315789473684134
0.01,0.025,0.8249984811043717,0.0,0.0025346320346320375,False,4,1,0.040000000000000036,-0.0026315789473684206
0.01,0.05,0.8255699096758002,0.0,0.0031060606060605935,False,9,1,0.040000000000000036,-0.005350877192982454
0.01,0.075,0.8265634161693068,0.0,0.004099567099567085,False,12,1,0.040000000000000036,-0.009298245614035089
0.01,0.1,0.832720566084609,0.008785714285714286,0.010256717014869113,True,11,1,0.040000000000000036,-0.008859649122807015
0.025,0.0,0.822797182403073,0.0,0.00033333333333333365,False,4,0,0.0,-0.0017543859649122794
0.025,0.01,0.823201944307835,0.0,0.0007380952380952414,False,5,0,0.0,-0.0019298245614035076
0.025,0.025,0.8251651477710386,0.0,0.0027012987012986858,False,7,1,0.040000000000000036,-0.004298245614035087
0.025,0.05,0.825736576342467,0.0,0.003272727272727242,False,12,1,0.040000000000000036,-0.007017543859649121
0.025,0.075,0.8267300828359735,0.0,0.004266233766233733,False,15,1,0.040000000000000036,-0.010964912280701754
0.025,0.1,0.8328872327512755,0.00928571428571423,0.010423383681535761,True,14,1,0.040000000000000036,-0.010526315789473682
0.05,0.0,0.824594801450692,0.0011428571428571122,0.002130952380952326,True,6,0,0.0,-0.005350877192982455
0.05,0.01,0.8249995633554539,0.0011428571428571122,0.0025357142857142336,True,7,0,0.0,-0.005526315789473683
0.05,0.025,0.8269627668186574,0.00374999999999992,0.004498917748917715,True,9,1,0.040000000000000036,-0.007894736842105263
0.05,0.05,0.827534195390086,0.00374999999999992,0.005070346320346271,True,14,1,0.040000000000000036,-0.010614035087719298
0.05,0.075,0.8285277018835925,0.00374999999999992,0.006063852813852762,True,17,1,0.040000000000000036,-0.014561403508771931
0.05,0.1,0.8346848517988946,0.009785714285714286,0.012221002729154865,True,16,1,0.040000000000000036,-0.014122807017543858
0.075,0.0,0.8249757538316445,0.0014999999999999458,0.0025119047619046966,True,8,0,0.0,-0.009122807017543859
0.075,0.01,0.8253805157364064,0.0022857142857142243,0.0029166666666666043,True,9,0,0.0,-0.009298245614035089
0.075,0.025,0.8273437191996097,0.00374999999999992,0.004879870129870086,True,11,1,0.040000000000000036,-0.011666666666666667
0.075,0.05,0.8279151477710384,0.00374999999999992,0.005451298701298642,True,16,1,0.040000000000000036,-0.014385964912280702
0.075,0.075,0.8289086542645449,0.00374999999999992,0.006444805194805133,True,19,1,0.040000000000000036,-0.018333333333333333
0.075,0.1,0.835065804179847,0.009785714285714286,0.012601955110107274,True,18,1,0.040000000000000036,-0.017894736842105262
0.1,0.0,0.8251900395459302,0.0010000000000000009,0.002726190476190419,True,8,0,0.0,-0.009122807017543859
0.1,0.01,0.8255948014506921,0.002214285714285724,0.0031309523809523268,True,9,0,0.0,-0.009298245614035089
0.1,0.025,0.8275580049138954,0.00374999999999992,0.005094155844155808,True,11,1,0.040000000000000036,-0.011666666666666667
0.1,0.05,0.8281294334853241,0.00374999999999992,0.005665584415584364,True,16,1,0.040000000000000036,-0.014385964912280702
0.1,0.075,0.8291229399788306,0.00374999999999992,0.006659090909090819,True,19,1,0.040000000000000036,-0.018333333333333333
0.1,0.1,0.8352800898941327,0.00928571428571423,0.012816240824392958,True,18,1,0.040000000000000036,-0.017894736842105262
