DATASET,TRUTH,AUDIO_KEYS,PATH_DUPLICATE_STEMS,MISSING_AUDIO,EXTRA_AUDIO,V47_QUERY,WPT,ID_ORDER_EQUAL_QUERY,ID_ORDER_EQUAL_WPT
factorial_eval_1200_v2_holdout,400,1200,0,0,800,400,400,1,1
phone_factorial_1200_v1,1200,1200,0,0,0,1200,1200,1,1
yue_cross_component_audit_v1,124,124,0,0,0,124,124,1,1
