DATASET,VOICE_WEIGHT,FILE_WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,ADS_DELTA,FILE_EER_DELTA,VOICE_EER_DELTA
yue,0.025,0.01,124,124,108,124,0.12228260869565216,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8652162225338944,,,0.0,0.0,0.0
factorial,0.025,0.025,400,400,350,350,0.22472727272727272,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7796363636363637,0.9958571428571428,0.8012584415584416,0.0038181818181818317,-0.007636363636363663,0.0
phone,0.025,0.025,1200,1200,800,800,0.17171428571428568,0.16249999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8306428571428571,0.9703312500000001,0.8446116964285715,0.004285714285714226,-0.006571428571428617,-0.0050000000000000044
yue,0.025,0.025,124,124,108,124,0.12228260869565216,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8652162225338944,,,0.0,0.0,0.0
factorial,0.025,0.05,400,400,350,350,0.22472727272727272,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7796363636363637,0.9958571428571428,0.8012584415584416,0.0038181818181818317,-0.007636363636363663,0.0
phone,0.025,0.05,1200,1200,800,800,0.16828571428571432,0.16249999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8323571428571428,0.9703312500000001,0.8461545535714285,0.005999999999999894,-0.009999999999999981,-0.0050000000000000044
yue,0.025,0.05,124,124,108,124,0.12228260869565216,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8652162225338944,,,0.0,0.0,0.0
factorial,0.025,0.075,400,400,350,350,0.2229090909090909,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7805454545454545,0.9958571428571428,0.8020766233766233,0.004727272727272691,-0.009454545454545493,0.0
phone,0.025,0.075,1200,1200,800,800,0.16414285714285715,0.16249999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8344285714285714,0.9703312500000001,0.8480188392857143,0.008071428571428507,-0.014142857142857151,-0.0050000000000000044
yue,0.025,0.075,124,124,108,124,0.12228260869565216,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8652162225338944,,,0.0,0.0,0.0
