COMPONENT,ALPHA,SEED,SELECTION,factorial_eval_1200_v2_dev,presence_source_disjoint_dev_v1
VOICE,0.01,20260902,0.961857142857143,0.9491428571428572,1.0
VOICE,0.01,20260903,0.9701136113221884,0.9601714285714286,0.9999401595744681
VOICE,0.01,20260904,0.9595,0.946,1.0
VOICE,0.003,20260902,0.9557697663373861,0.9410285714285714,0.9999933510638298
VOICE,0.003,20260903,0.9735126234802431,0.9646857142857143,0.9999933510638298
VOICE,0.003,20260904,0.9537571428571429,0.9383428571428571,1.0
VOICE,0.001,20260902,0.9583840520516718,0.9445142857142858,0.9999933510638298
VOICE,0.001,20260903,0.9645999999999999,0.9528,1.0
VOICE,0.001,20260904,0.9548714285714286,0.9398285714285715,1.0
VOICE,0.0003,20260902,0.9486554806231002,0.9315428571428571,0.9999933510638298
VOICE,0.0003,20260903,0.9595,0.946,1.0
VOICE,0.0003,20260904,0.9554714285714285,0.9406285714285715,1.0
VOICE,0.0001,20260902,0.943339532674772,0.9244571428571429,0.9999867021276596
VOICE,0.0001,20260903,0.9676,0.9568,1.0
VOICE,0.0001,20260904,0.9478857142857142,0.9305142857142857,1.0
MUSIC,0.01,20260902,0.9998285714285714,0.9997714285714285,1.0
MUSIC,0.01,20260903,0.9995714285714286,0.9994285714285714,1.0
MUSIC,0.01,20260904,0.9997,0.9996,1.0
MUSIC,0.003,20260902,0.9998285714285714,0.9997714285714285,1.0
MUSIC,0.003,20260903,0.9995714285714286,0.9994285714285714,1.0
MUSIC,0.003,20260904,0.9996571428571428,0.9995428571428572,1.0
MUSIC,0.001,20260902,0.9994428571428571,0.9992571428571428,1.0
MUSIC,0.001,20260903,0.9997428571428573,0.9996571428571429,1.0
MUSIC,0.001,20260904,0.9996571428571428,0.9995428571428572,1.0
MUSIC,0.0003,20260902,0.9996547754329004,0.9995428571428572,0.9999905303030303
MUSIC,0.0003,20260903,0.9995191017316017,0.9993714285714286,0.9999621212121212
MUSIC,0.0003,20260904,0.9995714285714286,0.9994285714285714,1.0
MUSIC,0.0001,20260902,0.9996547754329004,0.9995428571428572,0.9999905303030303
MUSIC,0.0001,20260903,0.9993547754329004,0.9991428571428571,0.9999905303030303
MUSIC,0.0001,20260904,0.9996571428571428,0.9995428571428572,1.0
