wd,epoch,val_loss,layer,mean,worst,concurrent_v,concurrent_m,partial_overlap_v,partial_overlap_m,sequential_v,sequential_m
1e-05,30,0.6285138726234436,0,0.34,0.42000000000000004,0.42000000000000004,0.30000000000000004,0.42000000000000004,0.28,0.33999999999999997,0.28
1e-05,30,0.6285138726234436,1,0.3233333333333333,0.43999999999999995,0.43999999999999995,0.31999999999999995,0.38,0.26,0.28,0.26
1e-05,30,0.6285138726234436,2,0.3433333333333333,0.4,0.31999999999999995,0.38,0.36,0.33999999999999997,0.26,0.4
1e-05,30,0.6285138726234436,3,0.3366666666666667,0.38,0.38,0.38,0.38,0.30000000000000004,0.30000000000000004,0.28
1e-05,30,0.6285138726234436,4,0.35000000000000003,0.48,0.48,0.4,0.33999999999999997,0.26,0.28,0.33999999999999997
1e-05,30,0.6285138726234436,5,0.3733333333333333,0.48,0.48,0.43999999999999995,0.33999999999999997,0.31999999999999995,0.28,0.38
1e-05,30,0.6285138726234436,6,0.4066666666666667,0.56,0.56,0.42000000000000004,0.36,0.31999999999999995,0.36,0.42000000000000004
1e-05,30,0.6285138726234436,7,0.39666666666666656,0.5,0.5,0.43999999999999995,0.38,0.33999999999999997,0.33999999999999997,0.38
1e-05,30,0.6285138726234436,8,0.4133333333333333,0.48,0.48,0.43999999999999995,0.38,0.33999999999999997,0.4,0.43999999999999995
1e-05,30,0.6285138726234436,9,0.38666666666666666,0.42000000000000004,0.4,0.42000000000000004,0.38,0.33999999999999997,0.38,0.4
1e-05,30,0.6285138726234436,10,0.4133333333333333,0.48,0.48,0.43999999999999995,0.4,0.36,0.42000000000000004,0.38
1e-05,30,0.6285138726234436,11,0.3999999999999999,0.48,0.43999999999999995,0.48,0.42000000000000004,0.31999999999999995,0.38,0.36
1e-05,30,0.6285138726234436,12,0.4133333333333333,0.48,0.48,0.4,0.43999999999999995,0.36,0.42000000000000004,0.38
0.0001,30,0.6284934878349304,0,0.34,0.42000000000000004,0.42000000000000004,0.30000000000000004,0.42000000000000004,0.28,0.33999999999999997,0.28
0.0001,30,0.6284934878349304,1,0.3233333333333333,0.43999999999999995,0.43999999999999995,0.31999999999999995,0.38,0.26,0.28,0.26
0.0001,30,0.6284934878349304,2,0.3433333333333333,0.4,0.31999999999999995,0.38,0.36,0.33999999999999997,0.26,0.4
0.0001,30,0.6284934878349304,3,0.3366666666666667,0.38,0.38,0.38,0.38,0.30000000000000004,0.30000000000000004,0.28
0.0001,30,0.6284934878349304,4,0.35000000000000003,0.48,0.48,0.4,0.33999999999999997,0.26,0.28,0.33999999999999997
0.0001,30,0.6284934878349304,5,0.3733333333333333,0.48,0.48,0.43999999999999995,0.33999999999999997,0.31999999999999995,0.28,0.38
0.0001,30,0.6284934878349304,6,0.4066666666666667,0.56,0.56,0.42000000000000004,0.36,0.31999999999999995,0.36,0.42000000000000004
0.0001,30,0.6284934878349304,7,0.39666666666666656,0.5,0.5,0.43999999999999995,0.38,0.33999999999999997,0.33999999999999997,0.38
