SPLIT,KIND,EVALUATION,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,SCORE_COLUMN,LABEL_COLUMN,EER
holdout,mode_score,concurrent,100,100.0,100.0,100.0,0.4,0.45999999999999996,0.33999999999999997,,,0.6060000000000001,,,,,
holdout,mode_score,music_only,50,50.0,0.0,50.0,0.4,,0.4,,,,,,,,
holdout,mode_score,partial_overlap,100,100.0,100.0,100.0,0.24,0.18000000000000002,0.28,,,0.76,,,,,
holdout,mode_score,sequential,100,100.0,100.0,100.0,0.19999999999999998,0.18000000000000002,0.36,,,0.756,,,,,
holdout,mode_score,voice_only,50,50.0,50.0,0.0,0.07999999999999999,0.07999999999999999,,,,,,,,,
holdout,contrast_eer,voice_only_real_vs_fake,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.07999999999999999
holdout,contrast_eer,music_only_real_vs_fake,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.4
holdout,contrast_eer,concurrent__voice_eer__music_real,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.43999999999999995
holdout,contrast_eer,concurrent__voice_eer__music_fake,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.36
holdout,contrast_eer,concurrent__music_eer__voice_real,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.4
holdout,contrast_eer,concurrent__music_eer__voice_fake,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.28
holdout,contrast_eer,concurrent__file_rr_vs_fake_voice_real_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.52
holdout,contrast_eer,concurrent__file_rr_vs_real_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.4
holdout,contrast_eer,concurrent__file_rr_vs_fake_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.31999999999999995
holdout,contrast_eer,partial_overlap__voice_eer__music_real,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.12
holdout,contrast_eer,partial_overlap__voice_eer__music_fake,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.24
holdout,contrast_eer,partial_overlap__music_eer__voice_real,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.28
holdout,contrast_eer,partial_overlap__music_eer__voice_fake,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.28
holdout,contrast_eer,partial_overlap__file_rr_vs_fake_voice_real_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.19999999999999998
holdout,contrast_eer,partial_overlap__file_rr_vs_real_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.36
holdout,contrast_eer,partial_overlap__file_rr_vs_fake_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.24
holdout,contrast_eer,sequential__voice_eer__music_real,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.12
holdout,contrast_eer,sequential__voice_eer__music_fake,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.19999999999999998
holdout,contrast_eer,sequential__music_eer__voice_real,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.4
holdout,contrast_eer,sequential__music_eer__voice_fake,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.31999999999999995
holdout,contrast_eer,sequential__file_rr_vs_fake_voice_real_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.16000000000000003
holdout,contrast_eer,sequential__file_rr_vs_real_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.36
holdout,contrast_eer,sequential__file_rr_vs_fake_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.12
locked,mode_score,concurrent,100,100.0,100.0,100.0,0.48,0.30000000000000004,0.4,,,0.5800000000000001,,,,,
locked,mode_score,music_only,50,50.0,0.0,50.0,0.36,,0.36,,,,,,,,
locked,mode_score,partial_overlap,100,100.0,100.0,100.0,0.31999999999999995,0.19999999999999998,0.38,,,0.6859999999999999,,,,,
locked,mode_score,sequential,100,100.0,100.0,100.0,0.23333333333333334,0.16000000000000003,0.33999999999999997,,,0.7493333333333334,,,,,
locked,mode_score,voice_only,50,50.0,50.0,0.0,0.12,0.12,,,,,,,,,
locked,contrast_eer,voice_only_real_vs_fake,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.12
locked,contrast_eer,music_only_real_vs_fake,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.36
locked,contrast_eer,concurrent__voice_eer__music_real,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.4
locked,contrast_eer,concurrent__voice_eer__music_fake,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.19999999999999998
locked,contrast_eer,concurrent__music_eer__voice_real,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.4
locked,contrast_eer,concurrent__music_eer__voice_fake,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.36
locked,contrast_eer,concurrent__file_rr_vs_fake_voice_real_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.52
locked,contrast_eer,concurrent__file_rr_vs_real_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.52
locked,contrast_eer,concurrent__file_rr_vs_fake_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.43999999999999995
locked,contrast_eer,partial_overlap__voice_eer__music_real,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.16000000000000003
locked,contrast_eer,partial_overlap__voice_eer__music_fake,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.24
locked,contrast_eer,partial_overlap__music_eer__voice_real,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.4
locked,contrast_eer,partial_overlap__music_eer__voice_fake,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.4
locked,contrast_eer,partial_overlap__file_rr_vs_fake_voice_real_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.31999999999999995
locked,contrast_eer,partial_overlap__file_rr_vs_real_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.4
locked,contrast_eer,partial_overlap__file_rr_vs_fake_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.24
locked,contrast_eer,sequential__voice_eer__music_real,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.07999999999999999
locked,contrast_eer,sequential__voice_eer__music_fake,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.24
locked,contrast_eer,sequential__music_eer__voice_real,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.28
locked,contrast_eer,sequential__music_eer__voice_fake,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.36
locked,contrast_eer,sequential__file_rr_vs_fake_voice_real_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.16000000000000003
locked,contrast_eer,sequential__file_rr_vs_real_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.28
locked,contrast_eer,sequential__file_rr_vs_fake_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.12
