SPLIT,EVAL_CELL,N,FILE_FAKE_PROB_Q10,FILE_FAKE_PROB_MEDIAN,FILE_FAKE_PROB_Q90,VOICE_FAKE_PROB_Q10,VOICE_FAKE_PROB_MEDIAN,VOICE_FAKE_PROB_Q90,MUSIC_FAKE_PROB_Q10,MUSIC_FAKE_PROB_MEDIAN,MUSIC_FAKE_PROB_Q90,VOICE_PRESENT_PROB_Q10,VOICE_PRESENT_PROB_MEDIAN,VOICE_PRESENT_PROB_Q90,MUSIC_PRESENT_PROB_Q10,MUSIC_PRESENT_PROB_MEDIAN,MUSIC_PRESENT_PROB_Q90
all,concurrent__voice_fake__music_fake,75,0.25124373012,0.5094572256,0.7596382037400001,0.2345456093,0.4574090019,0.72683517172,0.22619937566,0.4562971427,0.64122641114,0.16006487606,0.6686828136,0.8436951518,0.16407736540000004,0.8644915223,0.9280337811
all,concurrent__voice_fake__music_real,75,0.19934253298000001,0.367725329,0.6131881808400002,0.20668070618,0.367725329,0.6124763891200002,0.1177336867,0.2832386093,0.4818483229,0.18183977906,0.5778861642,0.8429289937200002,0.8044298409999999,0.8841969371,0.9203940511
all,concurrent__voice_real__music_fake,75,0.14767274030000002,0.4516718938,0.6306815938400004,0.03283290908,0.2858229064,0.54947135668,0.21661180774,0.4453680242,0.5999417234600001,0.18762982488000002,0.6793732047,0.87357140782,0.5475404620000001,0.8681055307,0.90987035032
all,concurrent__voice_real__music_real,75,0.13977407596,0.3350851285,0.5356681849000002,0.03225564800000002,0.2941860141,0.49565622876,0.12971594246,0.2925169235,0.5216497905400002,0.28088360430000003,0.6566768289,0.8329241037200001,0.75413548942,0.8747214675,0.92408472304
all,music_only__music_fake,75,0.30070933982,0.5596744601,0.8347726842200002,0.16881559932,0.4143075753,0.72260653204,0.30070933982,0.5596744601,0.8347726842200002,0.02217565404,0.0435836948,0.17597324252000002,0.8239178300000001,0.8938526511,0.93979008196
all,music_only__music_real,75,0.12665131326,0.3787148188,0.5797791297600001,0.09163771612,0.2516296696,0.48088872786000003,0.11123254374,0.3545056752,0.5797791297600001,0.02389038428,0.0396832824,0.13990992906000005,0.80891046524,0.8879173398,0.9278763890399999
all,partial_overlap__voice_fake__music_fake,75,0.36260636384,0.6504644695,0.9022314373800001,0.3058251759,0.649496747,0.9198085677400003,0.33075753028,0.5440511469,0.82946088636,0.51719715596,0.7699337006,0.85584810972,0.78298356534,0.8694559336,0.91850528718
all,partial_overlap__voice_fake__music_real,75,0.3039729654,0.6362031179,0.9392727708,0.33968858256,0.6863333404,0.9392727708,0.18276140658,0.4024554196,0.6689913169000001,0.60537666082,0.7914019227,0.8466408968,0.7608789921,0.8796523213,0.93069617748
all,partial_overlap__voice_real__music_fake,75,0.3190767653,0.4540348171,0.6919448572400001,0.15574082708,0.3233979326,0.5481843102800001,0.29155729628000004,0.4354493993,0.6919448572400001,0.61124577522,0.7539131045,0.8723986983,0.73533852102,0.8697054982,0.9294637084
all,partial_overlap__voice_real__music_real,75,0.22933041246,0.3902391209,0.6034622256400002,0.16318311968,0.2554832746,0.5112537019200001,0.16232537038,0.3076581068,0.5167035779400001,0.59325215818,0.7985028625,0.8820572853,0.80987455842,0.883055985,0.92611597774
all,sequential__voice_fake__music_fake,75,0.52169998746,0.8499598451,0.9750705886,0.44816772408,0.8240563016,0.97657001212,0.4206583907,0.6592692413,0.8856782883400001,0.7370563507,0.8152037263,0.87404285668,0.71060068606,0.881418407,0.9293083668
all,sequential__voice_fake__music_real,75,0.46470194294,0.7609156135,0.96314126786,0.40828157334000004,0.7538664283,0.96314126786,0.26205091366,0.4782541016,0.7584463823,0.74451011416,0.8101089001,0.877117157,0.7641518950599999,0.8682792187,0.9244545817200001
all,sequential__voice_real__music_fake,75,0.3555075645,0.5371699482,0.7997024416000004,0.14300660878,0.343830326,0.6564662199800001,0.33625668848,0.5525053378,0.7541357858400003,0.75655303,0.8223956227,0.87687752246,0.60803163054,0.8723682761,0.91904712916
all,sequential__voice_real__music_real,75,0.26799993578,0.4012376747,0.5679130234800001,0.12512829208,0.2608946414,0.4424215273800002,0.2206000434,0.3810123737,0.56256405738,0.69952327012,0.8270197511,0.88329401016,0.83290373086,0.8876648545,0.93049081568
all,voice_only__voice_fake,75,0.5423265773600001,0.971793692,0.9997887694400001,0.5423265773600001,0.971793692,0.9997887694400001,0.54711254526,0.757899824,0.87045936024,0.7439325451600001,0.8121485114,0.8842428088400001,0.0270493966,0.0397040769,0.059288936860000016
all,voice_only__voice_real,75,0.0011505805400000002,0.072392434,0.5805910441800006,0.0011505805400000002,0.072392434,0.5805910441800006,0.34557269088,0.5597936621,0.6622931776600001,0.7486213326200001,0.8315433264,0.88761552574,0.0312989842,0.0460459627,0.08177553412000003
dev,concurrent__voice_fake__music_fake,25,0.28126912348000005,0.5011443914,0.7559637205,0.25151321232,0.4951995663,0.73934150554,0.2964049108,0.4760388801,0.64730222602,0.348551172,0.7651946545,0.8822465539000001,0.07651995126000001,0.8644681573,0.9320269584800001
dev,concurrent__voice_fake__music_real,25,0.2484091616,0.4062313825,0.66026633186,0.23595107366,0.4196694383,0.6583521704599999,0.11410766212000001,0.3118960255,0.49802717480000014,0.23309693932,0.5383004546,0.8157640696,0.80812380312,0.8905546665,0.91973283294
dev,concurrent__voice_real__music_fake,25,0.2564938416,0.4930320525,0.66328948888,0.16954723330000002,0.3769567728,0.5806794119,0.23988186086000002,0.4418994876,0.5909043217000001,0.16393600108,0.6793732047,0.8832923889000001,0.6609464169,0.8567203283,0.90987035032
dev,concurrent__voice_real__music_real,25,0.15163283122000004,0.3099195597,0.47793215854,0.17207687436,0.3134618542,0.4738824373,0.08901132182000002,0.2925169235,0.4595184970000001,0.30336372254,0.5454799533,0.82260677812,0.78951534036,0.8667495251,0.91716743708
dev,music_only__music_fake,25,0.32225950994,0.5347336271,0.80939448362,0.20518159524000001,0.3390621108,0.6339095876,0.32225950994,0.5340555149,0.80939448362,0.01967661864,0.0278360657,0.14125044344,0.84572262766,0.8983509541,0.94656333924
dev,music_only__music_real,25,0.14871084504,0.3787148188,0.5598424602800002,0.10659851142000001,0.2251810821,0.43460008470000006,0.14871084504,0.3549876077,0.5598424602800002,0.02430557942,0.0312968418,0.10105949940000003,0.82802823782,0.8865557313,0.92314584254
dev,partial_overlap__voice_fake__music_fake,25,0.41457024434,0.6251684058,0.76077196152,0.33916677816,0.5665549772,0.76077196152,0.38497511086,0.6231693194,0.79251643602,0.56291439534,0.783916831,0.85941795108,0.12046086786000004,0.8396474719,0.91988841294
dev,partial_overlap__voice_fake__music_real,25,0.25319100528000005,0.7081927814,0.9604371660000001,0.35251717524000004,0.7081927814,0.9604371660000001,0.19603034726,0.4839630823,0.65233319396,0.66287645104,0.8194659948,0.8639101386,0.83048028946,0.8884930015,0.93069617748
dev,partial_overlap__voice_real__music_fake,25,0.3248573498,0.4354493993,0.69194485724,0.16460415328000003,0.3750347006,0.54880457212,0.3188259959,0.4354493993,0.7127105805,0.5674933791400001,0.7699764967,0.8693412065400001,0.66533737186,0.8697054982,0.93819675448
dev,partial_overlap__voice_real__music_real,25,0.27211914304,0.4073848975,0.62833356062,0.16602502952,0.3016954148,0.5914906239400002,0.16978625174,0.3076581068,0.5118287445799999,0.7401249170399999,0.8104653955,0.85665372608,0.8168076396,0.8834874034,0.9330792665400001
dev,sequential__voice_fake__music_fake,25,0.50858237256,0.8499598451,0.98187820086,0.44816772408,0.7782993689,0.98187820086,0.50858237256,0.6832663445,0.9063962267000001,0.70759948494,0.8139626384,0.85323524478,0.61988010406,0.8990648985,0.93662089108
dev,sequential__voice_fake__music_real,25,0.37533914209999997,0.7145420154,0.95646723584,0.35107526564,0.7145420154,0.95646723584,0.26442569766,0.4782541016,0.68090432984,0.75443305968,0.8101089001,0.86196920872,0.7348592042800001,0.86213094,0.9172406435
dev,sequential__voice_real__music_fake,25,0.3532932182,0.5149792347,0.7541357858400001,0.14440450946,0.247035451,0.48730616354,0.42669320668000005,0.5670585808,0.81660276012,0.7615705371,0.8223956227,0.8849873543000001,0.4020921409000001,0.8768853545,0.93358705044
dev,sequential__voice_real__music_real,25,0.22213031986000004,0.3589153995,0.58620619486,0.09064414896000003,0.2255913773,0.5110438309200002,0.22213031986000004,0.3589153995,0.55994820588,0.6795620679600001,0.8117448688,0.89544707538,0.85444830658,0.8855686784,0.93067722318
