layer,balanced_accuracy,accuracy
0,0.39333333333333337,0.3933333333333333
1,0.41333333333333333,0.41333333333333333
2,0.44,0.44
3,0.44,0.44
4,0.3933333333333333,0.3933333333333333
5,0.35666666666666663,0.3566666666666667
6,0.3433333333333334,0.3433333333333333
7,0.37,0.37
8,0.33999999999999997,0.34
9,0.29000000000000004,0.29
10,0.32333333333333336,0.3233333333333333
11,0.3333333333333333,0.3333333333333333
12,0.31666666666666665,0.31666666666666665
