dynamic,wd,epoch,val_loss,split,mean,worst,concurrent_v,concurrent_m,partial_overlap_v,partial_overlap_m,sequential_v,sequential_m
False,0.0001,30,0.39387422800064087,dev,0.35000000000000003,0.5,0.5,0.38,0.36,0.31999999999999995,0.21999999999999997,0.31999999999999995
False,0.0001,30,0.39387422800064087,holdout,0.3466666666666667,0.42000000000000004,0.33999999999999997,0.38,0.42000000000000004,0.30000000000000004,0.28,0.36
False,0.0001,30,0.39387422800064087,locked,0.34333333333333327,0.43999999999999995,0.43999999999999995,0.36,0.36,0.28,0.36,0.26
False,0.001,30,0.39383170008659363,dev,0.35000000000000003,0.5,0.5,0.38,0.36,0.31999999999999995,0.21999999999999997,0.31999999999999995
False,0.001,30,0.39383170008659363,holdout,0.3466666666666667,0.42000000000000004,0.33999999999999997,0.38,0.42000000000000004,0.30000000000000004,0.28,0.36
False,0.001,30,0.39383170008659363,locked,0.34333333333333327,0.43999999999999995,0.43999999999999995,0.36,0.36,0.28,0.36,0.26
False,0.01,30,0.39340826869010925,dev,0.35000000000000003,0.5,0.5,0.38,0.36,0.31999999999999995,0.21999999999999997,0.31999999999999995
False,0.01,30,0.39340826869010925,holdout,0.3466666666666667,0.42000000000000004,0.33999999999999997,0.38,0.42000000000000004,0.30000000000000004,0.28,0.36
False,0.01,30,0.39340826869010925,locked,0.34333333333333327,0.43999999999999995,0.43999999999999995,0.36,0.36,0.28,0.36,0.26
False,0.1,30,0.38936102390289307,dev,0.35000000000000003,0.5,0.5,0.38,0.36,0.31999999999999995,0.21999999999999997,0.31999999999999995
False,0.1,30,0.38936102390289307,holdout,0.3466666666666667,0.42000000000000004,0.33999999999999997,0.38,0.42000000000000004,0.30000000000000004,0.28,0.36
False,0.1,30,0.38936102390289307,locked,0.34333333333333327,0.43999999999999995,0.43999999999999995,0.36,0.36,0.28,0.36,0.26
True,0.0001,10,0.5603708624839783,dev,0.38999999999999996,0.43999999999999995,0.43999999999999995,0.43999999999999995,0.42000000000000004,0.28,0.42000000000000004,0.33999999999999997
True,0.0001,10,0.5603708624839783,holdout,0.38000000000000006,0.48,0.48,0.42000000000000004,0.42000000000000004,0.33999999999999997,0.24,0.38
True,0.0001,10,0.5603708624839783,locked,0.3633333333333333,0.45999999999999996,0.43999999999999995,0.30000000000000004,0.45999999999999996,0.33999999999999997,0.36,0.28
True,0.001,10,0.5603381991386414,dev,0.38999999999999996,0.43999999999999995,0.43999999999999995,0.43999999999999995,0.42000000000000004,0.28,0.42000000000000004,0.33999999999999997
True,0.001,10,0.5603381991386414,holdout,0.38000000000000006,0.48,0.48,0.42000000000000004,0.42000000000000004,0.33999999999999997,0.24,0.38
True,0.001,10,0.5603381991386414,locked,0.3633333333333333,0.45999999999999996,0.43999999999999995,0.30000000000000004,0.45999999999999996,0.33999999999999997,0.36,0.28
True,0.01,10,0.5600135922431946,dev,0.38999999999999996,0.43999999999999995,0.43999999999999995,0.43999999999999995,0.42000000000000004,0.28,0.42000000000000004,0.33999999999999997
True,0.01,10,0.5600135922431946,holdout,0.38000000000000006,0.48,0.48,0.42000000000000004,0.42000000000000004,0.33999999999999997,0.24,0.38
True,0.01,10,0.5600135922431946,locked,0.3633333333333333,0.45999999999999996,0.43999999999999995,0.30000000000000004,0.45999999999999996,0.33999999999999997,0.36,0.28
True,0.1,10,0.5567862391471863,dev,0.38999999999999996,0.43999999999999995,0.43999999999999995,0.43999999999999995,0.42000000000000004,0.28,0.42000000000000004,0.33999999999999997
True,0.1,10,0.5567862391471863,holdout,0.38000000000000006,0.48,0.48,0.42000000000000004,0.42000000000000004,0.33999999999999997,0.24,0.38
True,0.1,10,0.5567862391471863,locked,0.36000000000000004,0.45999999999999996,0.43999999999999995,0.28,0.45999999999999996,0.33999999999999997,0.36,0.28
