DATASET,CHANNEL,FILE_EER,VOICE_EER,MUSIC_EER,ADS
factorial_eval_1200_v2_holdout,clean,0.25527272727272726,0.29714285714285715,0.23428571428571432,0.7426493506493506
phone_factorial_1200_v1,clean,0.12757142857142856,0.22750000000000004,0.09250000000000001,0.8629642857142857
yue_cross_component_audit_v1,clean,0.25,0.37083333333333335,0.12903225806451613,0.7621236559139786
