epoch,train_loss,pooled_eer,macro_domain_eer,worst_domain_eer,selection,seconds
0,,0.2548699832343034,0.26188251563251563,0.3866666666666667,0.7166669203597602,12.276856627315283
1,0.3428599667386152,0.2682468500979284,0.2650093193843194,0.40166666666666667,0.7060404458024067,39.32851851731539
2,0.29688427079236135,0.24876790856196151,0.2655050505050505,0.39,0.7179645305675041,62.99106458295137
3,0.28582566714612767,0.25416564772649664,0.26283970658970657,0.36833333333333335,0.720398597493173,89.38630067091435
4,0.27500474033877254,0.2555737679636398,0.26874939874939874,0.4066666666666666,0.7102549630600272,116.86227575223893
5,0.2510923327790806,0.24806401367693098,0.259464886964887,0.3733333333333333,0.7234618604054017,137.00550231710076
6,0.2355406429269351,0.2520535224486289,0.2665680615680615,0.37,0.7200028203052671,162.21286401338875
