DATASET,N,MUSIC_EER
factorial_eval_1200_v2_holdout,350,0.27428571428571424
phone_factorial_1200_v1,800,0.21750000000000003
yue_cross_component_audit_v1,124,0.14516129032258063
suno_vocals_v1,13,
