EPOCH,TRAIN_LOSS,BASE_LOSS,INVARIANCE_LOSS,SELECTION,MEAN_ADS,WORST_ADS
0,0.5740270916024844,0.531066774725914,0.04296031712197388,0.7629886363636363,0.8187824675324675,0.7071948051948052
1,0.32159788129727046,0.2687870783259471,0.052810803549519426,0.7617699915824916,0.8260334896584897,0.6975064935064935
2,0.23743777536104121,0.19193273496627808,0.045505040223011745,0.760349957912458,0.8300245911495913,0.6906753246753247
3,0.190225015796721,0.15071225333896776,0.03951276264637272,0.7567267466329967,0.8294794672919673,0.683974025974026
4,0.1709476139297088,0.13627028555298845,0.034677328342280815,0.7663295454545455,0.838737012987013,0.6939220779220779
5,0.1460716787048926,0.1163408248409008,0.02973085391437053,0.7895338804713805,0.8392755531505532,0.7397922077922077
6,0.12541750699902574,0.09869574060974022,0.026721766333617173,0.7740621843434343,0.823345147907648,0.7247792207792207
7,0.1213136620980998,0.09705305044508229,0.024260611624130738,0.7608210227272727,0.8212524350649351,0.7003896103896105
8,0.10498287768863762,0.0841239067420053,0.02085897094392461,0.757623106060606,0.8228566017316018,0.6923896103896103
9,0.10552477385569364,0.08432686304595942,0.021197910901699896,0.7636215277777778,0.8261001984126984,0.7011428571428572
10,0.10307671346872424,0.08268441970037141,0.02039229379131492,0.7613815235690236,0.8254383718133718,0.6973246753246753
11,0.08380112216862229,0.06576194289311146,0.018039179242382186,0.7786467803030304,0.83477408008658,0.7225194805194806
12,0.08436018890227812,0.06751658958607974,0.016843599122872397,0.7679081439393939,0.8287773268398267,0.707038961038961
13,0.07951712433737702,0.06433989530949233,0.015177229106310771,0.7698684764309764,0.8199187710437711,0.7198181818181818
14,0.08134603985251548,0.06487606394702258,0.01646997577069275,0.7743715277777778,0.8276001984126985,0.7211428571428572
15,0.07423806969103558,0.05911952639937711,0.015118543110140915,0.7666082702020203,0.8330606962481962,0.7001558441558442
