DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
factorial_eval_1200_v2,1200,1200,1050,1050,0.2615757575757576,0.3447619047619047,0.2380952380952381,0.9806984126984126,0.9802031746031745,0.7288311688311688,0.9804507936507936,0.7539931313131313
phone_factorial_1200_v1,1200,1200,800,800,0.15000000000000002,0.23250000000000004,0.13749999999999998,0.99950625,0.996834375,0.83725,0.9981703125000001,0.8533420312500002
yue_cross_component_audit_v1,124,124,108,124,0.21807065217391303,0.2958333333333334,0.12903225806451613,0.9508101851851851,,0.7930883298270219,,
suno_vocals_v1,13,13,13,13,,,,,,,,
