BANK,ROLE,MODEL,GROUP,VALUE,N,FILE_EER
train_channel_invariant,selection,noisy_or_logit_w20_gated,CHANNEL,g726_24k,177,0.1632538569424965
train_channel_invariant,selection,noisy_or_logit_w20_gated,CHANNEL,mulaw_numpy,166,0.22941970310391366
train_channel_invariant,selection,noisy_or_logit_w20_gated,CHANNEL,opus_nb_12k,153,0.20286195286195285
train_channel_invariant,selection,noisy_or_logit_w20_gated,CHANNEL,opus_nb_8k,158,0.2652423137050547
train_channel_invariant,selection,noisy_or_logit_w20_gated,CHANNEL,packetloss_g711,169,0.1716517857142857
train_channel_invariant,selection,noisy_or_logit_w20_gated,CHANNEL,packetloss_opus_nb,164,0.24897524184292508
train_channel_invariant,selection,noisy_or_logit_w20_gated,CHANNEL,pstn_bandpass,178,0.15214431586113003
train_channel_invariant,selection,noisy_or_logit_w20_gated,CHANNEL,random_bandpass,169,0.20884199511684687
train_channel_invariant,selection,noisy_or_logit_w20_gated,CHANNEL,resample8k,180,0.12807545106615636
train_channel_invariant,selection,noisy_or_logit_w20_gated,IS_PHONE,False,1057,0.10503878101105671
train_channel_invariant,selection,noisy_or_logit_w20_gated,IS_PHONE,True,1943,0.18781467950074535
train_channel_invariant,selection,presence_logit_max_w20_gated,MIX_MODE,concurrent,750,0.22251931075460485
train_channel_invariant,selection,presence_logit_max_w20_gated,MIX_MODE,music_only,600,0.09666666666666668
train_channel_invariant,selection,presence_logit_max_w20_gated,MIX_MODE,partial_overlap,525,0.1736352070321536
train_channel_invariant,selection,presence_logit_max_w20_gated,MIX_MODE,sequential,525,0.09886074485311129
train_channel_invariant,selection,presence_logit_max_w20_gated,MIX_MODE,voice_only,600,0.20666666666666667
train_channel_invariant,selection,presence_logit_max_w20_gated,CHANNEL,clean,1000,0.10289992493382323
train_channel_invariant,selection,presence_logit_max_w20_gated,CHANNEL,fft_narrowband,163,0.17734193975504797
train_channel_invariant,selection,presence_logit_max_w20_gated,CHANNEL,g711_alaw,163,0.13420122147219543
train_channel_invariant,selection,presence_logit_max_w20_gated,CHANNEL,g711_ulaw,160,0.125
train_channel_invariant,selection,presence_logit_max_w20_gated,CHANNEL,g726_24k,177,0.1632538569424965
train_channel_invariant,selection,presence_logit_max_w20_gated,CHANNEL,mulaw_numpy,166,0.21541835357624833
train_channel_invariant,selection,presence_logit_max_w20_gated,CHANNEL,opus_nb_12k,153,0.2222222222222222
train_channel_invariant,selection,presence_logit_max_w20_gated,CHANNEL,opus_nb_8k,158,0.2652423137050547
train_channel_invariant,selection,presence_logit_max_w20_gated,CHANNEL,packetloss_g711,169,0.18898809523809523
train_channel_invariant,selection,presence_logit_max_w20_gated,CHANNEL,packetloss_opus_nb,164,0.24897524184292508
train_channel_invariant,selection,presence_logit_max_w20_gated,CHANNEL,pstn_bandpass,178,0.15214431586113003
train_channel_invariant,selection,presence_logit_max_w20_gated,CHANNEL,random_bandpass,169,0.21294035577258458
train_channel_invariant,selection,presence_logit_max_w20_gated,CHANNEL,resample8k,180,0.13231273920174957
train_channel_invariant,selection,presence_logit_max_w20_gated,IS_PHONE,False,1057,0.10784421585345727
train_channel_invariant,selection,presence_logit_max_w20_gated,IS_PHONE,True,1943,0.1965751242438971
train_channel_invariant,selection,phone_w30_w20_gated,MIX_MODE,concurrent,750,0.2172000113176584
train_channel_invariant,selection,phone_w30_w20_gated,MIX_MODE,music_only,600,0.11666666666666668
train_channel_invariant,selection,phone_w30_w20_gated,MIX_MODE,partial_overlap,525,0.17996761508211892
train_channel_invariant,selection,phone_w30_w20_gated,MIX_MODE,sequential,525,0.09252833680314597
train_channel_invariant,selection,phone_w30_w20_gated,MIX_MODE,voice_only,600,0.20666666666666667
train_channel_invariant,selection,phone_w30_w20_gated,CHANNEL,clean,1000,0.10883059188143934
train_channel_invariant,selection,phone_w30_w20_gated,CHANNEL,fft_narrowband,163,0.19083085071168485
train_channel_invariant,selection,phone_w30_w20_gated,CHANNEL,g711_alaw,163,0.14729990356798459
train_channel_invariant,selection,phone_w30_w20_gated,CHANNEL,g711_ulaw,160,0.09375
train_channel_invariant,selection,phone_w30_w20_gated,CHANNEL,g726_24k,177,0.1632538569424965
train_channel_invariant,selection,phone_w30_w20_gated,CHANNEL,mulaw_numpy,166,0.22941970310391366
train_channel_invariant,selection,phone_w30_w20_gated,CHANNEL,opus_nb_12k,153,0.20286195286195285
train_channel_invariant,selection,phone_w30_w20_gated,CHANNEL,opus_nb_8k,158,0.26029181865554973
train_channel_invariant,selection,phone_w30_w20_gated,CHANNEL,packetloss_g711,169,0.18898809523809523
train_channel_invariant,selection,phone_w30_w20_gated,CHANNEL,packetloss_opus_nb,164,0.26242006886374813
train_channel_invariant,selection,phone_w30_w20_gated,CHANNEL,pstn_bandpass,178,0.15214431586113003
train_channel_invariant,selection,phone_w30_w20_gated,CHANNEL,random_bandpass,169,0.21294035577258458
train_channel_invariant,selection,phone_w30_w20_gated,CHANNEL,resample8k,180,0.1157736468015309
train_channel_invariant,selection,phone_w30_w20_gated,IS_PHONE,False,1057,0.11064965069585783
train_channel_invariant,selection,phone_w30_w20_gated,IS_PHONE,True,1943,0.18934083874223548
train_channel_invariant,selection,learned_monotone_l2_1,MIX_MODE,concurrent,750,0.22694734459440344
train_channel_invariant,selection,learned_monotone_l2_1,MIX_MODE,music_only,600,0.14
train_channel_invariant,selection,learned_monotone_l2_1,MIX_MODE,partial_overlap,525,0.18757228776312748
train_channel_invariant,selection,learned_monotone_l2_1,MIX_MODE,sequential,525,0.10519315290307657
train_channel_invariant,selection,learned_monotone_l2_1,MIX_MODE,voice_only,600,0.20999999999999996
train_channel_invariant,selection,learned_monotone_l2_1,CHANNEL,clean,1000,0.11695617627821017
train_channel_invariant,selection,learned_monotone_l2_1,CHANNEL,fft_narrowband,163,0.2090367428003972
train_channel_invariant,selection,learned_monotone_l2_1,CHANNEL,g711_alaw,163,0.14729990356798459
train_channel_invariant,selection,learned_monotone_l2_1,CHANNEL,g711_ulaw,160,0.15625
train_channel_invariant,selection,learned_monotone_l2_1,CHANNEL,g726_24k,177,0.19242636746143058
train_channel_invariant,selection,learned_monotone_l2_1,CHANNEL,mulaw_numpy,166,0.22941970310391366
train_channel_invariant,selection,learned_monotone_l2_1,CHANNEL,opus_nb_12k,153,0.2222222222222222
train_channel_invariant,selection,learned_monotone_l2_1,CHANNEL,opus_nb_8k,158,0.2652423137050547
train_channel_invariant,selection,learned_monotone_l2_1,CHANNEL,packetloss_g711,169,0.1716517857142857
train_channel_invariant,selection,learned_monotone_l2_1,CHANNEL,packetloss_opus_nb,164,0.24897524184292508
train_channel_invariant,selection,learned_monotone_l2_1,CHANNEL,pstn_bandpass,178,0.15656909462219198
train_channel_invariant,selection,learned_monotone_l2_1,CHANNEL,random_bandpass,169,0.23587373561213815
train_channel_invariant,selection,learned_monotone_l2_1,CHANNEL,resample8k,180,0.1115363586659377
train_channel_invariant,selection,learned_monotone_l2_1,IS_PHONE,False,1057,0.11833709224929864
train_channel_invariant,selection,learned_monotone_l2_1,IS_PHONE,True,1943,0.19810128348538722
codec_mixed_dev_v4,selection,input_file,MIX_MODE,concurrent,200,0.28
codec_mixed_dev_v4,selection,input_file,MIX_MODE,partial_overlap,200,0.25666666666666665
codec_mixed_dev_v4,selection,input_file,MIX_MODE,sequential,200,0.1433333333333333
codec_mixed_dev_v4,selection,input_file,CHANNEL,clean,120,0.09999999999999999
codec_mixed_dev_v4,selection,input_file,CHANNEL,g711_ulaw,120,0.19999999999999998
codec_mixed_dev_v4,selection,input_file,CHANNEL,g722_wb,120,0.16666666666666663
codec_mixed_dev_v4,selection,input_file,CHANNEL,opus_nb_8k,120,0.33333333333333337
codec_mixed_dev_v4,selection,input_file,CHANNEL,transcode_g711_opus,120,0.30000000000000004
codec_mixed_dev_v4,selection,input_file,IS_PHONE,False,239,0.11978584729981377
codec_mixed_dev_v4,selection,input_file,IS_PHONE,True,361,0.3086920869208692
codec_mixed_dev_v4,selection,input_file,MIX_MODE_X_FILE_CASE,concurrent__RR_vs_RF,100,0.24
codec_mixed_dev_v4,selection,input_file,MIX_MODE_X_FILE_CASE,concurrent__RR_vs_FR,100,0.4
codec_mixed_dev_v4,selection,input_file,MIX_MODE_X_FILE_CASE,concurrent__RR_vs_FF,100,0.19999999999999998
codec_mixed_dev_v4,selection,input_file,MIX_MODE_X_FILE_CASE,partial_overlap__RR_vs_RF,100,0.33999999999999997
codec_mixed_dev_v4,selection,input_file,MIX_MODE_X_FILE_CASE,partial_overlap__RR_vs_FR,100,0.24
