BANK,ROLE,EVIDENCE,WEIGHT,FILE_EER
codec_mixed_blind_v6,diagnostic_only_no_selection,noisy_or,1.0,0.15000000000000002
train_channel_invariant,selection,presence_logit_max,0.0,0.16802093073279512
codec_mixed_dev_v4,selection,presence_logit_max,0.0,0.2333333333333333
codec_mixed_blind_v5,retrospective_selection,presence_logit_max,0.0,0.21666666666666667
codec_mixed_blind_v6,diagnostic_only_no_selection,presence_logit_max,0.0,0.2333333333333333
train_channel_invariant,selection,presence_logit_max,0.1,0.16999781971533384
codec_mixed_dev_v4,selection,presence_logit_max,0.1,0.2333333333333333
codec_mixed_blind_v5,retrospective_selection,presence_logit_max,0.1,0.21666666666666667
codec_mixed_blind_v6,diagnostic_only_no_selection,presence_logit_max,0.1,0.2138888888888889
train_channel_invariant,selection,presence_logit_max,0.2,0.1719747086978725
codec_mixed_dev_v4,selection,presence_logit_max,0.2,0.2333333333333333
codec_mixed_blind_v5,retrospective_selection,presence_logit_max,0.2,0.21666666666666667
codec_mixed_blind_v6,diagnostic_only_no_selection,presence_logit_max,0.2,0.19999999999999998
train_channel_invariant,selection,presence_logit_max,0.3,0.17640332047111706
codec_mixed_dev_v4,selection,presence_logit_max,0.3,0.2277777777777778
codec_mixed_blind_v5,retrospective_selection,presence_logit_max,0.3,0.21944444444444444
codec_mixed_blind_v6,diagnostic_only_no_selection,presence_logit_max,0.3,0.19722222222222222
train_channel_invariant,selection,presence_logit_max,0.4,0.1813455429274638
codec_mixed_dev_v4,selection,presence_logit_max,0.4,0.2333333333333333
codec_mixed_blind_v5,retrospective_selection,presence_logit_max,0.4,0.21666666666666667
codec_mixed_blind_v6,diagnostic_only_no_selection,presence_logit_max,0.4,0.19999999999999998
train_channel_invariant,selection,presence_logit_max,0.5,0.18701940453352883
codec_mixed_dev_v4,selection,presence_logit_max,0.5,0.24
codec_mixed_blind_v5,retrospective_selection,presence_logit_max,0.5,0.21666666666666667
codec_mixed_blind_v6,diagnostic_only_no_selection,presence_logit_max,0.5,0.18333333333333335
train_channel_invariant,selection,presence_logit_max,0.6,0.19170482164832447
codec_mixed_dev_v4,selection,presence_logit_max,0.6,0.2466666666666667
codec_mixed_blind_v5,retrospective_selection,presence_logit_max,0.6,0.21944444444444444
codec_mixed_blind_v6,diagnostic_only_no_selection,presence_logit_max,0.6,0.16944444444444445
train_channel_invariant,selection,presence_logit_max,0.7,0.1936817106308632
codec_mixed_dev_v4,selection,presence_logit_max,0.7,0.2611111111111111
codec_mixed_blind_v5,retrospective_selection,presence_logit_max,0.7,0.2333333333333333
codec_mixed_blind_v6,diagnostic_only_no_selection,presence_logit_max,0.7,0.16666666666666663
train_channel_invariant,selection,presence_logit_max,0.8,0.20330935020200558
codec_mixed_dev_v4,selection,presence_logit_max,0.8,0.2722222222222222
codec_mixed_blind_v5,retrospective_selection,presence_logit_max,0.8,0.25
codec_mixed_blind_v6,diagnostic_only_no_selection,presence_logit_max,0.8,0.16666666666666663
train_channel_invariant,selection,presence_logit_max,0.9,0.21194854528187862
codec_mixed_dev_v4,selection,presence_logit_max,0.9,0.28
codec_mixed_blind_v5,retrospective_selection,presence_logit_max,0.9,0.2666666666666667
codec_mixed_blind_v6,diagnostic_only_no_selection,presence_logit_max,0.9,0.16666666666666663
train_channel_invariant,selection,presence_logit_max,1.0,0.2156455179054049
codec_mixed_dev_v4,selection,presence_logit_max,1.0,0.28555555555555556
codec_mixed_blind_v5,retrospective_selection,presence_logit_max,1.0,0.2833333333333333
codec_mixed_blind_v6,diagnostic_only_no_selection,presence_logit_max,1.0,0.16944444444444445
