DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,NORMALIZED_AVAILABLE_ADS
mixfake_music_dev_v1,1600,1600,1600,1600,0.0625,0.08625000000000002,0.07999999999999999,,,0.9275,,,0.9275
factorial_eval_1200_v2,400,400,350,350,0.21709090909090906,0.28,0.20571428571428574,0.9992571428571428,1.0,0.7737402597402598,0.9996285714285714,0.796329090909091,0.7737402597402598
external_mixed_v1,400,400,400,400,0.13,0.21499999999999997,0.10499999999999998,,,0.8605,,,0.8605
source_disjoint_mixed_v1,200,200,200,200,0.17666666666666667,0.18000000000000002,0.09999999999999999,,,0.8456666666666667,,,0.8456666666666667
source_disjoint_mixed_equal_v1,200,200,200,200,0.10333333333333335,0.09999999999999999,0.09999999999999999,,,0.8983333333333333,,,0.8983333333333333
source_disjoint_music_v1,400,400,0,400,0.030000000000000013,,0.04000000000000002,,,,,,0.9662499999999998
asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
external_mixed_v1_telephone_v1,400,400,400,400,0.14833333333333332,0.235,0.12,,,0.8428333333333333,,,0.8428333333333333
source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.26333333333333336,0.19999999999999998,0.21999999999999997,,,0.7623333333333333,,,0.7623333333333333
telephone_mixed_dev_v1,600,600,600,600,0.17333333333333334,0.20333333333333337,0.15333333333333332,,,0.8266666666666667,,,0.8266666666666667
multigen_voice_v2,90,90,90,0,0.06666666666666665,0.09166666666666669,,,,,,,0.9261904761904762
echoes_fma_paired_v3,111,111,0,111,0.10811688311688314,,0.09009740259740262,,,,,,0.898640422077922
codec_mixed_dev_v4,600,600,600,600,0.2211111111111111,0.21666666666666667,0.26,,,0.7681111111111112,,,0.7681111111111112
