DATASET,CONTRAST,TASK,MODEL,N,POS,EER,AUC
yue,partial_overlap|voice_0,MUSIC,v18,16,8,0.0,1.0
yue,partial_overlap|voice_0,MUSIC,query05,16,8,0.0,1.0
yue,partial_overlap|music_1,VOICE,v18,16,8,0.0,1.0
yue,partial_overlap|music_1,VOICE,query05,16,8,0.0,1.0
yue,partial_overlap|voice_1,MUSIC,v18,16,8,0.25,0.921875
yue,partial_overlap|voice_1,MUSIC,query05,16,8,0.125,0.96875
yue,partial_overlap|file_rr_vs_voice_fake+music_real,FILE,v18,16,8,0.0,1.0
yue,partial_overlap|file_rr_vs_voice_fake+music_real,FILE,query05,16,8,0.0,1.0
yue,partial_overlap|file_rr_vs_voice_real+music_fake,FILE,v18,16,8,0.125,0.84375
yue,partial_overlap|file_rr_vs_voice_real+music_fake,FILE,query05,16,8,0.125,0.875
yue,partial_overlap|file_rr_vs_voice_fake+music_fake,FILE,v18,16,8,0.0,1.0
yue,partial_overlap|file_rr_vs_voice_fake+music_fake,FILE,query05,16,8,0.0,1.0
yue,sequential|music_0,VOICE,v18,16,8,0.0,1.0
yue,sequential|music_0,VOICE,query05,16,8,0.0,1.0
yue,sequential|voice_0,MUSIC,v18,16,8,0.0,1.0
yue,sequential|voice_0,MUSIC,query05,16,8,0.0,1.0
yue,sequential|music_1,VOICE,v18,16,8,0.125,0.96875
yue,sequential|music_1,VOICE,query05,16,8,0.125,0.96875
yue,sequential|voice_1,MUSIC,v18,16,8,0.125,0.953125
yue,sequential|voice_1,MUSIC,query05,16,8,0.0,1.0
yue,sequential|file_rr_vs_voice_fake+music_real,FILE,v18,16,8,0.125,0.953125
yue,sequential|file_rr_vs_voice_fake+music_real,FILE,query05,16,8,0.125,0.96875
yue,sequential|file_rr_vs_voice_real+music_fake,FILE,v18,16,8,0.0,1.0
yue,sequential|file_rr_vs_voice_real+music_fake,FILE,query05,16,8,0.0,1.0
yue,sequential|file_rr_vs_voice_fake+music_fake,FILE,v18,16,8,0.0,1.0
yue,sequential|file_rr_vs_voice_fake+music_fake,FILE,query05,16,8,0.0,1.0
