EPOCH,LOSS,SELECTION,OVERALL_SELECTION,MEAN_ADS,WORST_ADS
0,0.5895179318785667,0.740791275316945,0.7568200061505839,0.8191724798336354,0.6944675324675325
1,0.4568567002415657,0.763654594413523,0.7760218437489513,0.8391345965888117,0.7129090909090909
2,0.3906216565966606,0.7693156855545249,0.7825577575484914,0.8453233073047752,0.7197922077922078
3,0.3568680087029934,0.7867978412956091,0.7968349378334844,0.8516179276150206,0.7420519480519481
4,0.3233975100517273,0.7598964131106989,0.7765322069322796,0.8468046736048189,0.7062597402597404
5,0.3118905870318413,0.7675668193413729,0.7812801066625559,0.8559108626757609,0.7066493506493507
6,0.29660743805766104,0.784475575267986,0.7959823106480083,0.8639386472700425,0.728025974025974
7,0.2760181073248386,0.7905426555091734,0.805470980831991,0.8682926110146314,0.7426493506493506
8,0.26754862390458584,0.7829053771129664,0.7963120899610725,0.8600787253766905,0.7325454545454545
9,0.25154743388295175,0.7816197208049886,0.7941555982373569,0.8671683393318568,0.7211428571428571
10,0.24494394662976265,0.7906842822356215,0.8026566996270849,0.8660406719814424,0.7392727272727273
11,0.23302378100156784,0.7769005585188621,0.7942759113665727,0.8600063681876909,0.7285454545454545
12,0.221788318246603,0.7757597257653062,0.7885853506252307,0.8703135583933186,0.7068571428571429
13,0.21779145780205728,0.7794117272856111,0.7914446433028374,0.8655386372550253,0.7173506493506494
14,0.20802767487615348,0.7870978921871778,0.7988292166893184,0.8652947970150004,0.7323636363636363
15,0.2081265075057745,0.7932619562976706,0.8089066545332897,0.8719172051704756,0.7458961038961038
16,0.20240121930092572,0.8030480828695115,0.8139128987130441,0.864760862361153,0.7630649350649351
17,0.20349071592837573,0.7873928700267986,0.802521571088795,0.8764976876321353,0.7285454545454545
