LAYER,ALPHA,BETA,DATASET,SCOPE,FILE_EER,MUSIC_EER
0,1000.0,0.5,external_mixed_v1,all_codecs,0.25,0.27875000000000005
0,1000.0,0.5,external_mixed_v1,worst_codec,0.28,0.30000000000000004
0,1000.0,0.5,source_disjoint_mixed_v1,all_codecs,0.36416666666666664,0.41500000000000004
0,1000.0,0.5,source_disjoint_mixed_v1,worst_codec,0.38,0.41000000000000003
0,1000.0,0.75,external_mixed_v1,all_codecs,0.25,0.24624999999999997
0,1000.0,0.75,external_mixed_v1,worst_codec,0.27,0.29000000000000004
0,1000.0,0.75,source_disjoint_mixed_v1,all_codecs,0.36,0.4075
0,1000.0,0.75,source_disjoint_mixed_v1,worst_codec,0.38,0.43999999999999995
0,1000.0,1.0,external_mixed_v1,all_codecs,0.2504166666666667,0.24875000000000003
0,1000.0,1.0,external_mixed_v1,worst_codec,0.27166666666666667,0.275
0,1000.0,1.0,source_disjoint_mixed_v1,all_codecs,0.35583333333333333,0.41000000000000003
0,1000.0,1.0,source_disjoint_mixed_v1,worst_codec,0.38,0.42000000000000004
0,10000.0,0.0,external_mixed_v1,all_codecs,0.25958333333333333,0.32125000000000004
0,10000.0,0.0,external_mixed_v1,worst_codec,0.29000000000000004,0.35
0,10000.0,0.0,source_disjoint_mixed_v1,all_codecs,0.355,0.43999999999999995
0,10000.0,0.0,source_disjoint_mixed_v1,worst_codec,0.38,0.43000000000000005
0,10000.0,0.1,external_mixed_v1,all_codecs,0.25749999999999995,0.3175
0,10000.0,0.1,external_mixed_v1,worst_codec,0.29000000000000004,0.345
0,10000.0,0.1,source_disjoint_mixed_v1,all_codecs,0.355,0.43500000000000005
0,10000.0,0.1,source_disjoint_mixed_v1,worst_codec,0.37666666666666665,0.43000000000000005
0,10000.0,0.25,external_mixed_v1,all_codecs,0.25749999999999995,0.3025
0,10000.0,0.25,external_mixed_v1,worst_codec,0.2816666666666667,0.31000000000000005
0,10000.0,0.25,source_disjoint_mixed_v1,all_codecs,0.3541666666666667,0.4325
0,10000.0,0.25,source_disjoint_mixed_v1,worst_codec,0.36,0.42000000000000004
0,10000.0,0.5,external_mixed_v1,all_codecs,0.25249999999999995,0.28625
0,10000.0,0.5,external_mixed_v1,worst_codec,0.2816666666666667,0.30500000000000005
0,10000.0,0.5,source_disjoint_mixed_v1,all_codecs,0.3541666666666667,0.42000000000000004
0,10000.0,0.5,source_disjoint_mixed_v1,worst_codec,0.37666666666666665,0.41000000000000003
0,10000.0,0.75,external_mixed_v1,all_codecs,0.25,0.26249999999999996
0,10000.0,0.75,external_mixed_v1,worst_codec,0.29000000000000004,0.30000000000000004
0,10000.0,0.75,source_disjoint_mixed_v1,all_codecs,0.35583333333333333,0.41000000000000003
