DATASET,METHOD,PHONE,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
factorial,v18,67,400,400,350,350,0.25527272727272726,0.22285714285714286,0.27428571428571424,0.9928,0.9989142857142856,0.7455064935064936,0.9958571428571428,0.7705415584415585
factorial,v26,67,400,400,350,350,0.25527272727272726,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7609350649350649,0.9958571428571428,0.7844272727272728
factorial,mert_global,67,400,400,350,350,0.25527272727272726,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7643636363636364,0.9958571428571428,0.787512987012987
factorial,mert_nonphone,67,400,400,350,350,0.2570909090909091,0.22285714285714286,0.19999999999999998,0.9928,0.9989142857142856,0.7668831168831169,0.9958571428571428,0.7897805194805195
phone,v18,1200,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.345,0.956603125,0.9840593750000001,0.7338571428571429,0.9703312500000001,0.7575045535714287
phone,v26,1200,1200,1200,800,800,0.2017142857142857,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8131428571428571,0.9703312500000001,0.8288616964285714
phone,mert_global,1200,1200,1200,800,800,0.20585714285714285,0.16749999999999998,0.1825,0.956603125,0.9840593750000001,0.8088214285714286,0.9703312500000001,0.8249724107142858
phone,mert_nonphone,1200,1200,1200,800,800,0.2017142857142857,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8131428571428571,0.9703312500000001,0.8288616964285714
yue,v18,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,0.9837962962962963,,0.828448165030388,,
yue,v26,0,124,124,108,124,0.12771739130434784,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8673375409069658,,
yue,mert_global,0,124,124,108,124,0.12771739130434784,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8721762505843852,,
yue,mert_nonphone,0,124,124,108,124,0.12771739130434784,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8721762505843852,,
factorial_plus_phone,v18,1267,1600,1600,1150,1150,0.2732102564102564,0.18956521739130439,0.3443478260869566,0.9602415458937198,0.9882376811594205,0.722177480490524,0.9742396135265701,0.7473836937941287
factorial_plus_phone,v26,1267,1600,1600,1150,1150,0.21620512820512822,0.18956521739130439,0.20173913043478264,0.9602415458937198,0.9882376811594205,0.7934626532887401,0.9742396135265701,0.8115403493125231
factorial_plus_phone,mert_global,1267,1600,1600,1150,1150,0.22065641025641025,0.18956521739130439,0.20869565217391306,0.9602415458937198,0.9882376811594205,0.7891500557413601,0.9742396135265701,0.8076590115198812
factorial_plus_phone,mert_nonphone,1267,1600,1600,1150,1150,0.21934358974358972,0.18956521739130439,0.2052173913043478,0.9602415458937198,0.9882376811594205,0.79084994425864,0.9742396135265701,0.8091889111854329
