epoch,loss,selection,music_holdout_file_eer,music_holdout_music_eer,voice_holdout_file_eer,voice_holdout_voice_eer,elapsed_seconds
0,0.5313952607512474,0.56009353570767,0.40298188043943506,0.4563810467677513,0.43395552533321685,0.46484682609509786,47.68808960914612
1,0.15756440249085427,0.5963881593967431,0.3373163076045085,0.4560516005369157,0.39234747510036283,0.4417367147961657,92.44616985321045
2,0.09067176978290081,0.6212534327354771,0.3412992818756836,0.45402183057751105,0.3619095596515142,0.3682188836247694,134.22056007385254
3,0.062410602804273366,0.6275199450056456,0.3373163076045085,0.4513331681564352,0.3482268463786742,0.3521614668168095,175.7223768234253
4,0.044970226960256696,0.6156186652401804,0.3567199315166215,0.4594168529444597,0.3482268463786742,0.3578392770571321,214.68620133399963
5,0.03550763721764088,0.6252260388304234,0.3442597612593332,0.4469618795315874,0.34320168940100504,0.3634016585823815,253.28185987472534
6,0.030040968546643853,0.627609325305179,0.33333333333333337,0.46446473155577583,0.34264177898667136,0.34103670376631073,291.38553953170776
7,0.01914514592476189,0.6362976825446016,0.329861606505921,0.4378544610014621,0.33956929008350306,0.3506711538510867,331.2789988517761
8,0.02045810509705916,0.6380334556915113,0.3263898796785086,0.43448920859391804,0.34878675679300786,0.3442481871279027,369.5069887638092
9,0.018742186687421055,0.6355487154582291,0.32935035906215815,0.4378544610014621,0.34878675679300786,0.3458539288086987,409.387983083725
