EPOCH,LOSS,SELECTION,MEAN_MUSIC_EER,WORST_MUSIC_EER
1,0.4677400696784892,0.6372874149659864,0.3110501700680272,0.414375
2,0.3054954991378683,0.6817857142857143,0.28017857142857144,0.35624999999999996
3,0.2237882343061427,0.7172597789115647,0.25214710884353747,0.31333333333333335
4,0.159625870671044,0.7174043367346938,0.23947704081632654,0.32571428571428573
5,0.12712824820203983,0.7351466836734692,0.22970663265306127,0.30000000000000004
6,0.10575515990878673,0.7538456632653061,0.20730867346938772,0.285
7,0.0828579252070569,0.7445365646258503,0.20235544217687076,0.3085714285714286
8,0.07569805473247741,0.7440901360544218,0.20324829931972793,0.3085714285714286
9,0.06350861950480241,0.7426615646258503,0.20610544217687074,0.3085714285714286
10,0.06139689729489545,0.7577551020408163,0.19306122448979593,0.2914285714285715
11,0.06157993780884971,0.7481887755102041,0.20076530612244897,0.3028571428571428
12,0.05625733343805087,0.7535289115646259,0.20151360544217686,0.2914285714285715
13,0.05043009031524367,0.764392006802721,0.1797874149659864,0.2914285714285715
14,0.04219205440715589,0.7677763605442176,0.17873299319727892,0.2857142857142857
15,0.0402659898564378,0.7501020408163265,0.19122448979591838,0.3085714285714286
16,0.043073364013330416,0.7594047619047619,0.19452380952380954,0.2866666666666666
17,0.035832286604303626,0.7617261904761905,0.19654761904761903,0.28
18,0.03718143821436357,0.7590603741496599,0.17330782312925172,0.3085714285714286
19,0.02623059303856435,0.7592644557823129,0.19480442176870746,0.2866666666666666
20,0.03314279042620291,0.76234268707483,0.20102891156462585,0.27428571428571424
21,0.02847299285411359,0.785063775510204,0.167015306122449,0.2628571428571429
22,0.02678637138191373,0.7637585034013605,0.1867687074829932,0.2857142857142857
23,0.024263342359459938,0.7664285714285715,0.18714285714285714,0.28
24,0.023554910172490364,0.7684374999999999,0.183125,0.28
25,0.02465352657538383,0.7754166666666666,0.16916666666666666,0.28
26,0.020974253762533215,0.7850552721088435,0.1727465986394558,0.2571428571428571
27,0.021282325207721442,0.785531462585034,0.17179421768707484,0.2571428571428571
28,0.021557878039063925,0.7851828231292517,0.16677721088435374,0.2628571428571429
29,0.022263103987070473,0.781968537414966,0.1732057823129252,0.2628571428571429
30,0.01976154483433694,0.7658801020408162,0.17681122448979592,0.2914285714285715
31,0.020047826898046472,0.7839859693877551,0.16345663265306123,0.26857142857142857
32,0.017166059763923762,0.7888499149659864,0.16515731292517005,0.2571428571428571
33,0.01457670223317109,0.7825127551020408,0.16640306122448978,0.26857142857142857
34,0.01507044756819712,0.7937308673469388,0.1553954081632653,0.2571428571428571
35,0.014924211872176843,0.789921343537415,0.16301445578231294,0.2571428571428571
36,0.014807629296209346,0.7714158163265306,0.16573979591836735,0.2914285714285715
37,0.01351480487488864,0.7710650510204081,0.17215561224489795,0.2857142857142857
38,0.01569304129410971,0.7763775510204081,0.16153061224489798,0.2857142857142857
39,0.01524203674969303,0.7815242346938776,0.16266581632653063,0.27428571428571424
40,0.01294118057047215,0.7775680272108844,0.15914965986394555,0.2857142857142857
41,0.013432361235089124,0.7799404761904762,0.16011904761904763,0.28
42,0.012985460559882105,0.7798214285714287,0.16035714285714286,0.28
43,0.011037031257341795,0.7820450680272109,0.16162414965986396,0.27428571428571424
44,0.012832224370287533,0.7932993197278913,0.15625850340136055,0.2571428571428571
