EPOCH,TRAIN_LOSS,BASE_LOSS,INVARIANCE_LOSS,SELECTION,MEAN_ADS,WORST_ADS
0,0.5158180068433285,0.4724262690544128,0.043391738127393185,0.7394318181818181,0.7828376623376623,0.696025974025974
1,0.16913114527240394,0.13368455022573472,0.03544659486506134,0.7617500000000001,0.8006428571428573,0.7228571428571429
2,0.11965203752741217,0.09033552474342287,0.02931651248713024,0.7449155092592593,0.7978310185185186,0.6920000000000001
3,0.10148299274034799,0.07905085447710007,0.022432138136355206,0.7406426767676768,0.78777886002886,0.6935064935064935
4,0.08347758959047497,0.06584454425610602,0.017633045280817897,0.7634013047138047,0.8037376743626744,0.7230649350649351
5,0.08059545577969401,0.061111834994517264,0.019483620788669213,0.7443718434343435,0.7963800505050506,0.6923636363636364
6,0.06602635942632333,0.051867536660283806,0.014158822846657131,0.763478851010101,0.8061784812409812,0.7207792207792209
7,0.06850373248569668,0.05354936525109224,0.014954367445898242,0.7561941287878788,0.8007518939393939,0.7116363636363636
8,0.05578918281244114,0.04526887467131019,0.010520308456871135,0.7611400462962963,0.8062800925925927,0.716
9,0.053384625383187084,0.042069604728603736,0.011315020768743125,0.766449494949495,0.8113665223665225,0.7215324675324675
10,0.05149639773182571,0.03999544488964602,0.011500952986825724,0.756980744949495,0.8078575937950938,0.7061038961038961
11,0.0506416819000151,0.039664617403177546,0.010977064770268044,0.7543280723905725,0.8042405603655606,0.7044155844155844
12,0.04307230139616877,0.03411994459107518,0.008952356860390864,0.7482342171717171,0.8046502525252525,0.6918181818181818
13,0.037702690423466266,0.028771233095903882,0.008931457424732798,0.7467238005050505,0.7993437049062049,0.694103896103896
14,0.046826350297778846,0.03650988303706981,0.01031646739498683,0.7396566708754209,0.7920665885040884,0.6872467532467532
15,0.046056185143534094,0.035838586724130435,0.010217598386807367,0.7557312710437711,0.7958002044252045,0.7156623376623377
16,0.035740901214885525,0.028155618734599555,0.007585282518703025,0.7538162878787878,0.8049832251082251,0.7026493506493506
17,0.037353130553965455,0.03043767451599706,0.006915456049355271,0.7488563762626264,0.8040244408369409,0.6936883116883117
18,0.040083986268145966,0.032722090200986716,0.007361896131005779,0.7554529671717172,0.8082306096681098,0.7026753246753247
19,0.03268928607809357,0.02519012247765204,0.007499163660813792,0.7380643939393939,0.7999469696969697,0.6761818181818182
