DATASET,N,MUSIC_EER
factorial_eval_1200_v2_holdout,350,0.31999999999999995
phone_factorial_1200_v1,800,0.25249999999999995
yue_cross_component_audit_v1,124,0.32258064516129037
suno_vocals_v1,13,
