EPOCH,TRAIN_LOSS,BASE_LOSS,INVARIANCE_LOSS,SELECTION,MEAN_ADS,WORST_ADS
-1,,,,0.7685940656565656,0.8156816378066378,0.7215064935064934
0,0.2771216884404421,0.18102783711440862,0.096093851179583,0.770148569023569,0.826193241943242,0.7141038961038961
1,0.1919145742493371,0.1186824699336042,0.07323210457083769,0.7718877314814814,0.8317754629629629,0.712
2,0.15855698519075911,0.0938208323280948,0.06473615282393681,0.7736865530303031,0.8344640151515152,0.7129090909090909
3,0.13990939476434142,0.07998389198677615,0.059925502951683786,0.7736906565656566,0.8334592352092353,0.713922077922078
4,0.13168205113328682,0.07268321303231641,0.05899883807628551,0.7752370580808081,0.8376689213564213,0.7128051948051948
5,0.1299623864660971,0.06944988012810548,0.06051250638378163,0.7783710016835017,0.8411575877825878,0.7155844155844155
6,0.12079106014190863,0.06379767343669664,0.056993386632981126,0.7762370580808082,0.8368117784992787,0.7156623376623377
7,0.10783377652770529,0.05600968207492648,0.051824094469988875,0.7720905934343434,0.8341032647907647,0.7100779220779221
8,0.10389385182751963,0.05379208409258475,0.05010176771512488,0.7782673611111111,0.8376775793650794,0.7188571428571429
9,0.11012067971762736,0.0570553622461545,0.05306531744187123,0.7658144991582492,0.834278348965849,0.6973506493506494
10,0.10885320680681616,0.056036894441077796,0.05281631218090479,0.7673600589225589,0.8324084295334294,0.7023116883116883
11,0.10025987300055567,0.04890494117466733,0.05135493164039508,0.768411510942761,0.8372386063011064,0.6995844155844155
12,0.10013410712819314,0.05100121823202547,0.04913288881790261,0.7776060606060606,0.8407445887445887,0.7144675324675325
13,0.1015237134998509,0.050340959223142516,0.051182754370219,0.7763680555555555,0.8373075396825397,0.7154285714285714
14,0.09435870574459355,0.04640363464395826,0.04795507107109794,0.7736234217171716,0.8356364538239537,0.7116103896103896
15,0.09328230762435123,0.04639731737829667,0.046884990162730296,0.7696832912457912,0.8315484006734007,0.7078181818181817
