DATASET,GROUP,SEED,WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
dev,ALL,04,0.4,400,400,350,350,0.22472727272727272,0.2857142857142857,0.19428571428571428,0.9962285714285715,0.993257142857143,0.7722077922077923,0.9947428571428572,0.7944612987012989
dev,clean_flac,04,0.4,66,66,58,58,0.14021739130434785,0.2068965517241379,0.17261904761904762,1.0,0.9935344827586207,0.8367262797172842,0.9967672413793103,0.8527303758834869
dev,mp3_64k,04,0.4,67,67,58,59,0.18219461697722567,0.27586206896551724,0.16954022988505746,0.9942528735632183,0.9957627118644068,0.8028682087527665,0.9950077927138126,0.8220821671488712
dev,noisy_flac,04,0.4,66,66,58,58,0.1952380952380952,0.31034482758620685,0.1380952380952381,0.9913793103448276,0.9935344827586207,0.7988834154351396,0.9924568965517242,0.8182407635467981
dev,ogg_48k,04,0.4,67,67,59,58,0.19306418219461696,0.271264367816092,0.1380952380952381,0.9978813559322034,1.0,0.8077864639109017,0.9989406779661016,0.8269018853164217
dev,stereo_wav,04,0.4,67,67,59,58,0.2808080808080808,0.271264367816092,0.17261904761904762,1.0,0.9942528735632185,0.753557371747027,0.9971264367816093,0.7779142782504852
dev,telephone_flac,04,0.4,67,67,58,59,0.298936170212766,0.27586206896551724,0.22004608294930877,0.9885057471264367,0.9639830508474576,0.7293456762157209,0.9762443989869471,0.7540355484928436
dev,ALL,04,0.5,400,400,350,350,0.2229090909090909,0.2857142857142857,0.2114285714285714,0.9962285714285715,0.993257142857143,0.767974025974026,0.9947428571428572,0.7906509090909092
dev,clean_flac,04,0.5,66,66,58,58,0.14021739130434785,0.2068965517241379,0.17261904761904762,1.0,0.9935344827586207,0.8367262797172842,0.9967672413793103,0.8527303758834869
dev,mp3_64k,04,0.5,67,67,58,59,0.18219461697722567,0.27586206896551724,0.16954022988505746,0.9942528735632183,0.9957627118644068,0.8028682087527665,0.9950077927138126,0.8220821671488712
dev,noisy_flac,04,0.5,66,66,58,58,0.1952380952380952,0.31034482758620685,0.1380952380952381,0.9913793103448276,0.9935344827586207,0.7988834154351396,0.9924568965517242,0.8182407635467981
dev,ogg_48k,04,0.5,67,67,59,58,0.19306418219461696,0.271264367816092,0.1380952380952381,0.9978813559322034,1.0,0.8077864639109017,0.9989406779661016,0.8269018853164217
