SPLIT,KIND,EVALUATION,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,SCORE_COLUMN,LABEL_COLUMN,EER
all,mode_score,concurrent,300,300.0,300.0,300.0,0.4422222222222222,0.4,0.36,,,0.5908888888888889,,,,,
all,mode_score,music_only,150,150.0,0.0,150.0,0.30666666666666664,,0.30666666666666664,,,,,,,,
all,mode_score,partial_overlap,300,300.0,300.0,300.0,0.4288888888888889,0.29333333333333333,0.42000000000000004,,,0.6008888888888888,,,,,
all,mode_score,sequential,300,300.0,300.0,300.0,0.3466666666666667,0.19999999999999998,0.42000000000000004,,,0.6606666666666667,,,,,
all,mode_score,voice_only,150,150.0,150.0,0.0,0.10666666666666669,0.10666666666666669,,,,,,,,,
all,contrast_eer,voice_only_real_vs_fake,150,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.10666666666666669
all,contrast_eer,music_only_real_vs_fake,150,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.30666666666666664
all,contrast_eer,concurrent__voice_eer__music_real,150,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.4
all,contrast_eer,concurrent__voice_eer__music_fake,150,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.36
all,contrast_eer,concurrent__music_eer__voice_real,150,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.36
all,contrast_eer,concurrent__music_eer__voice_fake,150,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.36
all,contrast_eer,concurrent__file_rr_vs_fake_voice_real_music,150,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.48
all,contrast_eer,concurrent__file_rr_vs_real_voice_fake_music,150,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.43999999999999995
all,contrast_eer,concurrent__file_rr_vs_fake_voice_fake_music,150,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.41333333333333333
all,contrast_eer,partial_overlap__voice_eer__music_real,150,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.2666666666666667
all,contrast_eer,partial_overlap__voice_eer__music_fake,150,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.31999999999999995
all,contrast_eer,partial_overlap__music_eer__voice_real,150,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.45333333333333337
all,contrast_eer,partial_overlap__music_eer__voice_fake,150,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.41333333333333333
all,contrast_eer,partial_overlap__file_rr_vs_fake_voice_real_music,150,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.3733333333333333
all,contrast_eer,partial_overlap__file_rr_vs_real_voice_fake_music,150,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.48
all,contrast_eer,partial_overlap__file_rr_vs_fake_voice_fake_music,150,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.43999999999999995
all,contrast_eer,sequential__voice_eer__music_real,150,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.19999999999999998
all,contrast_eer,sequential__voice_eer__music_fake,150,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.19999999999999998
all,contrast_eer,sequential__music_eer__voice_real,150,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.4
all,contrast_eer,sequential__music_eer__voice_fake,150,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.43999999999999995
all,contrast_eer,sequential__file_rr_vs_fake_voice_real_music,150,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.21333333333333337
all,contrast_eer,sequential__file_rr_vs_real_voice_fake_music,150,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.5066666666666666
all,contrast_eer,sequential__file_rr_vs_fake_voice_fake_music,150,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.2533333333333333
dev,mode_score,concurrent,100,100.0,100.0,100.0,0.4,0.4,0.38,,,0.606,,,,,
dev,mode_score,music_only,50,50.0,0.0,50.0,0.4,,0.4,,,,,,,,
dev,mode_score,partial_overlap,100,100.0,100.0,100.0,0.4066666666666667,0.36,0.5,,,0.5746666666666667,,,,,
dev,mode_score,sequential,100,100.0,100.0,100.0,0.28,0.18000000000000002,0.42000000000000004,,,0.698,,,,,
dev,mode_score,voice_only,50,50.0,50.0,0.0,0.16000000000000003,0.16000000000000003,,,,,,,,,
dev,contrast_eer,voice_only_real_vs_fake,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.16000000000000003
dev,contrast_eer,music_only_real_vs_fake,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.4
dev,contrast_eer,concurrent__voice_eer__music_real,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.31999999999999995
dev,contrast_eer,concurrent__voice_eer__music_fake,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.43999999999999995
dev,contrast_eer,concurrent__music_eer__voice_real,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.28
dev,contrast_eer,concurrent__music_eer__voice_fake,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.43999999999999995
dev,contrast_eer,concurrent__file_rr_vs_fake_voice_real_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.4
dev,contrast_eer,concurrent__file_rr_vs_real_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.4
dev,contrast_eer,concurrent__file_rr_vs_fake_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.36
dev,contrast_eer,partial_overlap__voice_eer__music_real,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.28
dev,contrast_eer,partial_overlap__voice_eer__music_fake,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.43999999999999995
dev,contrast_eer,partial_overlap__music_eer__voice_real,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.52
dev,contrast_eer,partial_overlap__music_eer__voice_fake,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.48
dev,contrast_eer,partial_overlap__file_rr_vs_fake_voice_real_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.36
dev,contrast_eer,partial_overlap__file_rr_vs_real_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.43999999999999995
dev,contrast_eer,partial_overlap__file_rr_vs_fake_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.43999999999999995
dev,contrast_eer,sequential__voice_eer__music_real,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.24
dev,contrast_eer,sequential__voice_eer__music_fake,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.12
dev,contrast_eer,sequential__music_eer__voice_real,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.4
dev,contrast_eer,sequential__music_eer__voice_fake,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.43999999999999995
dev,contrast_eer,sequential__file_rr_vs_fake_voice_real_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.19999999999999998
dev,contrast_eer,sequential__file_rr_vs_real_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.36
dev,contrast_eer,sequential__file_rr_vs_fake_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.19999999999999998
holdout,mode_score,concurrent,100,100.0,100.0,100.0,0.48,0.33999999999999997,0.36,,,0.5840000000000001,,,,,
holdout,mode_score,music_only,50,50.0,0.0,50.0,0.24,,0.24,,,,,,,,
holdout,mode_score,partial_overlap,100,100.0,100.0,100.0,0.4,0.28,0.38,,,0.6299999999999999,,,,,
holdout,mode_score,sequential,100,100.0,100.0,100.0,0.36666666666666664,0.24,0.42000000000000004,,,0.6426666666666667,,,,,
holdout,mode_score,voice_only,50,50.0,50.0,0.0,0.04000000000000002,0.04000000000000002,,,,,,,,,
holdout,contrast_eer,voice_only_real_vs_fake,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.04000000000000002
holdout,contrast_eer,music_only_real_vs_fake,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.24
holdout,contrast_eer,concurrent__voice_eer__music_real,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.36
holdout,contrast_eer,concurrent__voice_eer__music_fake,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.36
holdout,contrast_eer,concurrent__music_eer__voice_real,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.36
holdout,contrast_eer,concurrent__music_eer__voice_fake,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.36
holdout,contrast_eer,concurrent__file_rr_vs_fake_voice_real_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.56
holdout,contrast_eer,concurrent__file_rr_vs_real_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.48
holdout,contrast_eer,concurrent__file_rr_vs_fake_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.4
holdout,contrast_eer,partial_overlap__voice_eer__music_real,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.28
holdout,contrast_eer,partial_overlap__voice_eer__music_fake,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.31999999999999995
