GROUP,VALUE,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
ORDER,nan,600,600,450,450,0.33333333333333337,0.28888888888888886,0.3466666666666667,0.9853333333333334,0.9910074074074073,0.6715555555555555,0.9881703703703704,0.703217037037037
FILE_EXTENSION,.flac,600,600,524,526,0.37202865516118533,0.2538132074647087,0.3916287139449144,0.9959572117316191,0.9911108827458638,0.6457344167429913,0.9935340472387415,0.6805143797925663
FILE_EXTENSION,.mp3,200,200,175,175,0.3461360213185031,0.2514367816091954,0.4114420062695925,0.9885714285714285,0.9984,0.6532120311380316,0.9934857142857143,0.6872393994527999
FILE_EXTENSION,.ogg,201,201,176,175,0.3923927919708029,0.30681818181818177,0.45146328717010714,0.99,0.9997802197802197,0.60700098149993,0.9948901098901098,0.645789894338948
FILE_EXTENSION,.wav,199,199,175,174,0.38165266106442575,0.35429728317659354,0.373546511627907,0.9928571428571429,0.9965517241379311,0.6262502593440963,0.994704433497537,0.6630956767594404
COMPONENT_CASE,music_fake,75,75,0,75,,,,,,,,
COMPONENT_CASE,music_real,75,75,0,75,,,,,,,,
COMPONENT_CASE,voice_fake,75,75,75,0,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_fake__music_real,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_real,75,75,75,0,,,,,,,,
COMPONENT_CASE,voice_real__music_fake,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_real__music_real,225,225,225,225,,,,,,,,
EVAL_CELL,concurrent__voice_fake__music_fake,75,75,75,75,,,,,,,,
EVAL_CELL,concurrent__voice_fake__music_real,75,75,75,75,,,,,,,,
EVAL_CELL,concurrent__voice_real__music_fake,75,75,75,75,,,,,,,,
EVAL_CELL,concurrent__voice_real__music_real,75,75,75,75,,,,,,,,
EVAL_CELL,music_only__music_fake,75,75,0,75,,,,,,,,
EVAL_CELL,music_only__music_real,75,75,0,75,,,,,,,,
EVAL_CELL,partial_overlap__voice_fake__music_fake,75,75,75,75,,,,,,,,
EVAL_CELL,partial_overlap__voice_fake__music_real,75,75,75,75,,,,,,,,
EVAL_CELL,partial_overlap__voice_real__music_fake,75,75,75,75,,,,,,,,
EVAL_CELL,partial_overlap__voice_real__music_real,75,75,75,75,,,,,,,,
EVAL_CELL,sequential__voice_fake__music_fake,75,75,75,75,,,,,,,,
EVAL_CELL,sequential__voice_fake__music_real,75,75,75,75,,,,,,,,
EVAL_CELL,sequential__voice_real__music_fake,75,75,75,75,,,,,,,,
EVAL_CELL,sequential__voice_real__music_real,75,75,75,75,,,,,,,,
EVAL_CELL,voice_only__voice_fake,75,75,75,0,,,,,,,,
EVAL_CELL,voice_only__voice_real,75,75,75,0,,,,,,,,
