MODE,ROUTE,POOL,WEIGHT,FILE_RATIO,dev,factorial,factorial_plus_phone,phone,yue,MIN_AUDIT_DELTA,MEAN_AUDIT_DELTA
residual,soft_nonphone,MEAN,0.075,0.0,0.0,0.0,-0.0010434782608695903,0.0,0.0,0.0,0.0
residual,global,MEAN,0.01,0.25,-0.0009090909090909705,0.0,-0.0005217391304347396,0.0,0.0,-0.0009090909090909705,-0.00022727272727274261
residual,hard_nonphone,MEAN,0.025,0.5,-0.0017142857142856682,0.0029090909090909722,-0.0005217391304347396,0.0,0.0,-0.0017142857142856682,0.000298701298701326
residual,hard_nonphone,MEAN,0.05,0.25,-0.0017142857142856682,0.0029090909090909722,-0.0010434782608695903,0.0,0.0,-0.0017142857142856682,0.000298701298701326
residual,soft_nonphone,MEAN,0.025,0.5,-0.0017142857142856682,0.0029090909090909722,-0.0005217391304347396,0.0,0.0,-0.0017142857142856682,0.000298701298701326
residual,soft_nonphone,MEAN,0.05,0.25,-0.0017142857142856682,0.0029090909090909722,-0.0010434782608695903,0.0,0.0,-0.0017142857142856682,0.000298701298701326
residual,global,MEAN,0.1,0.0,-0.0017142857142856682,0.0034285714285715585,-0.001565217391304441,-0.0015000000000000568,0.0,-0.0017142857142856682,5.357142857145836e-05
moe,global,MEAN,0.01,0.0,-0.0017142857142856682,0.0,-0.00260869565217392,0.0,0.0,-0.0017142857142856682,-0.00042857142857141706
moe,hard_nonphone,MEAN,0.01,0.0,-0.0017142857142856682,0.0,-0.0005217391304347396,0.0,0.0,-0.0017142857142856682,-0.00042857142857141706
moe,hard_nonphone,Q75,0.01,0.0,-0.0017142857142856682,0.0,-0.0010434782608695903,0.0,0.0,-0.0017142857142856682,-0.00042857142857141706
moe,soft_nonphone,MEAN,0.01,0.0,-0.0017142857142856682,0.0,-0.0005217391304347396,0.0,0.0,-0.0017142857142856682,-0.00042857142857141706
moe,soft_nonphone,Q75,0.01,0.0,-0.0017142857142856682,0.0,-0.0010434782608695903,0.0,0.0,-0.0017142857142856682,-0.00042857142857141706
residual,global,Q75,0.01,0.0,-0.0017142857142856682,0.0,-0.0005217391304347396,0.0,0.0,-0.0017142857142856682,-0.00042857142857141706
residual,hard_nonphone,LME_T5,0.1,0.0,-0.0017142857142856682,0.0,-0.0020869565217391806,0.0,0.0,-0.0017142857142856682,-0.00042857142857141706
residual,hard_nonphone,MEAN,0.025,0.0,-0.0017142857142856682,0.0,-0.0005217391304347396,0.0,0.0,-0.0017142857142856682,-0.00042857142857141706
residual,hard_nonphone,MEAN,0.025,0.25,-0.0017142857142856682,0.0,-0.0005217391304347396,0.0,0.0,-0.0017142857142856682,-0.00042857142857141706
residual,hard_nonphone,MEAN,0.05,0.0,-0.0017142857142856682,0.0,-0.0010434782608695903,0.0,0.0,-0.0017142857142856682,-0.00042857142857141706
residual,hard_nonphone,Q75,0.01,0.0,-0.0017142857142856682,0.0,-0.0005217391304347396,0.0,0.0,-0.0017142857142856682,-0.00042857142857141706
residual,hard_nonphone,Q75,0.01,0.25,-0.0017142857142856682,0.0,-0.0005217391304347396,0.0,0.0,-0.0017142857142856682,-0.00042857142857141706
residual,hard_nonphone,Q75,0.01,0.5,-0.0017142857142856682,0.0,-0.0005217391304347396,0.0,0.0,-0.0017142857142856682,-0.00042857142857141706
residual,hard_nonphone,Q75,0.01,1.0,-0.0017142857142856682,0.0,-0.0005217391304347396,0.0,0.0,-0.0017142857142856682,-0.00042857142857141706
residual,soft_nonphone,LME_T5,0.1,0.0,-0.0017142857142856682,0.0,-0.0020869565217391806,0.0,0.0,-0.0017142857142856682,-0.00042857142857141706
residual,soft_nonphone,MEAN,0.025,0.0,-0.0017142857142856682,0.0,-0.0005217391304347396,0.0,0.0,-0.0017142857142856682,-0.00042857142857141706
residual,soft_nonphone,MEAN,0.025,0.25,-0.0017142857142856682,0.0,-0.0005217391304347396,0.0,0.0,-0.0017142857142856682,-0.00042857142857141706
residual,soft_nonphone,MEAN,0.05,0.0,-0.0017142857142856682,0.0,-0.0010434782608695903,0.0,0.0,-0.0017142857142856682,-0.00042857142857141706
residual,soft_nonphone,Q75,0.01,0.0,-0.0017142857142856682,0.0,-0.0005217391304347396,0.0,0.0,-0.0017142857142856682,-0.00042857142857141706
residual,soft_nonphone,Q75,0.01,0.25,-0.0017142857142856682,0.0,-0.0005217391304347396,0.0,0.0,-0.0017142857142856682,-0.00042857142857141706
residual,soft_nonphone,Q75,0.01,0.5,-0.0017142857142856682,0.0,-0.0005217391304347396,0.0,0.0,-0.0017142857142856682,-0.00042857142857141706
residual,soft_nonphone,Q75,0.01,1.0,-0.0017142857142856682,0.0,-0.0005217391304347396,0.0,0.0,-0.0017142857142856682,-0.00042857142857141706
moe,global,MEAN,0.01,0.25,-0.0017142857142856682,0.0,-0.0032651059085841982,-0.0008571428571428896,0.0,-0.0017142857142856682,-0.0006428571428571395
residual,global,MEAN,0.075,0.0,-0.0017142857142856682,0.0,-0.0010434782608695903,-0.0015000000000000568,0.0,-0.0017142857142856682,-0.0008035714285714313
residual,global,MEAN,0.15,0.0,0.0,0.0,-0.001565217391304441,-0.0022500000000000853,0.0,-0.0022500000000000853,-0.0005625000000000213
moe,global,MEAN,0.01,1.0,-0.0026233766233766387,0.0029090909090909722,-0.004177926421404798,0.0,0.0,-0.0026233766233766387,7.142857142858339e-05
moe,hard_nonphone,MEAN,0.01,0.25,-0.0026233766233766387,0.0,-0.0005217391304347396,0.0,0.0,-0.0026233766233766387,-0.0006558441558441597
moe,hard_nonphone,MEAN,0.01,0.5,-0.0026233766233766387,0.0,-0.0011781493868451287,0.0,0.0,-0.0026233766233766387,-0.0006558441558441597
moe,hard_nonphone,Q75,0.01,0.25,-0.0026233766233766387,0.0,-0.0010434782608695903,0.0,0.0,-0.0026233766233766387,-0.0006558441558441597
moe,hard_nonphone,Q75,0.01,0.5,-0.0026233766233766387,0.0,-0.0016998885172798683,0.0,0.0,-0.0026233766233766387,-0.0006558441558441597
moe,soft_nonphone,MEAN,0.01,0.25,-0.0026233766233766387,0.0,-0.0005217391304347396,0.0,0.0,-0.0026233766233766387,-0.0006558441558441597
moe,soft_nonphone,MEAN,0.01,0.5,-0.0026233766233766387,0.0,-0.0011781493868451287,0.0,0.0,-0.0026233766233766387,-0.0006558441558441597
moe,soft_nonphone,Q75,0.01,0.25,-0.0026233766233766387,0.0,-0.0010434782608695903,0.0,0.0,-0.0026233766233766387,-0.0006558441558441597
moe,soft_nonphone,Q75,0.01,0.5,-0.0026233766233766387,0.0,-0.0016998885172798683,0.0,0.0,-0.0026233766233766387,-0.0006558441558441597
residual,global,Q75,0.01,0.25,-0.0026233766233766387,0.0,-0.0005217391304347396,0.0,0.0,-0.0026233766233766387,-0.0006558441558441597
moe,global,MEAN,0.01,0.5,-0.0026233766233766387,0.0,-0.004177926421404798,-0.0008571428571428896,0.0,-0.0026233766233766387,-0.0008701298701298821
residual,hard_nonphone,LME_T5,0.01,1.0,0.0,0.0029090909090909722,-0.0005217391304347396,0.0,-0.0027173913043478937,-0.0027173913043478937,4.792490118576964e-05
residual,soft_nonphone,LME_T5,0.01,1.0,0.0,0.0029090909090909722,-0.0005217391304347396,0.0,-0.0027173913043478937,-0.0027173913043478937,4.792490118576964e-05
residual,hard_nonphone,MEAN,0.1,0.25,0.0,0.0017142857142857792,-0.0010434782608695903,0.0,-0.0027173913043478937,-0.0027173913043478937,-0.0002507763975155286
residual,soft_nonphone,MEAN,0.1,0.25,0.0,0.0017142857142857792,-0.0010434782608695903,0.0,-0.0027173913043478937,-0.0027173913043478937,-0.0002507763975155286
residual,hard_nonphone,MEAN,0.075,0.25,0.0,0.0,-0.0010434782608695903,0.0,-0.0027173913043478937,-0.0027173913043478937,-0.0006793478260869734
residual,soft_nonphone,MEAN,0.075,0.25,0.0,0.0,-0.0010434782608695903,0.0,-0.0027173913043478937,-0.0027173913043478937,-0.0006793478260869734
residual,hard_nonphone,MEAN,0.15,0.25,-0.0021038961038961634,0.0017142857142857792,-0.0005217391304347396,0.0,-0.0027173913043478937,-0.0027173913043478937,-0.0007767504234895695
residual,hard_nonphone,MEAN,0.2,0.25,-0.0003896103896103842,0.0,-0.0005217391304347396,0.0,-0.0027173913043478937,-0.0027173913043478937,-0.0007767504234895695
residual,soft_nonphone,MEAN,0.15,0.25,-0.0021038961038961634,0.0017142857142857792,-0.0005217391304347396,0.0,-0.0027173913043478937,-0.0027173913043478937,-0.0007767504234895695
residual,soft_nonphone,MEAN,0.2,0.25,-0.0003896103896103842,0.0,0.0,0.0,-0.0027173913043478937,-0.0027173913043478937,-0.0007767504234895695
residual,hard_nonphone,MEAN,0.025,1.0,-0.0017142857142856682,0.0,-0.0005217391304347396,0.0,-0.0027173913043478937,-0.0027173913043478937,-0.0011079192546583905
