DATASET,MODE,ROUTE,POOL,WEIGHT,FILE_RATIO,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
dev,baseline,none,MEDIAN,0.0,0.0,400,400,350,350,0.20763636363636362,0.2628571428571429,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7887532467532468,0.9947428571428572,0.8093522077922078
dev,moe,global,MEAN,0.01,0.0,400,400,350,350,0.20763636363636362,0.2628571428571429,0.1885714285714286,0.9962285714285715,0.993257142857143,0.7870389610389611,0.9947428571428572,0.8078093506493508
dev,moe,global,MEAN,0.01,0.25,400,400,350,350,0.20763636363636362,0.2628571428571429,0.1885714285714286,0.9962285714285715,0.993257142857143,0.7870389610389611,0.9947428571428572,0.8078093506493508
dev,moe,global,MEAN,0.01,0.5,400,400,350,350,0.20945454545454545,0.2628571428571429,0.1885714285714286,0.9962285714285715,0.993257142857143,0.7861298701298701,0.9947428571428572,0.8069911688311688
dev,moe,global,MEAN,0.01,1.0,400,400,350,350,0.20945454545454545,0.2628571428571429,0.1885714285714286,0.9962285714285715,0.993257142857143,0.7861298701298701,0.9947428571428572,0.8069911688311688
dev,moe,global,MEAN,0.025,0.0,400,400,350,350,0.20763636363636362,0.2628571428571429,0.19999999999999998,0.9962285714285715,0.993257142857143,0.7836103896103896,0.9947428571428572,0.8047236363636364
dev,moe,global,MEAN,0.025,0.25,400,400,350,350,0.20945454545454545,0.2628571428571429,0.19999999999999998,0.9962285714285715,0.993257142857143,0.7827012987012987,0.9947428571428572,0.8039054545454546
dev,moe,global,MEAN,0.025,0.5,400,400,350,350,0.20945454545454545,0.2628571428571429,0.19999999999999998,0.9962285714285715,0.993257142857143,0.7827012987012987,0.9947428571428572,0.8039054545454546
dev,moe,global,MEAN,0.025,1.0,400,400,350,350,0.21527272727272728,0.2628571428571429,0.19999999999999998,0.9962285714285715,0.993257142857143,0.7797922077922078,0.9947428571428572,0.8012872727272727
dev,moe,global,MEAN,0.05,0.0,400,400,350,350,0.20763636363636362,0.2628571428571429,0.20571428571428574,0.9962285714285715,0.993257142857143,0.7818961038961039,0.9947428571428572,0.8031807792207792
dev,moe,global,MEAN,0.05,0.25,400,400,350,350,0.20945454545454545,0.2628571428571429,0.20571428571428574,0.9962285714285715,0.993257142857143,0.7809870129870129,0.9947428571428572,0.8023625974025974
dev,moe,global,MEAN,0.05,0.5,400,400,350,350,0.21527272727272728,0.2628571428571429,0.20571428571428574,0.9962285714285715,0.993257142857143,0.7780779220779221,0.9947428571428572,0.7997444155844157
dev,moe,global,MEAN,0.05,1.0,400,400,350,350,0.21709090909090906,0.2628571428571429,0.20571428571428574,0.9962285714285715,0.993257142857143,0.7771688311688312,0.9947428571428572,0.7989262337662338
dev,moe,global,MEAN,0.075,0.0,400,400,350,350,0.20763636363636362,0.2628571428571429,0.2114285714285714,0.9962285714285715,0.993257142857143,0.7801818181818182,0.9947428571428572,0.8016379220779222
dev,moe,global,MEAN,0.075,0.25,400,400,350,350,0.21527272727272728,0.2628571428571429,0.2114285714285714,0.9962285714285715,0.993257142857143,0.7763636363636364,0.9947428571428572,0.7982015584415585
dev,moe,global,MEAN,0.075,0.5,400,400,350,350,0.21709090909090906,0.2628571428571429,0.2114285714285714,0.9962285714285715,0.993257142857143,0.7754545454545455,0.9947428571428572,0.7973833766233767
dev,moe,global,MEAN,0.075,1.0,400,400,350,350,0.21709090909090906,0.2628571428571429,0.2114285714285714,0.9962285714285715,0.993257142857143,0.7754545454545455,0.9947428571428572,0.7973833766233767
dev,moe,global,MEAN,0.1,0.0,400,400,350,350,0.20763636363636362,0.2628571428571429,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7784675324675325,0.9947428571428572,0.800095064935065
dev,moe,global,MEAN,0.1,0.25,400,400,350,350,0.21527272727272728,0.2628571428571429,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7746493506493506,0.9947428571428572,0.7966587012987013
dev,moe,global,MEAN,0.1,0.5,400,400,350,350,0.21709090909090906,0.2628571428571429,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7737402597402598,0.9947428571428572,0.7958405194805196
dev,moe,global,MEAN,0.1,1.0,400,400,350,350,0.21709090909090906,0.2628571428571429,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7737402597402598,0.9947428571428572,0.7958405194805196
dev,moe,global,MEAN,0.15,0.0,400,400,350,350,0.20763636363636362,0.2628571428571429,0.24,0.9962285714285715,0.993257142857143,0.7716103896103896,0.9947428571428572,0.7939236363636364
dev,moe,global,MEAN,0.15,0.25,400,400,350,350,0.21709090909090906,0.2628571428571429,0.24,0.9962285714285715,0.993257142857143,0.7668831168831169,0.9947428571428572,0.789669090909091
dev,moe,global,MEAN,0.15,0.5,400,400,350,350,0.21709090909090906,0.2628571428571429,0.24,0.9962285714285715,0.993257142857143,0.7668831168831169,0.9947428571428572,0.789669090909091
dev,moe,global,MEAN,0.15,1.0,400,400,350,350,0.23054545454545455,0.2628571428571429,0.24,0.9962285714285715,0.993257142857143,0.7601558441558441,0.9947428571428572,0.7836145454545455
dev,moe,global,MEAN,0.2,0.0,400,400,350,350,0.20763636363636362,0.2628571428571429,0.2457142857142857,0.9962285714285715,0.993257142857143,0.769896103896104,0.9947428571428572,0.7923807792207793
dev,moe,global,MEAN,0.2,0.25,400,400,350,350,0.21709090909090906,0.2628571428571429,0.2457142857142857,0.9962285714285715,0.993257142857143,0.7651688311688313,0.9947428571428572,0.7881262337662339
dev,moe,global,MEAN,0.2,0.5,400,400,350,350,0.21709090909090906,0.2628571428571429,0.2457142857142857,0.9962285714285715,0.993257142857143,0.7651688311688313,0.9947428571428572,0.7881262337662339
dev,moe,global,MEAN,0.2,1.0,400,400,350,350,0.23236363636363638,0.2628571428571429,0.2457142857142857,0.9962285714285715,0.993257142857143,0.7575324675324676,0.9947428571428572,0.7812535064935066
dev,moe,global,MEAN,0.3,0.0,400,400,350,350,0.20763636363636362,0.2628571428571429,0.26857142857142857,0.9962285714285715,0.993257142857143,0.7630389610389611,0.9947428571428572,0.7862093506493507
dev,moe,global,MEAN,0.3,0.25,400,400,350,350,0.21709090909090906,0.2628571428571429,0.26857142857142857,0.9962285714285715,0.993257142857143,0.7583116883116884,0.9947428571428572,0.7819548051948053
dev,moe,global,MEAN,0.3,0.5,400,400,350,350,0.23054545454545455,0.2628571428571429,0.26857142857142857,0.9962285714285715,0.993257142857143,0.7515844155844156,0.9947428571428572,0.7759002597402598
dev,moe,global,MEAN,0.3,1.0,400,400,350,350,0.25527272727272726,0.2628571428571429,0.26857142857142857,0.9962285714285715,0.993257142857143,0.7392207792207792,0.9947428571428572,0.764772987012987
dev,moe,global,MAX,0.01,0.0,400,400,350,350,0.20763636363636362,0.2628571428571429,0.19428571428571428,0.9962285714285715,0.993257142857143,0.7853246753246754,0.9947428571428572,0.8062664935064936
dev,moe,global,MAX,0.01,0.25,400,400,350,350,0.20945454545454545,0.2628571428571429,0.19428571428571428,0.9962285714285715,0.993257142857143,0.7844155844155845,0.9947428571428572,0.8054483116883118
dev,moe,global,MAX,0.01,0.5,400,400,350,350,0.20945454545454545,0.2628571428571429,0.19428571428571428,0.9962285714285715,0.993257142857143,0.7844155844155845,0.9947428571428572,0.8054483116883118
dev,moe,global,MAX,0.01,1.0,400,400,350,350,0.21527272727272728,0.2628571428571429,0.19428571428571428,0.9962285714285715,0.993257142857143,0.7815064935064935,0.9947428571428572,0.8028301298701299
dev,moe,global,MAX,0.025,0.0,400,400,350,350,0.20763636363636362,0.2628571428571429,0.19999999999999998,0.9962285714285715,0.993257142857143,0.7836103896103896,0.9947428571428572,0.8047236363636364
dev,moe,global,MAX,0.025,0.25,400,400,350,350,0.21527272727272728,0.2628571428571429,0.19999999999999998,0.9962285714285715,0.993257142857143,0.7797922077922078,0.9947428571428572,0.8012872727272727
dev,moe,global,MAX,0.025,0.5,400,400,350,350,0.21527272727272728,0.2628571428571429,0.19999999999999998,0.9962285714285715,0.993257142857143,0.7797922077922078,0.9947428571428572,0.8012872727272727
dev,moe,global,MAX,0.025,1.0,400,400,350,350,0.21527272727272728,0.2628571428571429,0.19999999999999998,0.9962285714285715,0.993257142857143,0.7797922077922078,0.9947428571428572,0.8012872727272727
dev,moe,global,MAX,0.05,0.0,400,400,350,350,0.20763636363636362,0.2628571428571429,0.20571428571428574,0.9962285714285715,0.993257142857143,0.7818961038961039,0.9947428571428572,0.8031807792207792
dev,moe,global,MAX,0.05,0.25,400,400,350,350,0.21527272727272728,0.2628571428571429,0.20571428571428574,0.9962285714285715,0.993257142857143,0.7780779220779221,0.9947428571428572,0.7997444155844157
dev,moe,global,MAX,0.05,0.5,400,400,350,350,0.21527272727272728,0.2628571428571429,0.20571428571428574,0.9962285714285715,0.993257142857143,0.7780779220779221,0.9947428571428572,0.7997444155844157
dev,moe,global,MAX,0.05,1.0,400,400,350,350,0.2229090909090909,0.2628571428571429,0.20571428571428574,0.9962285714285715,0.993257142857143,0.7742597402597402,0.9947428571428572,0.796308051948052
dev,moe,global,MAX,0.075,0.0,400,400,350,350,0.20763636363636362,0.2628571428571429,0.22285714285714286,0.9962285714285715,0.993257142857143,0.7767532467532468,0.9947428571428572,0.7985522077922078
dev,moe,global,MAX,0.075,0.25,400,400,350,350,0.21527272727272728,0.2628571428571429,0.22285714285714286,0.9962285714285715,0.993257142857143,0.7729350649350649,0.9947428571428572,0.7951158441558441
dev,moe,global,MAX,0.075,0.5,400,400,350,350,0.21709090909090906,0.2628571428571429,0.22285714285714286,0.9962285714285715,0.993257142857143,0.7720259740259741,0.9947428571428572,0.7942976623376624
dev,moe,global,MAX,0.075,1.0,400,400,350,350,0.22472727272727272,0.2628571428571429,0.22285714285714286,0.9962285714285715,0.993257142857143,0.7682077922077922,0.9947428571428572,0.7908612987012987
dev,moe,global,MAX,0.1,0.0,400,400,350,350,0.20763636363636362,0.2628571428571429,0.22285714285714286,0.9962285714285715,0.993257142857143,0.7767532467532468,0.9947428571428572,0.7985522077922078
dev,moe,global,MAX,0.1,0.25,400,400,350,350,0.21527272727272728,0.2628571428571429,0.22285714285714286,0.9962285714285715,0.993257142857143,0.7729350649350649,0.9947428571428572,0.7951158441558441
dev,moe,global,MAX,0.1,0.5,400,400,350,350,0.2229090909090909,0.2628571428571429,0.22285714285714286,0.9962285714285715,0.993257142857143,0.7691168831168831,0.9947428571428572,0.7916794805194806
dev,moe,global,MAX,0.1,1.0,400,400,350,350,0.23236363636363638,0.2628571428571429,0.22285714285714286,0.9962285714285715,0.993257142857143,0.7643896103896104,0.9947428571428572,0.7874249350649352
dev,moe,global,MAX,0.15,0.0,400,400,350,350,0.20763636363636362,0.2628571428571429,0.24,0.9962285714285715,0.993257142857143,0.7716103896103896,0.9947428571428572,0.7939236363636364
dev,moe,global,MAX,0.15,0.25,400,400,350,350,0.21709090909090906,0.2628571428571429,0.24,0.9962285714285715,0.993257142857143,0.7668831168831169,0.9947428571428572,0.789669090909091
dev,moe,global,MAX,0.15,0.5,400,400,350,350,0.22472727272727272,0.2628571428571429,0.24,0.9962285714285715,0.993257142857143,0.7630649350649351,0.9947428571428572,0.7862327272727273
dev,moe,global,MAX,0.15,1.0,400,400,350,350,0.24,0.2628571428571429,0.24,0.9962285714285715,0.993257142857143,0.7554285714285714,0.9947428571428572,0.77936
dev,moe,global,MAX,0.2,0.0,400,400,350,350,0.20763636363636362,0.2628571428571429,0.27428571428571424,0.9962285714285715,0.993257142857143,0.7613246753246754,0.9947428571428572,0.7846664935064936
dev,moe,global,MAX,0.2,0.25,400,400,350,350,0.2229090909090909,0.2628571428571429,0.27428571428571424,0.9962285714285715,0.993257142857143,0.7536883116883117,0.9947428571428572,0.7777937662337663
dev,moe,global,MAX,0.2,0.5,400,400,350,350,0.23236363636363638,0.2628571428571429,0.27428571428571424,0.9962285714285715,0.993257142857143,0.748961038961039,0.9947428571428572,0.7735392207792209
dev,moe,global,MAX,0.2,1.0,400,400,350,350,0.24945454545454543,0.2628571428571429,0.27428571428571424,0.9962285714285715,0.993257142857143,0.7404155844155845,0.9947428571428572,0.7658483116883118
dev,moe,global,MAX,0.3,0.0,400,400,350,350,0.20763636363636362,0.2628571428571429,0.3085714285714286,0.9962285714285715,0.993257142857143,0.7510389610389611,0.9947428571428572,0.7754093506493507
dev,moe,global,MAX,0.3,0.25,400,400,350,350,0.22472727272727272,0.2628571428571429,0.3085714285714286,0.9962285714285715,0.993257142857143,0.7424935064935065,0.9947428571428572,0.7677184415584416
dev,moe,global,MAX,0.3,0.5,400,400,350,350,0.24,0.2628571428571429,0.3085714285714286,0.9962285714285715,0.993257142857143,0.7348571428571429,0.9947428571428572,0.7608457142857143
dev,moe,global,MAX,0.3,1.0,400,400,350,350,0.2894545454545454,0.2628571428571429,0.3085714285714286,0.9962285714285715,0.993257142857143,0.7101298701298702,0.9947428571428572,0.7385911688311689
dev,moe,global,Q75,0.01,0.0,400,400,350,350,0.20763636363636362,0.2628571428571429,0.19428571428571428,0.9962285714285715,0.993257142857143,0.7853246753246754,0.9947428571428572,0.8062664935064936
dev,moe,global,Q75,0.01,0.25,400,400,350,350,0.20763636363636362,0.2628571428571429,0.19428571428571428,0.9962285714285715,0.993257142857143,0.7853246753246754,0.9947428571428572,0.8062664935064936
dev,moe,global,Q75,0.01,0.5,400,400,350,350,0.20945454545454545,0.2628571428571429,0.19428571428571428,0.9962285714285715,0.993257142857143,0.7844155844155845,0.9947428571428572,0.8054483116883118
dev,moe,global,Q75,0.01,1.0,400,400,350,350,0.20945454545454545,0.2628571428571429,0.19428571428571428,0.9962285714285715,0.993257142857143,0.7844155844155845,0.9947428571428572,0.8054483116883118
dev,moe,global,Q75,0.025,0.0,400,400,350,350,0.20763636363636362,0.2628571428571429,0.19999999999999998,0.9962285714285715,0.993257142857143,0.7836103896103896,0.9947428571428572,0.8047236363636364
dev,moe,global,Q75,0.025,0.25,400,400,350,350,0.20945454545454545,0.2628571428571429,0.19999999999999998,0.9962285714285715,0.993257142857143,0.7827012987012987,0.9947428571428572,0.8039054545454546
