EPOCH,TRAIN_LOSS,BASE_LOSS,INVARIANCE_LOSS,SELECTION,MEAN_ADS,WORST_ADS
0,0.591702401638031,0.5466019869248072,0.04510041454147237,0.7670205176767677,0.8092618145743146,0.7247792207792207
1,0.34874065372347834,0.287583202958107,0.06115745119083052,0.776386047979798,0.8303305375180376,0.7224415584415584
2,0.26182103546957175,0.2037937718629837,0.058027264043223115,0.786421611952862,0.8364795875420876,0.7363636363636363
3,0.22395626620948314,0.170105041389664,0.0538512251120992,0.7826578282828283,0.8317831890331892,0.7335324675324675
4,0.18387736377865077,0.13694677609267333,0.04693058752490712,0.769515361952862,0.8243813732563733,0.7146493506493506
5,0.16196562714253862,0.12103598670537273,0.04092964046157802,0.77753125,0.8287767857142856,0.7262857142857143
6,0.15480649230629207,0.11666861945390701,0.03813787299406492,0.7645636574074074,0.827413029100529,0.7017142857142857
7,0.1235149859568725,0.09100968422243992,0.032505301729096873,0.7779261363636363,0.8269431818181818,0.7289090909090908
8,0.126962417492643,0.09257929963773737,0.03438311767627601,0.766830281986532,0.8218423821548821,0.7118181818181818
9,0.11955609739509722,0.08731912737883006,0.03223696993716536,0.7707809343434344,0.8190683621933622,0.7224935064935065
10,0.10855685580645999,0.082826709257594,0.025730146599570312,0.7708232323232322,0.8212828282828282,0.7203636363636363
11,0.0929582780355122,0.07065385541432381,0.022304422559769287,0.7843082912457913,0.8276555435305436,0.7409610389610389
12,0.10110695706463109,0.07639549512493735,0.02471146173336274,0.7739225589225589,0.8255334295334295,0.7223116883116883
