CHANNEL,N,FILE_N,FILE_EER,VOICE_N,VOICE_EER,MUSIC_N,MUSIC_EER,VOICE_PRESENCE_AUC,MUSIC_PRESENCE_AUC,ADS,CPS,CPS_DEFINED,TOTAL
clean,48,48,0.18055555555555552,48,0.041666666666666644,48,0.16666666666666663,,,0.8513888888888889,,False,
g711_ulaw,48,48,0.3194444444444444,48,0.08333333333333334,48,0.16666666666666663,,,0.7736111111111111,,False,
g722_wb,48,48,0.18055555555555552,48,0.0,48,0.16666666666666663,,,0.8597222222222223,,False,
opus_nb_8k,48,48,0.3194444444444444,48,0.29166666666666663,48,0.29166666666666663,,,0.6944444444444445,,False,
transcode_g711_opus,48,48,0.3194444444444444,48,0.33333333333333337,48,0.33333333333333337,,,0.673611111111111,,False,
