DATASET,N,VOICE_EER,MUSIC_EER,FILE_EER,ADS
factorial_eval_1200_v2_holdout,400,0.21714285714285717,0.2114285714285714,0.2018181818181818,0.7922337662337662
phone_factorial_1200_v1,1200,0.1725,0.14,0.15414285714285714,0.8464285714285714
yue_cross_component_audit_v1,124,0.25,0.12903225806451613,0.09578804347826086,0.8633963008415148
suno_vocals_v1,13,,,,
suno_vocals_codec_stress_v1,65,,,,
