GROUP_COLUMN,GROUP,N,ANCHOR_MUSIC_EER,V55_MUSIC_EER
CHANNEL,clean,48,0.16666666666666663,0.16666666666666663
CHANNEL,g711_ulaw,48,0.20833333333333337,0.20833333333333337
CHANNEL,g722_wb,48,0.20833333333333337,0.20833333333333337
CHANNEL,opus_nb_8k,48,0.375,0.29166666666666663
CHANNEL,transcode_g711_opus,48,0.33333333333333337,0.33333333333333337
MIX_MODE,concurrent,80,0.32499999999999996,0.35
MIX_MODE,partial_overlap,80,0.25,0.25
MIX_MODE,sequential,80,0.09999999999999999,0.125
