TASK,MODE,WEIGHT,SELECTION,MAX_BANK_REGRESSION,EER_factorial_eval_1200_v2:truth_holdout
FILE,logit,0.4,0.777090909090909,-0.10472727272727272,0.2229090909090909
VOICE,logit,0.2,0.7828571428571428,-0.05142857142857141,0.21714285714285717
MUSIC,logit,0.5,0.7657142857142857,-0.12,0.23428571428571432
