DURATION,MIX_MODE,COMPONENT_CASE,CHANNEL,FILE_MEDIAN_PROB,FILE_ERROR_AT_FIXED_HALF,VOICE_MEDIAN_PROB,VOICE_ERROR_AT_FIXED_HALF,MUSIC_MEDIAN_PROB,MUSIC_ERROR_AT_FIXED_HALF
10,concurrent,FF,clean,0.9989182651042938,0.0,0.6480360627174377,0.4,0.8746858239173889,0.3
10,concurrent,FF,g711_ulaw,0.9889127016067505,0.0,0.9254772961139679,0.0,0.3653998225927353,0.7
10,concurrent,FF,opus_nb_8k,0.7739300429821014,0.3,0.7294376492500305,0.1,0.029293673112988472,1.0
10,concurrent,FR,clean,0.39067642390727997,0.7,0.38184672594070435,0.7,0.016121921595185995,0.0
10,concurrent,FR,g711_ulaw,0.45998725295066833,0.6,0.6020690202713013,0.2,0.01411125948652625,0.0
10,concurrent,FR,opus_nb_8k,0.23209308087825775,0.8,0.33720409870147705,0.7,0.011011102236807346,0.0
10,concurrent,RF,clean,0.9883135259151459,0.2,0.06390116922557354,0.0,0.9331238865852356,0.3
10,concurrent,RF,g711_ulaw,0.6589271724224091,0.3,0.17183539271354675,0.3,0.34075716882944107,0.6
10,concurrent,RF,opus_nb_8k,0.24609917402267456,0.7,0.187452033162117,0.1,0.0212940308265388,0.9
10,concurrent,RR,clean,0.044844841584563255,0.1,0.03972451202571392,0.0,0.006845318246632814,0.1
10,concurrent,RR,g711_ulaw,0.11341852694749832,0.1,0.2313537523150444,0.0,0.010098647326231003,0.0
10,concurrent,RR,opus_nb_8k,0.10910219326615334,0.0,0.21436915546655655,0.0,0.007703739684075117,0.0
10,fake_music,MF,clean,0.9999901056289673,0.0,,,0.999736487865448,0.0
10,fake_music,MF,g711_ulaw,0.8246981501579285,0.3,,,0.6139754801988602,0.5
10,fake_music,MF,opus_nb_8k,0.10124759376049042,0.7,,,0.006621373584493995,0.9
10,fake_voice,VF,clean,0.9802712202072144,0.1,0.9586213529109955,0.1,,
10,fake_voice,VF,g711_ulaw,0.9415258765220642,0.1,0.9565159380435944,0.1,,
10,fake_voice,VF,opus_nb_8k,0.5517954230308533,0.4,0.6253164410591125,0.4,,
10,real_music,MR,clean,0.16800236329436302,0.2,,,0.0313680749386549,0.1
10,real_music,MR,g711_ulaw,0.08419176563620567,0.0,,,0.007619783980771899,0.0
10,real_music,MR,opus_nb_8k,0.09373698383569717,0.0,,,0.010957478545606136,0.0
10,real_voice,VR,clean,0.14535148441791534,0.1,0.19612405449151993,0.1,,
10,real_voice,VR,g711_ulaw,0.15158432722091675,0.0,0.2387794926762581,0.0,,
10,real_voice,VR,opus_nb_8k,0.027900921180844307,0.0,0.04604849964380264,0.0,,
10,sequential_music_first,FF,clean,0.9996460676193237,0.0,0.9078169763088226,0.3,0.9616285264492035,0.4
10,sequential_music_first,FF,g711_ulaw,0.9510263204574585,0.2,0.9019569754600525,0.3,0.13453705608844757,0.7
10,sequential_music_first,FF,opus_nb_8k,0.6144018769264221,0.5,0.5553566142916679,0.5,0.023758811876177788,0.9
10,sequential_music_first,FR,clean,0.8975229263305664,0.3,0.8892894685268402,0.3,0.01932633388787508,0.1
10,sequential_music_first,FR,g711_ulaw,0.7557493448257446,0.4,0.7276516556739807,0.5,0.02272067219018936,0.1
10,sequential_music_first,FR,opus_nb_8k,0.32135336101055145,0.6,0.21780698001384735,0.6,0.022249669767916203,0.0
10,sequential_music_first,RF,clean,0.9623317420482635,0.2,0.09475813619792461,0.2,0.9372980892658234,0.3
10,sequential_music_first,RF,g711_ulaw,0.2157455049455166,0.6,0.0825444757938385,0.1,0.11930616945028305,0.7
10,sequential_music_first,RF,opus_nb_8k,0.08690966293215752,0.9,0.04042438045144081,0.0,0.017394756665453315,0.9
10,sequential_music_first,RR,clean,0.173953078687191,0.0,0.06548558920621872,0.0,0.01468018302693963,0.0
10,sequential_music_first,RR,g711_ulaw,0.07170003652572632,0.1,0.05799786560237408,0.1,0.010076995473355055,0.1
10,sequential_music_first,RR,opus_nb_8k,0.03750720992684364,0.0,0.027737269178032875,0.0,0.013050278183072805,0.0
10,sequential_voice_first,FF,clean,0.9999222159385681,0.0,0.9901147186756134,0.3,0.9860522150993347,0.3
10,sequential_voice_first,FF,g711_ulaw,0.9972927868366241,0.1,0.9920789301395416,0.2,0.432848796248436,0.5
10,sequential_voice_first,FF,opus_nb_8k,0.9104713797569275,0.2,0.7897743880748749,0.3,0.04409032501280308,0.7
10,sequential_voice_first,FR,clean,0.9839860200881958,0.2,0.9860743582248688,0.3,0.0196615532040596,0.1
10,sequential_voice_first,FR,g711_ulaw,0.9601441919803619,0.4,0.9691601693630219,0.4,0.016718732193112373,0.1
10,sequential_voice_first,FR,opus_nb_8k,0.5535188019275665,0.5,0.4494089037179947,0.5,0.03424089401960373,0.0
10,sequential_voice_first,RF,clean,0.987221360206604,0.2,0.028613019734621048,0.1,0.9867405593395233,0.3
10,sequential_voice_first,RF,g711_ulaw,0.2319224253296852,0.6,0.034554433077573776,0.1,0.20383019000291824,0.7
10,sequential_voice_first,RF,opus_nb_8k,0.05546165443956852,0.9,0.020256667397916317,0.0,0.0191151425242424,0.8
10,sequential_voice_first,RR,clean,0.07474909350275993,0.1,0.019462181255221367,0.1,0.014900707174092531,0.0
10,sequential_voice_first,RR,g711_ulaw,0.025472229346632957,0.1,0.023248329758644104,0.1,0.008405145024880767,0.0
10,sequential_voice_first,RR,opus_nb_8k,0.021000418812036514,0.0,0.014905896969139576,0.0,0.016026660334318876,0.0
10,sparse_music,FF,clean,0.48940974473953247,0.5,0.48689132928848267,0.5,0.014594022650271654,1.0
10,sparse_music,FF,g711_ulaw,0.8087817430496216,0.2,0.8795312643051147,0.1,0.012891388963907957,1.0
10,sparse_music,FF,opus_nb_8k,0.4347228854894638,0.7,0.4541538208723068,0.5,0.01474851369857788,1.0
10,sparse_music,FR,clean,0.3964872360229492,0.7,0.36538489162921906,0.6,0.015446821693331003,0.0
10,sparse_music,FR,g711_ulaw,0.4199362099170685,0.6,0.6274698078632355,0.4,0.012433715164661407,0.0
10,sparse_music,FR,opus_nb_8k,0.27433399111032486,0.7,0.39839035272598267,0.6,0.013080745469778776,0.0
10,sparse_music,RF,clean,0.0979476347565651,1.0,0.05314415693283081,0.0,0.023140843026340008,1.0
10,sparse_music,RF,g711_ulaw,0.21423853933811188,0.9,0.26865463703870773,0.1,0.012251125182956457,1.0
10,sparse_music,RF,opus_nb_8k,0.1929386705160141,1.0,0.24480310827493668,0.0,0.012761144898831844,1.0
10,sparse_music,RR,clean,0.04768368788063526,0.0,0.04402379132807255,0.0,0.006985659245401621,0.0
10,sparse_music,RR,g711_ulaw,0.12584304437041283,0.1,0.25902295112609863,0.0,0.00734881148673594,0.0
10,sparse_music,RR,opus_nb_8k,0.10069964826107025,0.0,0.16228321939706802,0.1,0.006894917692989111,0.0
10,sparse_voice,FF,clean,0.9810607135295868,0.1,0.07142329216003418,0.9,0.9312709271907806,0.3
10,sparse_voice,FF,g711_ulaw,0.6466497182846069,0.3,0.3192417025566101,0.6,0.23359698057174683,0.7
10,sparse_voice,FF,opus_nb_8k,0.2318117767572403,0.8,0.2562875300645828,0.9,0.014628265053033829,0.9
10,sparse_voice,FR,clean,0.03703747410327196,0.9,0.04464541748166084,1.0,0.008808339480310678,0.0
10,sparse_voice,FR,g711_ulaw,0.12023801356554031,0.9,0.19491175562143326,0.8,0.012068753130733967,0.0
10,sparse_voice,FR,opus_nb_8k,0.12338176742196083,1.0,0.21327903121709824,1.0,0.008124145912006497,0.0
10,sparse_voice,RF,clean,0.9823153614997864,0.2,0.06737600453197956,0.0,0.9101899266242981,0.2
10,sparse_voice,RF,g711_ulaw,0.6129024922847748,0.3,0.20445524156093597,0.2,0.28861765563488007,0.6
10,sparse_voice,RF,opus_nb_8k,0.18663012236356735,0.7,0.2087833359837532,0.1,0.014247959479689598,0.9
10,sparse_voice,RR,clean,0.051773044280707836,0.1,0.04766781721264124,0.0,0.006453612586483359,0.1
10,sparse_voice,RR,g711_ulaw,0.10473661124706268,0.1,0.22608118504285812,0.2,0.01073801051825285,0.1
10,sparse_voice,RR,opus_nb_8k,0.11578334495425224,0.0,0.20998811721801758,0.1,0.00946173258125782,0.0
30,concurrent,FF,clean,0.9999657273292542,0.0,0.9011224806308746,0.0,0.9745654761791229,0.1
30,concurrent,FF,g711_ulaw,0.9986198544502258,0.0,0.9725227355957031,0.0,0.3564058244228363,0.6
30,concurrent,FF,opus_nb_8k,0.7083297669887543,0.1,0.7784832119941711,0.2,0.03353328350931406,1.0
30,concurrent,FR,clean,0.8800666928291321,0.3,0.865908145904541,0.2,0.019232159946113825,0.0
30,concurrent,FR,g711_ulaw,0.9441655874252319,0.0,0.9520422518253326,0.0,0.02220970345661044,0.0
30,concurrent,FR,opus_nb_8k,0.6738753020763397,0.4,0.7468599379062653,0.2,0.02254047431051731,0.0
30,concurrent,RF,clean,0.9999087452888489,0.1,0.12253906577825546,0.2,0.9960693120956421,0.1
30,concurrent,RF,g711_ulaw,0.8651840388774872,0.2,0.6581929624080658,0.6,0.43698030710220337,0.6
30,concurrent,RF,opus_nb_8k,0.28084439039230347,0.7,0.33985812962055206,0.3,0.03827172517776489,1.0
30,concurrent,RR,clean,0.07251331023871899,0.0,0.1021786592900753,0.0,0.00858150701969862,0.0
30,concurrent,RR,g711_ulaw,0.4216933250427246,0.3,0.5731463730335236,0.7,0.013622258324176073,0.0
30,concurrent,RR,opus_nb_8k,0.27508223056793213,0.1,0.503688395023346,0.6,0.01704612746834755,0.0
30,fake_music,MF,clean,0.9999973177909851,0.0,,,0.9996650218963623,0.0
30,fake_music,MF,g711_ulaw,0.9055500328540802,0.0,,,0.8418048024177551,0.2
30,fake_music,MF,opus_nb_8k,0.2605737894773483,0.7,,,0.06701993569731712,0.8
30,fake_voice,VF,clean,0.9999409317970276,0.0,0.9983347356319427,0.0,,
30,fake_voice,VF,g711_ulaw,0.9992521405220032,0.0,0.9975937008857727,0.0,,
30,fake_voice,VF,opus_nb_8k,0.949836403131485,0.0,0.9125073850154877,0.0,,
30,real_music,MR,clean,0.1677282601594925,0.1,,,0.03278176300227642,0.1
30,real_music,MR,g711_ulaw,0.08568501472473145,0.2,,,0.013259650208055973,0.2
30,real_music,MR,opus_nb_8k,0.10938508063554764,0.2,,,0.018804541788995266,0.1
30,real_voice,VR,clean,0.40565094351768494,0.4,0.4303373396396637,0.4,,
