VIEWS,WEIGHT,FILE_EER,WORST_CHANNEL_EER,MIN_CHANNEL_DELTA
2,0.0,0.17527272727272727,0.17979797979797982,0.0
2,0.05,0.16945454545454547,0.17979797979797982,0.0
2,0.1,0.16763636363636364,0.17979797979797982,0.0
2,0.15000000000000002,0.16000000000000003,0.16010638297872343,-0.035869565217391305
2,0.2,0.15236363636363637,0.16010638297872343,-0.035869565217391305
2,0.25,0.15236363636363637,0.16010638297872343,-0.0467391304347826
2,0.30000000000000004,0.15236363636363637,0.19574468085106386,-0.0467391304347826
2,0.35000000000000003,0.15236363636363637,0.19574468085106386,-0.0467391304347826
2,0.4,0.15236363636363637,0.19574468085106386,-0.0467391304347826
2,0.45,0.1581818181818182,0.19574468085106386,-0.0467391304347826
2,0.5,0.16000000000000003,0.15108695652173915,-0.0467391304347826
2,0.55,0.16181818181818186,0.16195652173913044,-0.0576086956521739
2,0.6000000000000001,0.16945454545454547,0.19782608695652174,-0.09347826086956519
2,0.65,0.16945454545454547,0.19782608695652174,-0.09347826086956519
2,0.7000000000000001,0.17527272727272727,0.19782608695652174,-0.09347826086956519
2,0.75,0.16763636363636364,0.19782608695652174,-0.09347826086956519
2,0.8,0.17527272727272727,0.19782608695652174,-0.09347826086956519
2,0.8500000000000001,0.16945454545454547,0.19782608695652174,-0.09347826086956519
2,0.9,0.16945454545454547,0.19782608695652174,-0.09347826086956519
2,0.9500000000000001,0.1770909090909091,0.19782608695652174,-0.09347826086956519
2,1.0,0.1770909090909091,0.19782608695652174,-0.09347826086956519
3,0.0,0.17527272727272727,0.17979797979797982,0.0
3,0.05,0.16945454545454547,0.19574468085106386,-0.035638297872340435
3,0.1,0.16763636363636364,0.19574468085106386,-0.035638297872340435
3,0.15000000000000002,0.16000000000000003,0.19574468085106386,-0.035869565217391305
3,0.2,0.1581818181818182,0.19574468085106386,-0.035869565217391305
3,0.25,0.16000000000000003,0.19574468085106386,-0.035869565217391305
3,0.30000000000000004,0.16181818181818186,0.20638297872340425,-0.0467391304347826
3,0.35000000000000003,0.16000000000000003,0.20638297872340425,-0.0467391304347826
3,0.4,0.16763636363636364,0.20638297872340425,-0.0467391304347826
3,0.45,0.16763636363636364,0.19574468085106386,-0.0467391304347826
3,0.5,0.16763636363636364,0.19574468085106386,-0.0467391304347826
3,0.55,0.17527272727272727,0.19574468085106386,-0.0576086956521739
3,0.6000000000000001,0.17527272727272727,0.19782608695652174,-0.09347826086956519
3,0.65,0.17527272727272727,0.20869565217391303,-0.10434782608695649
3,0.7000000000000001,0.17527272727272727,0.20869565217391303,-0.10434782608695649
3,0.75,0.17527272727272727,0.20869565217391303,-0.10434782608695649
3,0.8,0.17527272727272727,0.20869565217391303,-0.10434782608695649
3,0.8500000000000001,0.16763636363636364,0.20869565217391303,-0.10434782608695649
3,0.9,0.16763636363636364,0.20869565217391303,-0.10434782608695649
3,0.9500000000000001,0.17527272727272727,0.24456521739130432,-0.1402173913043478
3,1.0,0.17527272727272727,0.24456521739130432,-0.1402173913043478
