WEIGHT,MUSIC_EER,WORST_CHANNEL_EER,MIN_CHANNEL_DELTA,ROBUST_OBJECTIVE
0.0,0.2114285714285714,0.24166666666666667,0.0,0.22654761904761905
0.05,0.2114285714285714,0.24166666666666667,0.0,0.22654761904761905
0.1,0.21714285714285717,0.24166666666666667,0.0,0.22940476190476192
0.15000000000000002,0.21714285714285717,0.24166666666666667,0.0,0.22940476190476192
0.2,0.21714285714285717,0.24166666666666667,0.0,0.22940476190476192
0.25,0.21714285714285717,0.24166666666666667,0.0,0.22940476190476192
0.30000000000000004,0.21714285714285717,0.20714285714285716,0.0,0.21214285714285716
0.35000000000000003,0.21714285714285717,0.20714285714285716,0.0,0.21214285714285716
0.4,0.2114285714285714,0.20714285714285716,0.0,0.2092857142857143
0.45,0.2114285714285714,0.20714285714285716,0.0,0.2092857142857143
0.5,0.20571428571428574,0.20714285714285716,0.0,0.20642857142857146
0.55,0.20571428571428574,0.20714285714285716,0.0,0.20642857142857146
0.6000000000000001,0.2114285714285714,0.20714285714285716,0.0,0.2092857142857143
0.65,0.20571428571428574,0.20714285714285716,0.0,0.20642857142857146
0.7000000000000001,0.20571428571428574,0.20714285714285716,0.0,0.20642857142857146
0.75,0.20571428571428574,0.20714285714285716,0.0,0.20642857142857146
0.8,0.19999999999999998,0.20714285714285716,0.0,0.20357142857142857
0.8500000000000001,0.19999999999999998,0.20714285714285716,-0.03452380952380954,0.20357142857142857
0.9,0.19999999999999998,0.20714285714285716,-0.03452380952380954,0.20357142857142857
0.9500000000000001,0.19428571428571428,0.20714285714285716,-0.03452380952380954,0.20071428571428573
1.0,0.19428571428571428,0.20714285714285716,-0.03452380952380954,0.20071428571428573
