VIEWS,METHOD,NORMAL_WEIGHT,PHONE_WEIGHT,FILE_EER,WORST_CHANNEL_EER,MIN_CHANNEL_DELTA,ROBUST_OBJECTIVE
2,soft,0.0,0.0,0.17527272727272727,0.17979797979797982,0.0,0.17753535353535355
2,soft,0.0,0.1,0.16945454545454547,0.17979797979797982,0.0,0.17462626262626263
2,soft,0.0,0.2,0.16945454545454547,0.17979797979797982,0.0,0.17462626262626263
2,soft,0.0,0.30000000000000004,0.17527272727272727,0.19574468085106386,-0.035638297872340435,0.18550870406189557
2,soft,0.0,0.4,0.1770909090909091,0.19574468085106386,-0.035638297872340435,0.18641779497098648
2,soft,0.0,0.5,0.16763636363636364,0.17979797979797982,0.0,0.17371717171717171
2,soft,0.0,0.6000000000000001,0.16763636363636364,0.17979797979797982,0.0,0.17371717171717171
2,soft,0.0,0.7000000000000001,0.16945454545454547,0.17979797979797982,0.0,0.17462626262626263
2,soft,0.0,0.8,0.16945454545454547,0.17979797979797982,0.0,0.17462626262626263
2,soft,0.0,0.9,0.16945454545454547,0.17979797979797982,0.0,0.17462626262626263
2,soft,0.0,1.0,0.16945454545454547,0.17979797979797982,0.0,0.17462626262626263
2,soft,0.1,0.0,0.16763636363636364,0.17979797979797982,0.0,0.17371717171717171
2,soft,0.1,0.1,0.16763636363636364,0.17979797979797982,0.0,0.17371717171717171
2,soft,0.1,0.2,0.16763636363636364,0.17979797979797982,0.0,0.17371717171717171
2,soft,0.1,0.30000000000000004,0.16763636363636364,0.19574468085106386,-0.035638297872340435,0.18169052224371374
2,soft,0.1,0.4,0.16763636363636364,0.19574468085106386,-0.035638297872340435,0.18169052224371374
2,soft,0.1,0.5,0.16763636363636364,0.17979797979797982,0.0,0.17371717171717171
2,soft,0.1,0.6000000000000001,0.16763636363636364,0.17979797979797982,0.0,0.17371717171717171
2,soft,0.1,0.7000000000000001,0.16763636363636364,0.17979797979797982,0.0,0.17371717171717171
2,soft,0.1,0.8,0.16763636363636364,0.17979797979797982,0.0,0.17371717171717171
2,soft,0.1,0.9,0.16763636363636364,0.17979797979797982,0.0,0.17371717171717171
2,soft,0.1,1.0,0.16763636363636364,0.17979797979797982,0.0,0.17371717171717171
2,soft,0.2,0.0,0.1581818181818182,0.16010638297872343,-0.035869565217391305,0.15914410058027081
2,soft,0.2,0.1,0.15236363636363637,0.16010638297872343,-0.035869565217391305,0.1562350096711799
2,soft,0.2,0.2,0.15236363636363637,0.16010638297872343,-0.035869565217391305,0.1562350096711799
2,soft,0.2,0.30000000000000004,0.15236363636363637,0.19574468085106386,-0.035869565217391305,0.17405415860735013
2,soft,0.2,0.4,0.15236363636363637,0.19574468085106386,-0.035869565217391305,0.17405415860735013
2,soft,0.2,0.5,0.1581818181818182,0.149468085106383,-0.035869565217391305,0.1538249516441006
2,soft,0.2,0.6000000000000001,0.1581818181818182,0.149468085106383,-0.035869565217391305,0.1538249516441006
2,soft,0.2,0.7000000000000001,0.1581818181818182,0.149468085106383,-0.035869565217391305,0.1538249516441006
2,soft,0.2,0.8,0.1581818181818182,0.149468085106383,-0.035869565217391305,0.1538249516441006
2,soft,0.2,0.9,0.16000000000000003,0.149468085106383,-0.035869565217391305,0.1547340425531915
2,soft,0.2,1.0,0.16000000000000003,0.149468085106383,-0.035869565217391305,0.1547340425531915
2,soft,0.30000000000000004,0.0,0.15236363636363637,0.16010638297872343,-0.0467391304347826,0.1562350096711799
2,soft,0.30000000000000004,0.1,0.15236363636363637,0.16010638297872343,-0.0467391304347826,0.1562350096711799
2,soft,0.30000000000000004,0.2,0.15236363636363637,0.16010638297872343,-0.0467391304347826,0.1562350096711799
2,soft,0.30000000000000004,0.30000000000000004,0.15236363636363637,0.19574468085106386,-0.0467391304347826,0.17405415860735013
2,soft,0.30000000000000004,0.4,0.15236363636363637,0.19574468085106386,-0.0467391304347826,0.17405415860735013
2,soft,0.30000000000000004,0.5,0.1581818181818182,0.15108695652173915,-0.0467391304347826,0.15463438735177867
2,soft,0.30000000000000004,0.6000000000000001,0.1581818181818182,0.15108695652173915,-0.0467391304347826,0.15463438735177867
2,soft,0.30000000000000004,0.7000000000000001,0.15236363636363637,0.15108695652173915,-0.0467391304347826,0.15172529644268776
2,soft,0.30000000000000004,0.8,0.15236363636363637,0.15108695652173915,-0.0467391304347826,0.15172529644268776
2,soft,0.30000000000000004,0.9,0.15236363636363637,0.15108695652173915,-0.0467391304347826,0.15172529644268776
2,soft,0.30000000000000004,1.0,0.1581818181818182,0.15108695652173915,-0.0467391304347826,0.15463438735177867
2,soft,0.4,0.0,0.1581818181818182,0.16010638297872343,-0.0467391304347826,0.15914410058027081
2,soft,0.4,0.1,0.15236363636363637,0.16010638297872343,-0.0467391304347826,0.1562350096711799
2,soft,0.4,0.2,0.15236363636363637,0.16010638297872343,-0.0467391304347826,0.1562350096711799
2,soft,0.4,0.30000000000000004,0.15236363636363637,0.19574468085106386,-0.0467391304347826,0.17405415860735013
2,soft,0.4,0.4,0.15236363636363637,0.19574468085106386,-0.0467391304347826,0.17405415860735013
