DATASET,METHOD,FILE_EER,VOICE_EER,MUSIC_EER,ADS,DELTA_VS_V41
factorial,v41,0.16945454545454547,0.20571428571428574,0.18285714285714283,0.8192727272727272,0.0
factorial,fixed_file_2view,0.16181818181818186,0.20571428571428574,0.18285714285714283,0.8230909090909091,0.0038181818181819427
factorial,phone_soft_router_selected,0.16000000000000003,0.20571428571428574,0.18285714285714283,0.824,0.004727272727272802
factorial,fixed_music_3view,0.16945454545454547,0.20571428571428574,0.19428571428571428,0.8158441558441558,-0.0034285714285713365
phone,v41,0.08414285714285716,0.16000000000000003,0.07499999999999998,0.9034285714285715,0.0
phone,fixed_file_2view,0.08242857142857143,0.16000000000000003,0.07499999999999998,0.9042857142857144,0.0008571428571428896
phone,phone_soft_router_selected,0.08757142857142859,0.16000000000000003,0.07499999999999998,0.9017142857142857,-0.0017142857142857792
phone,fixed_music_3view,0.08414285714285716,0.16000000000000003,0.07999999999999999,0.9019285714285714,-0.0015000000000000568
yue,v41,0.09578804347826086,0.08333333333333334,0.12903225806451613,0.8967296341748481,0.0
yue,fixed_file_2view,0.09578804347826086,0.08333333333333334,0.12903225806451613,0.8967296341748481,0.0
yue,phone_soft_router_selected,0.09578804347826086,0.08333333333333334,0.12903225806451613,0.8967296341748481,0.0
yue,fixed_music_3view,0.09578804347826086,0.08333333333333334,0.12903225806451613,0.8967296341748481,0.0
