HIDDEN,LOW,HIGH,REGULARIZATION,SEED,BEST_EPOCH,SELECTION,DEV_ADS,DEV_FILE_EER,DEV_VOICE_EER,FACTORIAL_ADS,FACTORIAL_FILE_EER,FACTORIAL_VOICE_EER,PHONE_ADS,PHONE_FILE_EER,PHONE_VOICE_EER,YUE_ADS,YUE_FILE_EER,YUE_VOICE_EER
12,0.1,0.5,0.1,20260905,0,0.15233766233766233,0.7928051948051948,0.2018181818181818,0.2571428571428571,0.7921818181818181,0.20763636363636362,0.2114285714285714,0.8548214285714286,0.14585714285714285,0.15500000000000003,0.8748936418887331,0.12228260869565216,0.10208333333333333
12,0.1,0.5,1.0,20260905,0,0.15233766233766233,0.7928051948051948,0.2018181818181818,0.2571428571428571,0.7921818181818181,0.20763636363636362,0.2114285714285714,0.8548214285714286,0.14585714285714285,0.15500000000000003,0.8748936418887331,0.12228260869565216,0.10208333333333333
0,0.1,0.5,1.0,20260903,0,0.1537142857142857,0.7914285714285714,0.19999999999999998,0.26857142857142857,0.796,0.19999999999999998,0.2114285714285714,0.8533214285714286,0.14585714285714285,0.16249999999999998,0.8854235331930809,0.10122282608695654,0.10208333333333333
0,0.1,0.5,0.1,20260903,0,0.1537142857142857,0.7914285714285714,0.19999999999999998,0.26857142857142857,0.796,0.19999999999999998,0.2114285714285714,0.8533214285714286,0.14585714285714285,0.16249999999999998,0.8854235331930809,0.10122282608695654,0.10208333333333333
0,0.15,0.45,1.0,20260903,0,0.1546233766233766,0.7905194805194805,0.2018181818181818,0.26857142857142857,0.7971428571428572,0.19999999999999998,0.20571428571428574,0.8543214285714285,0.14585714285714285,0.15749999999999997,0.8748936418887331,0.12228260869565216,0.10208333333333333
0,0.15,0.45,0.1,20260903,0,0.1546233766233766,0.7905194805194805,0.2018181818181818,0.26857142857142857,0.7971428571428572,0.19999999999999998,0.20571428571428574,0.8543214285714285,0.14585714285714285,0.15749999999999997,0.8748936418887331,0.12228260869565216,0.10208333333333333
12,0.15,0.45,0.1,20260905,0,0.15524675324675324,0.7898961038961039,0.20763636363636362,0.2571428571428571,0.7962337662337662,0.2018181818181818,0.20571428571428574,0.8553214285714286,0.14585714285714285,0.15249999999999997,0.8854235331930809,0.10122282608695654,0.10208333333333333
12,0.15,0.45,1.0,20260905,0,0.15524675324675324,0.7898961038961039,0.20763636363636362,0.2571428571428571,0.7962337662337662,0.2018181818181818,0.20571428571428574,0.8553214285714286,0.14585714285714285,0.15249999999999997,0.8854235331930809,0.10122282608695654,0.10208333333333333
0,0.15,0.45,0.1,20260905,0,0.15638961038961038,0.7887532467532468,0.20763636363636362,0.2628571428571429,0.7962337662337662,0.2018181818181818,0.20571428571428574,0.8618214285714285,0.13585714285714284,0.14500000000000002,0.8748936418887331,0.12228260869565216,0.10208333333333333
0,0.15,0.45,1.0,20260905,0,0.15638961038961038,0.7887532467532468,0.20763636363636362,0.2628571428571429,0.7962337662337662,0.2018181818181818,0.20571428571428574,0.8618214285714285,0.13585714285714284,0.14500000000000002,0.8748936418887331,0.12228260869565216,0.10208333333333333
0,0.1,0.5,0.1,20260905,10,0.15638961038961038,0.7887532467532468,0.20763636363636362,0.2628571428571429,0.7933246753246752,0.20763636363636362,0.20571428571428574,0.8611071428571428,0.1382857142857143,0.14249999999999996,0.8748936418887331,0.12228260869565216,0.10208333333333333
12,0.1,0.5,1.0,20260903,20,0.1572987012987013,0.7878441558441558,0.20945454545454545,0.2628571428571429,0.7962337662337662,0.2018181818181818,0.20571428571428574,0.8563214285714285,0.14585714285714285,0.14749999999999996,0.8748936418887331,0.12228260869565216,0.10208333333333333
12,0.15,0.45,1.0,20260904,370,0.1572987012987013,0.7878441558441558,0.20945454545454545,0.2628571428571429,0.79012987012987,0.20945454545454545,0.21714285714285717,0.8581785714285715,0.14414285714285713,0.14249999999999996,0.8748936418887331,0.12228260869565216,0.10208333333333333
0,0.1,0.5,1.0,20260905,10,0.1572987012987013,0.7878441558441558,0.20945454545454545,0.2628571428571429,0.7933246753246752,0.20763636363636362,0.20571428571428574,0.8614642857142858,0.13757142857142857,0.14249999999999996,0.8748936418887331,0.12228260869565216,0.10208333333333333
12,0.1,0.5,0.1,20260903,0,0.15753246753246752,0.7876103896103896,0.20763636363636362,0.26857142857142857,0.796,0.19999999999999998,0.2114285714285714,0.8563214285714285,0.14585714285714285,0.14749999999999996,0.8748936418887331,0.12228260869565216,0.10208333333333333
