ID,FAKE_LOGIT_MEAN,FAKE_LOGIT_MAX,FAKE_LOGIT_LME5,WINDOWS
sdm_fake_0000__phonefact_g711_ulaw,0.6383463740348816,2.953125,2.7334025538117106,3
sdm_fake_0000__phonefact_g726_24k,1.681640625,3.171875,2.9521751906596343,3
sdm_fake_0000__phonefact_opus_nb_8k,4.692708492279053,5.390625,5.246301322257609,3
sdm_fake_0000__phonefact_resample8k,1.330078125,2.05859375,1.8409976423911534,3
sdm_fake_0001__phonefact_g711_ulaw,6.125,6.65625,6.4438559714234644,3
sdm_fake_0001__phonefact_g726_24k,6.1875,6.84375,6.63879198439341,3
sdm_fake_0001__phonefact_opus_nb_8k,3.9348957538604736,4.71875,4.500848607247302,3
sdm_fake_0001__phonefact_resample8k,6.627604007720947,7.828125,7.679015965753196,3
sdm_fake_0002__phonefact_g711_ulaw,5.265625,5.953125,5.735806824276217,3
sdm_fake_0002__phonefact_g726_24k,5.255208492279053,5.546875,5.373183274252467,3
sdm_fake_0002__phonefact_opus_nb_8k,4.002604007720947,5.09375,4.874145399002162,3
sdm_fake_0002__phonefact_resample8k,5.484375,6.796875,6.5771877871992945,3
sdm_fake_0003__phonefact_g711_ulaw,-1.4602864980697632,0.775390625,0.555668189187495,3
sdm_fake_0003__phonefact_g726_24k,-0.27734375,2.4375,2.2177775429023994,3
sdm_fake_0003__phonefact_opus_nb_8k,4.216145992279053,6.265625,6.045903234168437,3
sdm_fake_0003__phonefact_resample8k,-2.3958332538604736,-1.47265625,-1.6711097076906156,3
sdm_fake_0004__phonefact_g711_ulaw,4.328125,5.875,5.6592607719643855,3
sdm_fake_0004__phonefact_g726_24k,4.028645992279053,5.0625,4.846919537792037,3
sdm_fake_0004__phonefact_opus_nb_8k,2.0123698711395264,3.3984375,3.178766417849932,3
sdm_fake_0004__phonefact_resample8k,6.0,7.53125,7.320127358573858,3
sdm_fake_0005__phonefact_g711_ulaw,6.296875,8.109375,7.889658696142236,3
sdm_fake_0005__phonefact_g726_24k,5.903645992279053,7.609375,7.389684241775198,3
sdm_fake_0005__phonefact_opus_nb_8k,4.731770992279053,5.375,5.1586852676811565,3
sdm_fake_0005__phonefact_resample8k,8.4375,9.125,8.943363568995567,3
sdm_fake_0006__phonefact_g711_ulaw,2.4796142578125,3.7734375,3.6809688553047883,3
sdm_fake_0006__phonefact_g726_24k,3.9388020038604736,5.046875,4.870989412831738,3
sdm_fake_0006__phonefact_opus_nb_8k,4.229166507720947,4.4609375,4.3151868966819915,3
sdm_fake_0006__phonefact_resample8k,0.7353515625,2.5546875,2.33496585656687,3
sdm_fake_0007__phonefact_g711_ulaw,8.291666984558105,9.6875,9.467872476595048,3
sdm_fake_0007__phonefact_g726_24k,8.291666984558105,9.9375,9.71789711822031,3
sdm_fake_0007__phonefact_opus_nb_8k,4.732421875,7.09375,6.874747557282847,3
sdm_fake_0007__phonefact_resample8k,8.765625,9.75,9.536607695285428,3
sdm_fake_0008__phonefact_g711_ulaw,4.166666507720947,5.90625,5.6865285790509175,3
sdm_fake_0008__phonefact_g726_24k,4.536458492279053,5.359375,5.140653410876293,3
sdm_fake_0008__phonefact_opus_nb_8k,3.1692707538604736,3.296875,3.204953582635632,3
sdm_fake_0008__phonefact_resample8k,4.666666507720947,7.046875,6.827152552107336,3
sdm_fake_0009__phonefact_g711_ulaw,7.322916507720947,9.0625,8.842806857019982,3
sdm_fake_0009__phonefact_g726_24k,8.453125,9.3125,9.098653189672252,3
sdm_fake_0009__phonefact_opus_nb_8k,3.7174479961395264,6.375,6.1572592993809305,3
sdm_fake_0009__phonefact_resample8k,7.479166507720947,8.9375,8.742428298885931,3
sdm_fake_0010__phonefact_g711_ulaw,0.9434000849723816,3.03125,2.811527672354921,3
sdm_fake_0010__phonefact_g726_24k,1.76318359375,2.8125,2.6048929250707396,3
sdm_fake_0010__phonefact_opus_nb_8k,3.2239582538604736,5.75,5.538877358112196,3
sdm_fake_0010__phonefact_resample8k,2.5651042461395264,3.1875,2.973158108237234,3
sdm_fake_0011__phonefact_g711_ulaw,6.927083492279053,9.03125,8.811535308740158,3
sdm_fake_0011__phonefact_g726_24k,7.161458492279053,8.90625,8.686530019735002,3
sdm_fake_0011__phonefact_opus_nb_8k,4.763020992279053,5.296875,5.092600424094809,3
sdm_fake_0011__phonefact_resample8k,7.453125,8.8125,8.592792765498768,3
sdm_fake_0012__phonefact_g711_ulaw,0.2024739533662796,2.3359375,2.11655481262675,3
sdm_fake_0012__phonefact_g726_24k,1.3059896230697632,3.3046875,3.0886516681484943,3
sdm_fake_0012__phonefact_opus_nb_8k,2.9583332538604736,3.1953125,3.0340922004251167,3
sdm_fake_0012__phonefact_resample8k,4.7578125,5.515625,5.297450660336411,3
sdm_fake_0013__phonefact_g711_ulaw,5.890625,6.6875,6.503221263696304,3
sdm_fake_0013__phonefact_g726_24k,5.213541507720947,6.1875,6.003216090093306,3
sdm_fake_0013__phonefact_opus_nb_8k,3.109375,4.1953125,3.9765034752060133,3
sdm_fake_0013__phonefact_resample8k,4.6171875,5.296875,5.124185078099897,3
sdm_fake_0014__phonefact_g711_ulaw,2.8880207538604736,3.765625,3.5475805732755332,3
sdm_fake_0014__phonefact_g726_24k,4.505208492279053,6.703125,6.483402591322499,3
sdm_fake_0014__phonefact_opus_nb_8k,1.25732421875,2.328125,2.108958225149338,3
sdm_fake_0014__phonefact_resample8k,2.953125,3.390625,3.2353704939370127,3
sdm_fake_0015__phonefact_g711_ulaw,6.203125,7.703125,7.483471850293047,3
sdm_fake_0015__phonefact_g726_24k,5.885416507720947,6.65625,6.471973922835329,3
sdm_fake_0015__phonefact_opus_nb_8k,3.46875,4.1640625,3.9699506564079257,3
sdm_fake_0015__phonefact_resample8k,5.143229007720947,6.4375,6.218107958711321,3
sdm_fake_0016__phonefact_g711_ulaw,3.3177082538604736,4.625,4.406300233865245,3
sdm_fake_0016__phonefact_g726_24k,4.161458492279053,4.984375,4.845083763224989,3
sdm_fake_0016__phonefact_opus_nb_8k,2.1888020038604736,2.53125,2.4069700630331785,3
sdm_fake_0016__phonefact_resample8k,3.9817707538604736,5.203125,4.98357506278675,3
sdm_fake_0017__phonefact_g711_ulaw,5.216145992279053,7.84375,7.6240275477526795,3
sdm_fake_0017__phonefact_g726_24k,5.619791507720947,6.4375,6.2193576993410415,3
sdm_fake_0017__phonefact_opus_nb_8k,4.2109375,5.59375,5.374085163969992,3
sdm_fake_0017__phonefact_resample8k,6.182291507720947,8.484375,8.264652739963307,3
sdm_fake_0018__phonefact_g711_ulaw,9.354166984558105,9.65625,9.515118458643542,3
sdm_fake_0018__phonefact_g726_24k,8.869791984558105,9.6875,9.489052540593452,3
sdm_fake_0018__phonefact_opus_nb_8k,4.6484375,5.859375,5.643064610841236,3
sdm_fake_0018__phonefact_resample8k,9.078125,10.0,9.801546572920666,3
sdm_fake_0019__phonefact_g711_ulaw,0.8125,3.2109375,2.9912207242973516,3
sdm_fake_0019__phonefact_g726_24k,2.8854167461395264,4.515625,4.295904532044155,3
sdm_fake_0019__phonefact_opus_nb_8k,3.7513020038604736,6.015625,5.795902648648448,3
sdm_fake_0019__phonefact_resample8k,2.2945964336395264,4.6875,4.467777594794007,3
sdm_fake_0020__phonefact_g711_ulaw,-0.2018229216337204,5.15625,4.9365275422663775,3
sdm_fake_0020__phonefact_g726_24k,0.19140625,4.4296875,4.209965042266402,3
sdm_fake_0020__phonefact_opus_nb_8k,1.4609375,5.125,4.90527756920377,3
sdm_fake_0020__phonefact_resample8k,0.56640625,4.4609375,4.241215042418623,3
