EPOCH,LOSS,SELECTION,MEAN_VOICE_EER,WORST_VOICE_EER,WORST_GENERATOR_EER
0,0.8312492311000824,0.6564185682276178,0.3216964285714286,0.39,0.4375
2,0.4505369429077421,0.6820892812381182,0.2805565476190476,0.3828571428571429,0.4437873754152824
4,0.36166665724345615,0.7200283872232295,0.2567797619047619,0.32571428571428573,0.35571428571428565
6,0.31687548671449933,0.7046722163860345,0.25232440476190476,0.39428571428571424,0.4178737541528239
8,0.29440411861453736,0.7188749321163606,0.24610416666666665,0.36,0.38190476190476186
10,0.2686567312904767,0.7160103935813777,0.25161607142857145,0.3542857142857143,0.40053156146179403
12,0.25243186503648757,0.7178029338121567,0.246875,0.36,0.4023809523809524
14,0.2386009392993791,0.7166352894446253,0.24956250000000005,0.36,0.40523809523809523
16,0.22624761930533818,0.7223663354353173,0.24092559523809526,0.36571428571428577,0.39481727574750836
18,0.21176337812628065,0.7076162760780659,0.24661607142857145,0.39428571428571424,0.45
20,0.20304986706801822,0.7083065602230068,0.24173214285714284,0.38857142857142857,0.44093023255813957
22,0.19521931431123188,0.7141072803019355,0.24246130952380957,0.38857142857142857,0.4257142857142857
24,0.18327331053359167,0.7137377368487188,0.24386011904761906,0.3771428571428571,0.4
26,0.1756152297769274,0.7056146379847263,0.255,0.4,0.4178737541528239
28,0.17647611541407449,0.701483478463498,0.2532619047619048,0.39428571428571424,0.4342857142857143
30,0.16460904053279332,0.7186253599067699,0.23849404761904763,0.3828571428571429,0.39481727574750836
32,0.16103275609867915,0.7159297428070813,0.24179761904761904,0.3771428571428571,0.40809523809523807
