epoch,loss,clean_eer,phone_eer,selection_error,seconds
0,0.24173544663173413,0.026105697803717666,0.049859217369480645,0.042139323510607674,196.44359141774476
1,0.1617600332662376,0.028033787831324625,0.0370184125727957,0.0340984095318176,377.21516867447644
2,0.13049868906559478,0.02182542953815602,0.041298680838357346,0.03496987416579191,546.9315564418212
3,0.11435220274551396,0.030385966069279367,0.04087459262800962,0.037465788996422285,724.7377908937633
4,0.11325771669307125,0.028033787831324625,0.04750703913152596,0.041178232458960524,957.3224302930757
5,0.09322878113833435,0.01904916308985355,0.030385966069279367,0.02670150510096598,1172.5183274503797
6,0.08306879574182438,0.026105697803717666,0.03509032254518875,0.03217031950421065,1381.607285702601
7,0.08310823397416818,0.015192983034639684,0.02182542953815602,0.019669884424513208,1598.9326999830082
8,0.09321360687632659,0.017121073062246646,0.028033787831324625,0.02448715553137428,1828.6288344189525
9,0.08104285904974268,0.015192983034639684,0.024177607776110763,0.021257604735132662,2045.8102015638724
10,0.07738543271321302,0.013264893007032725,0.024177607776110763,0.0206309754761604,2247.535748365335
11,0.0730041859137733,0.0147688948242919,0.028033787831324625,0.02372269760403899,2467.712201899849
12,0.07677905903094345,0.028033787831324625,0.03231405609688627,0.030922968910578736,2690.4287262847647
