axis,group,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,variant
DATASET,external_mixed_v1_telephone_v1,400,400,400,400,0.16833333333333333,0.245,0.135,,,0.8263333333333334,,,dense_supervised
DATASET,factorial_eval_1200_v2,400,400,350,350,0.17527272727272727,0.24,0.17714285714285716,0.9962857142857142,0.9999428571428571,0.8112207792207793,0.9981142857142857,0.8299101298701299,dense_supervised
DATASET,mixfake_music_dev_v1,1600,1600,1600,1600,0.12749999999999997,0.16374999999999998,0.12875000000000003,,,0.8648750000000001,,,dense_supervised
DATASET,multigen_voice_v2,90,90,90,0,0.125,0.16666666666666663,,,,,,,dense_supervised
DATASET,source_disjoint_mixed_v1,200,200,200,200,0.21999999999999997,0.28,0.08999999999999998,,,0.807,,,dense_supervised
DATASET,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.31666666666666665,0.30000000000000004,0.17000000000000004,,,0.7306666666666667,,,dense_supervised
DATASET,source_disjoint_music_v1,400,400,0,400,0.030000000000000013,,0.050000000000000024,,,,,,dense_supervised
CHANNEL_V57,clean,120,120,120,120,0.16666666666666663,0.35,0.06666666666666665,,,0.8266666666666667,,,dense_supervised
CHANNEL_V57,clean_flac,66,66,58,58,0.2554347826086957,0.2068965517241379,0.25833333333333336,0.9892241379310345,1.0,0.7534032983508246,0.9946120689655172,0.7775241754122939,dense_supervised
CHANNEL_V57,common_flac16k,511,511,0,511,0.04305300245098037,,0.054794730392156876,,,,,,dense_supervised
CHANNEL_V57,flac16k,600,600,600,600,0.18000000000000002,0.2466666666666667,0.11666666666666668,,,0.8256666666666665,,,dense_supervised
CHANNEL_V57,g711_ulaw,120,120,120,120,0.19999999999999998,0.33333333333333337,0.08333333333333334,,,0.8083333333333333,,,dense_supervised
CHANNEL_V57,g722_wb,120,120,120,120,0.17222222222222222,0.35,0.08333333333333334,,,0.8188888888888888,,,dense_supervised
CHANNEL_V57,mp3_64k,67,67,58,59,0.14751552795031056,0.13793103448275865,0.16954022988505746,1.0,1.0,0.8477939601627758,1.0,0.8630145641464981,dense_supervised
CHANNEL_V57,noisy_flac,66,66,58,58,0.09206349206349207,0.2068965517241379,0.1380952380952381,0.9978448275862069,1.0,0.871160372194855,0.9989224137931034,0.8839365763546798,dense_supervised
CHANNEL_V57,ogg_48k,67,67,59,58,0.23861283643892336,0.339080459770115,0.10357142857142855,0.9957627118644068,1.0,0.7818060612550868,0.9978813559322034,0.8034135907227984,dense_supervised
CHANNEL_V57,opus_nb_8k,120,120,120,120,0.30000000000000004,0.31666666666666665,0.21666666666666667,,,0.7216666666666667,,,dense_supervised
CHANNEL_V57,stereo_wav,67,67,59,58,0.23585858585858588,0.23735632183908048,0.17261904761904762,1.0,1.0,0.7828137284171767,1.0,0.804532355575459,dense_supervised
CHANNEL_V57,telephone8k,600,600,600,600,0.21333333333333337,0.2566666666666667,0.15000000000000002,,,0.797,,,dense_supervised
