DATASET,MEMBER,N,MUSIC_EER
external_mixed_v1_telephone_v1,ensemble,400,0.16000000000000003
source_disjoint_mixed_v1_telephone_v1,ensemble,200,0.36
source_disjoint_mixed_equal_v1_telephone_v1,ensemble,200,0.21999999999999997
