EPOCH,TRAIN_LOSS,SELECTION,MEAN_ADS,WORST_ADS
0,0.7738762028012539,0.7593751082251082,0.8261528138528138,0.6925974025974027
1,0.3412312722644923,0.774617857142857,0.8366642857142856,0.7125714285714285
2,0.199726312346985,0.7494882034632034,0.82409329004329,0.6748831168831169
3,0.14221665764833155,0.7692886904761904,0.8300059523809524,0.7085714285714285
4,0.12359817049528923,0.7791438852813852,0.8310410173160173,0.7272467532467533
5,0.10672344470202375,0.7788867424242425,0.8299553030303031,0.7278181818181818
6,0.09444074331571353,0.7651900432900434,0.8233411255411255,0.7070389610389611
7,0.08658111543377485,0.7559399891774892,0.8141397186147186,0.6977402597402598
8,0.07833912936639201,0.7707864718614719,0.8282482683982684,0.7133246753246754
9,0.08046281317454632,0.7678627164502164,0.8285306277056277,0.7071948051948052
10,0.07196188154430386,0.7725684523809524,0.8342797619047619,0.7108571428571429
11,0.07322150206284746,0.7783775432900433,0.8377161255411256,0.719038961038961
12,0.069365604300669,0.7727503787878788,0.8184098484848485,0.727090909090909
13,0.06640413130970638,0.7784617424242424,0.821105303030303,0.7358181818181817
14,0.0642884242879741,0.7776854978354978,0.8334229437229437,0.7219480519480519
15,0.06507732546774019,0.7622804112554113,0.8226906926406927,0.7018701298701299
16,0.05925219234056268,0.7492780844155844,0.8105301948051948,0.6880259740259741
17,0.04870976718496874,0.7720126082251083,0.8234278138528139,0.7205974025974027
18,0.05928963066815782,0.7783944805194805,0.8232564935064934,0.7335324675324675
19,0.05387366536441916,0.7893002164502164,0.8354056277056277,0.7431948051948052
20,0.05160741652562026,0.7712294372294373,0.827965367965368,0.7144935064935065
21,0.05838042191098347,0.7592458874458875,0.8251930735930737,0.6932987012987013
22,0.04214442395776556,0.7511199675324676,0.8190191558441559,0.6832207792207792
23,0.04422942628445492,0.771622619047619,0.8243880952380952,0.7188571428571429
24,0.046871995347683416,0.7827379329004329,0.8290862554112554,0.7363896103896104
25,0.045715094965374084,0.7712527056277056,0.8335703463203462,0.708935064935065
26,0.03953501479443094,0.7823318181818182,0.8330272727272728,0.7316363636363636
27,0.051483821765194004,0.7886099567099567,0.8322588744588744,0.7449610389610389
28,0.04356129807162961,0.787147023809524,0.8297226190476191,0.7445714285714287
29,0.042468173960023815,0.7800982142857144,0.8350535714285716,0.7251428571428571
30,0.04139894553877276,0.7904249999999999,0.82485,0.756
31,0.046516796774687987,0.7924528138528137,0.8353731601731601,0.7495324675324675
32,0.03876055047441662,0.7779522186147186,0.824657683982684,0.7312467532467533
33,0.03692514398006688,0.7657728896103895,0.8181951298701298,0.7133506493506493
34,0.0461981141939045,0.7740151515151515,0.8243939393939395,0.7236363636363636
35,0.042334417404715496,0.7661308982683983,0.8227033549783551,0.7095584415584416
36,0.03720645040260811,0.7830273809523809,0.8289119047619048,0.7371428571428571
37,0.033239001125394387,0.7528138528138528,0.8111601731601731,0.6944675324675325
38,0.03490914553232445,0.7687387445887446,0.8156073593073593,0.7218701298701299
39,0.03832742717207061,0.7737297619047618,0.8211738095238095,0.7262857142857142
40,0.029923620531024795,0.761649512987013,0.8169873376623377,0.7063116883116883
41,0.034735592671718586,0.7619219155844155,0.8118698051948051,0.7119740259740259
42,0.03731187124575197,0.7685234848484849,0.8134106060606061,0.7236363636363636
43,0.03430232348311921,0.7626829004329005,0.8217554112554113,0.7036103896103897
44,0.04007735427260468,0.7715912337662338,0.827572077922078,0.7156103896103896
45,0.0304915461592102,0.7770815476190477,0.8330202380952383,0.7211428571428571
46,0.032291222970427066,0.7641467532467533,0.8262155844155845,0.7020779220779221
