EPOCH,TRAIN_LOSS,BASE_LOSS,INVARIANCE_LOSS,SELECTION,MEAN_ADS,WORST_ADS
0,0.8845843840786751,0.7452153839329456,0.139368999467053,0.7268099747474747,0.7728147546897546,0.6808051948051947
1,0.3974987349690909,0.23834325575289575,0.15915548008807162,0.7376543560606061,0.7794905303030304,0.6958181818181818
2,0.2668969897910001,0.14602077027109076,0.12087621942083253,0.7495280934343433,0.7924068362193362,0.7066493506493506
3,0.2169036906252199,0.12193784009704882,0.09496585023589432,0.7474532828282829,0.7924390331890333,0.7024675324675325
4,0.17828778631271833,0.0988322826736468,0.07945550348921777,0.7416890782828284,0.7938456890331892,0.6895324675324676
5,0.14662882230898483,0.08129404980610026,0.06533477294501512,0.7552291666666666,0.7956011904761904,0.7148571428571429
6,0.14066318717804996,0.0817785653573005,0.058884621773687924,0.7594185606060606,0.8026553030303031,0.7161818181818183
7,0.1210815706092151,0.0698244112885577,0.05125715969157643,0.7427566287878786,0.7978768939393938,0.6876363636363636
8,0.12504966472315185,0.06978380525028928,0.055265859995802684,0.747022637085137,0.7910452741702741,0.703
9,0.12071452833751732,0.0714269708594347,0.049287557389842286,0.7561171085858586,0.7976108405483405,0.7146233766233766
10,0.09936992605365416,0.05903101778351404,0.04033890855405727,0.7445243055555556,0.7896200396825397,0.6994285714285715
11,0.08091411645836295,0.04872201355000799,0.03219210338345952,0.7529760101010101,0.7993026695526696,0.7066493506493506
12,0.09732427267590538,0.05590794667443062,0.041416326326415925,0.7372168560606062,0.791186958874459,0.6832467532467533
13,0.10497568338673482,0.06052161615956178,0.044454067728130466,0.7323140782828284,0.7945242604617605,0.6701038961038961
14,0.08010194268439243,0.04665245094455461,0.03344949171444936,0.7394636994949495,0.7970312950937951,0.6818961038961039
15,0.08414237469836,0.050747892232314545,0.03339448261404152,0.7515969065656567,0.7944145923520924,0.7087792207792208
16,0.07942259514040531,0.046696518115610125,0.03272607709956727,0.7314471801346802,0.7899333213083214,0.672961038961039
