ALPHA,SEED,SELECTION,pure_source_disjoint,mixed_source_disjoint
0.03,20260902,0.9995937500000001,1.0,0.9994583333333333
0.03,20260903,0.9994562499999999,1.0,0.999275
0.03,20260904,0.998796875,1.0,0.9983958333333334
0.01,20260902,0.999553125,1.0,0.9994041666666666
0.01,20260903,0.99946875,1.0,0.9992916666666667
0.01,20260904,0.9990531249999999,1.0,0.9987375
0.003,20260902,0.999809375,1.0,0.9997458333333333
0.003,20260903,0.999653125,1.0,0.9995375
0.003,20260904,0.9992343749999999,1.0,0.9989791666666666
0.001,20260902,0.999109375,1.0,0.9988125
0.001,20260903,0.999115625,1.0,0.9988208333333334
0.001,20260904,0.99914375,1.0,0.9988583333333333
0.0003,20260902,0.9988625,1.0,0.9984833333333333
0.0003,20260903,0.99850625,1.0,0.9980083333333334
0.0003,20260904,0.999365625,1.0,0.9991541666666667
0.0001,20260902,0.9990187500000001,1.0,0.9986916666666666
0.0001,20260903,0.9976879261363636,0.9997017045454546,0.9970166666666667
0.0001,20260904,0.99878125,1.0,0.998375
